"","annot.colors","cell_ontology_class"
"1","#A6CEE3","B.cell"
"2","#1F78B4","immature.B.cell"
"3","#B2DF8A","late.pro.B.cell"
"4","#33A02C","pro.B.cell"
"5","#FB9A99","naive.B.cell"
