cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode,subsetA,subsetA_cluster.ids
A1.B000127.3_38_F.1.1,Fat,SCAT,endothelial cell,CL:0000115,endothelial cell,2,F,3_38_F,-0.820130644436673,7.154153570007516,B000127,FALSE,NA
A1.B002314.3_56_F.1.1,Fat,MAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_56_F,28.174895420053712,4.7297773330527,B002314,FALSE,NA
A1.D045058.3_39_F.1.1,Fat,GAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_39_F,21.221459769167947,-0.820575762963485,D045058,FALSE,NA
A1.D045067.3_38_F.1.1,Fat,GAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_38_F,30.682341372347746,-3.970058547685137,D045067,FALSE,NA
A1.MAA000388.3_11_M.1.1,Fat,GAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,3,M,3_11_M,-7.229181325955826,-25.034670849910746,MAA000388,FALSE,NA
A1.MAA000510.3_8_M.1.1,Fat,SCAT,natural killer cell,CL:0000623,NA,5,M,3_8_M,-40.29583320869346,4.7489059150792725,MAA000510,TRUE,3
A1.MAA000531.3_8_M.1.1,Fat,MAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,M,3_8_M,25.150649104567435,-6.3855598368193895,MAA000531,FALSE,NA
A1.MAA000554.3_8_M.1.1,Fat,GAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,3,M,3_8_M,-7.022565123751597,-22.00830731425665,MAA000554,FALSE,NA
A1.MAA000556.3_9_M.1.1,Fat,BAT,endothelial cell,CL:0000115,endothelial cell,2,M,3_9_M,-11.890087646513168,14.18903616175519,MAA000556,FALSE,NA
A1.MAA000877.3_11_M.1.1,Fat,MAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,M,3_11_M,22.545774963486014,-14.136814070768448,MAA000877,FALSE,NA
A1.MAA000914.3_9_M.1.1,Fat,MAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,M,3_9_M,23.59576475870575,-4.636532168490603,MAA000914,FALSE,NA
A1.MAA000934.3_9_M.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,M,3_9_M,28.053134760718354,-0.15471198815151577,MAA000934,FALSE,NA
A10.B000127.3_38_F.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_38_F,16.996834771624783,29.51470407117295,B000127,FALSE,NA
A10.B001216.3_38_F.1.1,Fat,BAT,natural killer cell,CL:0000623,NA,5,F,3_38_F,-50.5459350997145,-6.898694461388007,B001216,TRUE,3
A10.B002314.3_56_F.1.1,Fat,MAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_56_F,4.100325067485578,17.79301889666779,B002314,FALSE,NA
A10.B002707.3_39_F.1.1,Fat,BAT,myeloid cell,CL:0000763,myeloid cell,6,F,3_39_F,18.758001016424927,17.357415135668266,B002707,FALSE,NA
A10.B002954.3_56_F.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_56_F,15.734326315530769,36.05915207933632,B002954,FALSE,NA
