cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode,subsetA,subsetA_cluster.ids
A10.D043526.3_39_F.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,8,F,3_39_F,-30.55957003662858,-27.844503616998768,D043526,FALSE,NA
A10.D045064.3_38_F.1.1,Fat,MAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_38_F,11.243821716044428,24.04305887299034,D045064,FALSE,NA
A10.D045067.3_38_F.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_38_F,17.134589346768788,30.21014534978397,D045067,FALSE,NA
A10.MAA000385.3_10_M.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,6,M,3_10_M,10.293609081246695,10.821483393966027,MAA000385,FALSE,NA
A10.MAA000386.3_11_M.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,M,3_11_M,29.19099551027739,-13.902105934604618,MAA000386,FALSE,NA
A10.MAA000388.3_11_M.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,M,3_11_M,2.272846730121516,19.280282499809807,MAA000388,FALSE,NA
A10.MAA000439.3_10_M.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,M,3_10_M,7.5876511652569985,37.34172964411096,MAA000439,FALSE,NA
A10.MAA000556.3_9_M.1.1,Fat,BAT,B cell,CL:0000236,B cell,4,M,3_9_M,-8.305826861765441,-0.3898761765814962,MAA000556,FALSE,NA
A10.MAA000877.3_11_M.1.1,Fat,MAT,T cell,CL:0000084,NA,5,M,3_11_M,-38.29869775430863,0.055492531559592655,MAA000877,TRUE,2
A10.MAA000914.3_9_M.1.1,Fat,MAT,myeloid cell,CL:0000763,myeloid cell,1,M,3_9_M,-1.1701802500714198,20.256214181079002,MAA000914,FALSE,NA
A10.MAA000934.3_9_M.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,1,M,3_9_M,-1.9207508325626907,25.93532882038952,MAA000934,FALSE,NA
A11.B000127.3_38_F.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_38_F,10.500288411113353,23.353697944995318,B000127,FALSE,NA
A11.B001216.3_38_F.1.1,Fat,BAT,B cell,CL:0000236,B cell,4,F,3_38_F,3.706065575842355,-0.31423292762209143,B001216,FALSE,NA
A11.B001960.3_56_F.1.1,Fat,BAT,T cell,CL:0000084,NA,5,F,3_56_F,-43.78990244791237,-9.673684204112401,B001960,TRUE,1
A11.B002314.3_56_F.1.1,Fat,MAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_56_F,-2.3535383134306014,27.220712778141518,B002314,FALSE,NA
A11.B002955.3_56_F.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,6,F,3_56_F,11.714441092296306,15.303827181112188,B002955,FALSE,NA
A11.D043526.3_39_F.1.1,Fat,SCAT,B cell,CL:0000236,B cell,4,F,3_39_F,-4.041674249674729,-5.061983905981551,D043526,FALSE,NA
A11.D045064.3_38_F.1.1,Fat,MAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_38_F,9.418765090248234,25.804894928570118,D045064,FALSE,NA
A11.MAA000385.3_10_M.1.1,Fat,SCAT,B cell,CL:0000236,B cell,4,M,3_10_M,-19.575601469527697,-5.687045629397168,MAA000385,FALSE,NA
A11.MAA000386.3_11_M.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,3,M,3_11_M,0.9785619742514415,-30.242146420830643,MAA000386,FALSE,NA
A11.MAA000388.3_11_M.1.1,Fat,GAT,T cell,CL:0000084,NA,5,M,3_11_M,-43.80774049970247,1.3746958871023855,MAA000388,TRUE,6
A11.MAA000439.3_10_M.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,6,M,3_10_M,10.266683540706396,8.54596750081632,MAA000439,FALSE,NA
A11.MAA000531.3_8_M.1.1,Fat,MAT,myeloid cell,CL:0000763,myeloid cell,1,M,3_8_M,3.8550275083099366,17.48469619521254,MAA000531,FALSE,NA
A11.MAA000556.3_9_M.1.1,Fat,BAT,B cell,CL:0000236,B cell,4,M,3_9_M,-7.903479064705088,-5.0572849186532585,MAA000556,FALSE,NA
A11.MAA000877.3_11_M.1.1,Fat,MAT,B cell,CL:0000236,B cell,4,M,3_11_M,-28.959011797807936,-11.59443633918055,MAA000877,FALSE,NA
A11.MAA000913.3_9_M.1.1,Fat,GAT,T cell,CL:0000084,NA,5,M,3_9_M,-48.584434111816186,-10.70166429496304,MAA000913,TRUE,4
A11.MAA000914.3_9_M.1.1,Fat,MAT,T cell,CL:0000084,NA,5,M,3_9_M,-34.2066091954848,3.6386650654967743,MAA000914,TRUE,2
A11.MAA000934.3_9_M.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,1,M,3_9_M,3.6112503938879827,28.479671825504038,MAA000934,FALSE,NA
A12.B000127.3_38_F.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_38_F,-0.05294169224583697,26.585336424376283,B000127,FALSE,NA
A12.B001216.3_38_F.1.1,Fat,BAT,B cell,CL:0000236,B cell,4,F,3_38_F,2.9562308901562226,-0.436699281604217,B001216,FALSE,NA
A12.B001960.3_56_F.1.1,Fat,BAT,T cell,CL:0000084,NA,5,F,3_56_F,-34.58408376615743,4.702907006381099,B001960,TRUE,4
A12.B002314.3_56_F.1.1,Fat,MAT,natural killer cell,CL:0000623,NA,5,F,3_56_F,-39.90753800080372,7.081180293841944,B002314,TRUE,3
A12.B002707.3_39_F.1.1,Fat,BAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_39_F,-1.2068130904541248,23.425769637700075,B002707,FALSE,NA
A12.B002954.3_56_F.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_56_F,17.2824295736312,38.659274584169886,B002954,FALSE,NA
A12.D045067.3_38_F.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_38_F,14.610535590696413,37.32172450128131,D045067,FALSE,NA
A12.MAA000386.3_11_M.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,M,3_11_M,19.40742475617395,-20.785267219687466,MAA000386,FALSE,NA
A12.MAA000388.3_11_M.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,M,3_11_M,3.940171307823012,30.213121605340703,MAA000388,FALSE,NA
A12.MAA000439.3_10_M.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,M,3_10_M,-3.7745985969483455,26.977455960616734,MAA000439,FALSE,NA
A12.MAA000441.3_10_M.1.1,Fat,BAT,myeloid cell,CL:0000763,myeloid cell,6,M,3_10_M,12.421236621446887,8.167154855357529,MAA000441,FALSE,NA
A12.MAA000556.3_9_M.1.1,Fat,BAT,T cell,CL:0000084,NA,5,M,3_9_M,-40.100692232684786,-6.630369013634149,MAA000556,TRUE,1
A12.MAA000877.3_11_M.1.1,Fat,MAT,myeloid cell,CL:0000763,myeloid cell,6,M,3_11_M,19.005949709036702,18.38841357984002,MAA000877,FALSE,NA
A13.B000127.3_38_F.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_38_F,18.84886994382165,31.548625684709325,B000127,FALSE,NA
A13.B001216.3_38_F.1.1,Fat,BAT,B cell,CL:0000236,B cell,4,F,3_38_F,1.4731414006696022,-1.9003412606073766,B001216,FALSE,NA
A13.B002314.3_56_F.1.1,Fat,MAT,myeloid cell,CL:0000763,myeloid cell,6,F,3_56_F,13.858346119818657,10.269795166680028,B002314,FALSE,NA
A13.B002707.3_39_F.1.1,Fat,BAT,B cell,CL:0000236,B cell,4,F,3_39_F,-0.6791823575781125,-2.3060265790888725,B002707,FALSE,NA
A13.B002954.3_56_F.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_56_F,1.999597485883195,27.14285127002711,B002954,FALSE,NA
A13.B002955.3_56_F.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_56_F,11.668003422245244,41.348129153817766,B002955,FALSE,NA
A13.D043520.3_39_F.1.1,Fat,MAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_39_F,13.541431710641389,33.57641623097423,D043520,FALSE,NA
A13.D043526.3_39_F.1.1,Fat,SCAT,B cell,CL:0000236,B cell,4,F,3_39_F,-9.669230376461945,-4.018572600344569,D043526,FALSE,NA
A13.D045064.3_38_F.1.1,Fat,MAT,NA,NA,NA,5,F,3_38_F,-48.217675434312405,-10.531637280428292,D045064,TRUE,5
A13.D045067.3_38_F.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,6,F,3_38_F,19.36871119485447,18.727710036558854,D045067,FALSE,NA
A13.MAA000385.3_10_M.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,6,M,3_10_M,10.624230238650517,10.450321568222993,MAA000385,FALSE,NA
A13.MAA000386.3_11_M.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,3,M,3_11_M,-9.17481139337331,-35.28851953601584,MAA000386,FALSE,NA
A13.MAA000439.3_10_M.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,8,M,3_10_M,-21.237740347903856,-21.14967880248828,MAA000439,FALSE,NA
A13.MAA000441.3_10_M.1.1,Fat,BAT,myeloid cell,CL:0000763,myeloid cell,6,M,3_10_M,12.68799977673638,7.768751779152212,MAA000441,FALSE,NA
A13.MAA000442.3_11_M.1.1,Fat,BAT,T cell,CL:0000084,NA,5,M,3_11_M,-43.08637923891619,-9.141432548807094,MAA000442,TRUE,1
A13.MAA000877.3_11_M.1.1,Fat,MAT,myeloid cell,CL:0000763,myeloid cell,1,M,3_11_M,13.692885425941435,14.551497757915225,MAA000877,FALSE,NA
A13.MAA000934.3_9_M.1.1,Fat,SCAT,B cell,CL:0000236,B cell,4,M,3_9_M,-18.86515925292719,-7.110865523362228,MAA000934,FALSE,NA
A14.B000127.3_38_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_38_F,28.67325916672738,5.330069682806727,B000127,FALSE,NA
A14.B001216.3_38_F.1.1,Fat,BAT,B cell,CL:0000236,B cell,4,F,3_38_F,3.9560094785889164,-0.9980861835169536,B001216,FALSE,NA
A14.B002314.3_56_F.1.1,Fat,MAT,B cell,CL:0000236,B cell,4,F,3_56_F,-11.786836538536893,-3.993511399197058,B002314,FALSE,NA
A14.B002954.3_56_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_56_F,32.78651184092236,-0.5951798362549445,B002954,FALSE,NA
A14.D043520.3_39_F.1.1,Fat,MAT,myeloid cell,CL:0000763,myeloid cell,6,F,3_39_F,17.375590362021583,15.006020810403493,D043520,FALSE,NA
A14.D043526.3_39_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_39_F,25.533286914556363,-17.045497489595924,D043526,FALSE,NA
A14.D045058.3_39_F.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,8,F,3_39_F,-24.909370887049096,-22.90017556552551,D045058,FALSE,NA
A14.D045064.3_38_F.1.1,Fat,MAT,natural killer cell,CL:0000623,NA,5,F,3_38_F,-50.782323995770476,-6.685193686986038,D045064,TRUE,3
A14.MAA000385.3_10_M.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,6,M,3_10_M,10.680132928324491,12.577613944829938,MAA000385,FALSE,NA
A14.MAA000386.3_11_M.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,3,M,3_11_M,1.3880444628239808,-22.197548667093457,MAA000386,FALSE,NA
A14.MAA000388.3_11_M.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,6,M,3_11_M,12.934876753221904,9.113875479981154,MAA000388,FALSE,NA
A14.MAA000441.3_10_M.1.1,Fat,BAT,B cell,CL:0000236,B cell,4,M,3_10_M,-16.37306757608851,-9.017190211856468,MAA000441,FALSE,NA
A14.MAA000599.3_8_M.1.1,Fat,BAT,B cell,CL:0000236,B cell,4,M,3_8_M,-10.898733046531767,-3.685655742759273,MAA000599,FALSE,NA
A14.MAA000877.3_11_M.1.1,Fat,MAT,T cell,CL:0000084,NA,5,M,3_11_M,-44.8749307201171,-10.308056241506044,MAA000877,TRUE,1
A14.MAA000913.3_9_M.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,8,M,3_9_M,-30.50759397073027,-27.783367759342976,MAA000913,FALSE,NA
A14.MAA000914.3_9_M.1.1,Fat,MAT,B cell,CL:0000236,B cell,4,M,3_9_M,-4.908222131854482,-5.192163464473745,MAA000914,FALSE,NA
A14.MAA000934.3_9_M.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,6,M,3_9_M,14.572683462411847,16.083750873188304,MAA000934,FALSE,NA
A15.B000127.3_38_F.1.1,Fat,SCAT,NA,NA,"NA",9,F,3_38_F,8.273243035355051,-56.106795576208185,B000127,FALSE,NA
A15.B001960.3_56_F.1.1,Fat,BAT,T cell,CL:0000084,NA,5,F,3_56_F,-1.749430836420966,29.769154267294194,B001960,TRUE,6
A15.B002954.3_56_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_56_F,17.600300069432578,-17.22153674947957,B002954,FALSE,NA
A15.B002955.3_56_F.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_56_F,6.120195854946484,37.14750447896132,B002955,FALSE,NA
A15.D043520.3_39_F.1.1,Fat,MAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_39_F,8.668302572804112,27.972666462305064,D043520,FALSE,NA
A15.D043526.3_39_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_39_F,20.915717452232215,-21.011777776340686,D043526,FALSE,NA
A15.D045067.3_38_F.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,8,F,3_38_F,-30.92529160867043,-28.197109062041232,D045067,FALSE,NA
A15.MAA000386.3_11_M.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,3,M,3_11_M,-12.409100057052063,-36.84245651097068,MAA000386,FALSE,NA
A15.MAA000388.3_11_M.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,M,3_11_M,12.051127173115047,40.87817449909959,MAA000388,FALSE,NA
A15.MAA000531.3_8_M.1.1,Fat,MAT,T cell,CL:0000084,NA,5,M,3_8_M,-43.258699257573745,1.7634888372886728,MAA000531,TRUE,6
A15.MAA000554.3_8_M.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,M,3_8_M,17.30735516641082,32.88237949673335,MAA000554,FALSE,NA
A15.MAA000877.3_11_M.1.1,Fat,MAT,T cell,CL:0000084,NA,5,M,3_11_M,-35.545920050401335,5.440331708562947,MAA000877,TRUE,4
A15.MAA000913.3_9_M.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,M,3_9_M,-0.8433040476610898,19.61252410061605,MAA000913,FALSE,NA
A15.MAA000914.3_9_M.1.1,Fat,MAT,B cell,CL:0000236,B cell,4,M,3_9_M,-8.343881649150694,-2.65153525285747,MAA000914,FALSE,NA
A15.MAA000934.3_9_M.1.1,Fat,SCAT,B cell,CL:0000236,B cell,4,M,3_9_M,-12.743450414830074,-6.6228920923130365,MAA000934,FALSE,NA
A16.B000127.3_38_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_38_F,31.164448226553187,-4.618050726254259,B000127,FALSE,NA
A16.B001960.3_56_F.1.1,Fat,BAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_56_F,-1.2040443652227548,26.06644065239402,B001960,FALSE,NA
A16.B002314.3_56_F.1.1,Fat,MAT,B cell,CL:0000236,B cell,4,F,3_56_F,-8.691537847614972,-6.041627003668996,B002314,FALSE,NA
A16.B002954.3_56_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_56_F,29.566077041983732,-1.0393700692608872,B002954,FALSE,NA
A16.B002955.3_56_F.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_56_F,15.909574328988171,37.3783771683155,B002955,FALSE,NA
A16.D043520.3_39_F.1.1,Fat,MAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_39_F,8.596309436531682,27.853563999594623,D043520,FALSE,NA
A16.D043526.3_39_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,3,F,3_39_F,2.8896827728334378,-32.07060166457633,D043526,FALSE,NA
A16.D045058.3_39_F.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_39_F,11.71659317068419,40.05335068044321,D045058,FALSE,NA
A16.D045067.3_38_F.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,F,3_38_F,-1.4646758798433268,29.494104595378356,D045067,FALSE,NA
A16.MAA000385.3_10_M.1.1,Fat,SCAT,myeloid cell,CL:0000763,myeloid cell,6,M,3_10_M,18.2943812060584,16.295088539227446,MAA000385,FALSE,NA
A16.MAA000388.3_11_M.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,1,M,3_11_M,-5.610042087601901,29.422529898641233,MAA000388,FALSE,NA
A16.MAA000439.3_10_M.1.1,Fat,GAT,T cell,CL:0000084,NA,5,M,3_10_M,-32.9649422776394,4.350068989044866,MAA000439,TRUE,6
A16.MAA000441.3_10_M.1.1,Fat,BAT,B cell,CL:0000236,B cell,4,M,3_10_M,-18.785406790691717,-6.0030627721857925,MAA000441,FALSE,NA
A16.MAA000510.3_8_M.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,M,3_8_M,36.142007725965755,1.1735261072482441,MAA000510,FALSE,NA
A16.MAA000554.3_8_M.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,8,M,3_8_M,-27.502341563378984,-24.98897682223453,MAA000554,FALSE,NA
A16.MAA000913.3_9_M.1.1,Fat,GAT,myeloid cell,CL:0000763,myeloid cell,6,M,3_9_M,15.995952055085633,15.762056145676064,MAA000913,FALSE,NA
A16.MAA000934.3_9_M.1.1,Fat,SCAT,B cell,CL:0000236,B cell,4,M,3_9_M,-12.573651667336721,-5.895065968072246,MAA000934,FALSE,NA
A17.B000127.3_38_F.1.1,Fat,SCAT,NA,NA,"NA",9,F,3_38_F,8.313742684170462,-56.08399605079584,B000127,FALSE,NA
A17.B002954.3_56_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_56_F,36.5048321953129,6.729874155268895,B002954,FALSE,NA
A17.D043526.3_39_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_39_F,33.0231617662229,-8.24424524269054,D043526,FALSE,NA
A17.D045067.3_38_F.1.1,Fat,GAT,endothelial cell,CL:0000115,endothelial cell,2,F,3_38_F,-4.700076140352819,6.916310617145968,D045067,FALSE,NA
A17.MAA000441.3_10_M.1.1,Fat,BAT,endothelial cell,CL:0000115,endothelial cell,2,M,3_10_M,-13.535218008653565,17.96896518098111,MAA000441,FALSE,NA
A17.MAA000510.3_8_M.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,M,3_8_M,11.947778150188517,-10.867847370286281,MAA000510,FALSE,NA
A17.MAA000877.3_11_M.1.1,Fat,MAT,endothelial cell,CL:0000115,endothelial cell,2,M,3_11_M,-9.788553475385847,10.739904314734922,MAA000877,FALSE,NA
A18.B000127.3_38_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,7,F,3_38_F,33.14179512796498,12.028029577679465,B000127,FALSE,NA
A18.D043526.3_39_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_39_F,25.268473429613643,-1.4319783938204111,D043526,FALSE,NA
A18.D045064.3_38_F.1.1,Fat,MAT,endothelial cell,CL:0000115,endothelial cell,2,F,3_38_F,0.0697547148249367,7.4650957499452115,D045064,FALSE,NA
A18.MAA000388.3_11_M.1.1,Fat,GAT,endothelial cell,CL:0000115,endothelial cell,2,M,3_11_M,-25.125128443786036,23.638538225697182,MAA000388,FALSE,NA
A19.B000127.3_38_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,7,F,3_38_F,37.083762600653216,14.674301665156177,B000127,FALSE,NA
A19.B002314.3_56_F.1.1,Fat,MAT,endothelial cell,CL:0000115,endothelial cell,2,F,3_56_F,-13.457972888497908,15.801811884271793,B002314,FALSE,NA
A19.B002954.3_56_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_56_F,25.196488179424353,-17.080321649730454,B002954,FALSE,NA
A19.D043526.3_39_F.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_39_F,10.24330381844522,-21.012156162624606,D043526,FALSE,NA
A19.MAA000439.3_10_M.1.1,Fat,GAT,endothelial cell,CL:0000115,endothelial cell,2,M,3_10_M,-21.96661782680889,14.052124446497478,MAA000439,FALSE,NA
A19.MAA000510.3_8_M.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,M,3_8_M,16.593720631562306,-25.254279123485443,MAA000510,FALSE,NA
A19.MAA000877.3_11_M.1.1,Fat,MAT,endothelial cell,CL:0000115,endothelial cell,2,M,3_11_M,-15.86027807833355,10.599735946648023,MAA000877,FALSE,NA
A19.MAA000913.3_9_M.1.1,Fat,GAT,endothelial cell,CL:0000115,endothelial cell,2,M,3_9_M,-4.765144386557165,8.361578796789564,MAA000913,FALSE,NA
A19.MAA000934.3_9_M.1.1,Fat,SCAT,endothelial cell,CL:0000115,endothelial cell,2,M,3_9_M,-24.682211807833852,24.087516473113123,MAA000934,FALSE,NA
A2.B002955.3_56_F.1.1,Fat,GAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,F,3_56_F,6.030199909957935,-10.443477167457425,B002955,FALSE,NA
A2.D043520.3_39_F.1.1,Fat,MAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,3,F,3_39_F,6.464735285825197,-24.032417941401956,D043520,FALSE,NA
A2.MAA000388.3_11_M.1.1,Fat,GAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,M,3_11_M,20.991026508880903,-7.518197921921481,MAA000388,FALSE,NA
A2.MAA000439.3_10_M.1.1,Fat,GAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,3,M,3_10_M,-5.713080223027349,-31.742497690000818,MAA000439,FALSE,NA
A2.MAA000531.3_8_M.1.1,Fat,MAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,M,3_8_M,34.75494592320277,7.730089029033295,MAA000531,FALSE,NA
A2.MAA000554.3_8_M.1.1,Fat,GAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,3,M,3_8_M,8.804442559490639,-23.243341337922722,MAA000554,FALSE,NA
A2.MAA000877.3_11_M.1.1,Fat,MAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,M,3_11_M,31.386647005094954,-3.3681728322266262,MAA000877,FALSE,NA
A2.MAA000913.3_9_M.1.1,Fat,GAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,3,M,3_9_M,-2.9225000461005526,-25.701011008710324,MAA000913,FALSE,NA
A2.MAA000914.3_9_M.1.1,Fat,MAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,M,3_9_M,29.345639810164315,1.8760049944185628,MAA000914,FALSE,NA
A2.MAA000934.3_9_M.1.1,Fat,SCAT,mesenchymal stem cell of adipose,CL:0002570,mesenchymal progenitor,0,M,3_9_M,4.0859714305100825,-18.3561080863759,MAA000934,FALSE,NA
A20.B000127.3_38_F.1.1,Fat,SCAT,NA,NA,"NA",9,F,3_38_F,6.889508439052858,-56.63744120490823,B000127,FALSE,NA
