"","plate.barcode","cell_ontology_class","cell_ontology_id","free_annotation","tSNE_1","tSNE_2"
"A1.B000127.3_38_F.1.1","B000127","endothelial cell","CL:0000115","endothelial cell",-1.73509428850779,7.98442664209359
"A1.B002314.3_56_F.1.1","B002314","mesenchymal stem cell of adipose","CL:0002570","mesenchymal progenitor",28.3219056162937,4.52095674684305
"A1.D045058.3_39_F.1.1","D045058","mesenchymal stem cell of adipose","CL:0002570","mesenchymal progenitor",21.4727328738237,-0.809723024763693
"A1.D045067.3_38_F.1.1","D045067","mesenchymal stem cell of adipose","CL:0002570","mesenchymal progenitor",30.6967347899995,-4.29640202426623
"A1.MAA000388.3_11_M.1.1","MAA000388","mesenchymal stem cell of adipose","CL:0002570","mesenchymal progenitor",-3.97326187001628,-25.5286788864906
"A1.MAA000510.3_8_M.1.1","MAA000510","natural killer cell","CL:0000623","natural killer cell",-40.3720294798983,4.73604503118244
"A1.MAA000531.3_8_M.1.1","MAA000531","mesenchymal stem cell of adipose","CL:0002570","mesenchymal progenitor",25.3589087126476,-6.58585374657494
"A1.MAA000554.3_8_M.1.1","MAA000554","mesenchymal stem cell of adipose","CL:0002570","mesenchymal progenitor",-7.59424773088132,-22.3387387338146
"A1.MAA000556.3_9_M.1.1","MAA000556","endothelial cell","CL:0000115","endothelial cell",-12.2606667409497,15.5087706368733
"A1.MAA000877.3_11_M.1.1","MAA000877","mesenchymal stem cell of adipose","CL:0002570","mesenchymal progenitor",22.7268064049057,-14.4786870007663
"A1.MAA000914.3_9_M.1.1","MAA000914","mesenchymal stem cell of adipose","CL:0002570","mesenchymal progenitor",23.7693280012776,-4.79500747894242
"A1.MAA000934.3_9_M.1.1","MAA000934","mesenchymal stem cell of adipose","CL:0002570","mesenchymal progenitor",28.3956025953742,-0.302128844074966
"A10.B000127.3_38_F.1.1","B000127","myeloid cell","CL:0000763","myeloid cell",16.7220118682547,28.9823044921866
"A10.B001216.3_38_F.1.1","B001216","natural killer cell","CL:0000623","natural killer cell",-51.5348024428303,-7.20302779028597
"A10.B002314.3_56_F.1.1","B002314","myeloid cell","CL:0000763","myeloid cell",5.2260369790961,17.7405462728289
"A10.B002707.3_39_F.1.1","B002707","myeloid cell","CL:0000763","myeloid cell",17.2524626759014,17.2702061443379
"A10.B002954.3_56_F.1.1","B002954","myeloid cell","CL:0000763","myeloid cell",15.757847311088,36.018024894256
"A10.D043526.3_39_F.1.1","D043526","myeloid cell","CL:0000763","myeloid cell",-30.3414826100695,-28.8521764208989
"A10.D045064.3_38_F.1.1","D045064","myeloid cell","CL:0000763","myeloid cell",12.2203800606003,24.6974451413597
"A10.D045067.3_38_F.1.1","D045067","myeloid cell","CL:0000763","myeloid cell",16.9127890495081,29.7189473857711
"A10.MAA000385.3_10_M.1.1","MAA000385","myeloid cell","CL:0000763","myeloid cell",9.58094483548945,9.65291677847358
"A10.MAA000386.3_11_M.1.1","MAA000386","mesenchymal stem cell of adipose","CL:0002570","mesenchymal progenitor",29.5432589525603,-14.0031734671081
"A10.MAA000388.3_11_M.1.1","MAA000388","myeloid cell","CL:0000763","myeloid cell",3.21491402818361,18.9668525417212
"A10.MAA000439.3_10_M.1.1","MAA000439","myeloid cell","CL:0000763","myeloid cell",7.66561349015134,37.328896418611
"A10.MAA000556.3_9_M.1.1","MAA000556","B cell","CL:0000236","B cell",-7.93665668448636,-0.895360598233623
"A10.MAA000877.3_11_M.1.1","MAA000877","T cell","CL:0000084","T cell",-38.442995227402,-0.186923850066761
"A10.MAA000914.3_9_M.1.1","MAA000914","myeloid cell","CL:0000763","myeloid cell",-0.76969392711878,20.0510791485554
"A10.MAA000934.3_9_M.1.1","MAA000934","myeloid cell","CL:0000763","myeloid cell",-1.47036179388213,25.5851936885408
"A11.B000127.3_38_F.1.1","B000127","myeloid cell","CL:0000763","myeloid cell",11.301238838849,23.7676805277176
"A11.B001216.3_38_F.1.1","B001216","B cell","CL:0000236","B cell",3.83833996257137,-0.625229328085111
"A11.B001960.3_56_F.1.1","B001960","T cell","CL:0000084","T cell",-44.744805188194,-9.58444366841508
"A11.B002314.3_56_F.1.1","B002314","myeloid cell","CL:0000763","myeloid cell",-1.93787924604996,26.8433460708041
"A11.B002955.3_56_F.1.1","B002955","myeloid cell","CL:0000763","myeloid cell",10.7906784455733,14.4689640194368
"A11.D043526.3_39_F.1.1","D043526","B cell","CL:0000236","B cell",-4.09141934236962,-5.89451757251654
"A11.D045064.3_38_F.1.1","D045064","myeloid cell","CL:0000763","myeloid cell",9.89720451329173,25.870138796608
"A11.MAA000385.3_10_M.1.1","MAA000385","B cell","CL:0000236","B cell",-19.7864338575166,-5.80811299112115
"A11.MAA000386.3_11_M.1.1","MAA000386","mesenchymal stem cell of adipose","CL:0002570","mesenchymal progenitor",1.09179886047806,-30.0541534989567
"A11.MAA000388.3_11_M.1.1","MAA000388","T cell","CL:0000084","T cell",-44.0446656997324,1.26923190186872
"A11.MAA000439.3_10_M.1.1","MAA000439","myeloid cell","CL:0000763","myeloid cell",9.81490388785553,7.50415361741351
"A11.MAA000531.3_8_M.1.1","MAA000531","myeloid cell","CL:0000763","myeloid cell",5.08421959068772,17.4195743652026
"A11.MAA000556.3_9_M.1.1","MAA000556","B cell","CL:0000236","B cell",-7.96426613583163,-5.55915689590155
"A11.MAA000877.3_11_M.1.1","MAA000877","B cell","CL:0000236","B cell",-29.2464486801384,-11.899506253648
"A11.MAA000913.3_9_M.1.1","MAA000913","T cell","CL:0000084","T cell",-50.054986608085,-9.50307674990105
"A11.MAA000914.3_9_M.1.1","MAA000914","T cell","CL:0000084","T cell",-34.2261270666709,3.33622193012263
"A11.MAA000934.3_9_M.1.1","MAA000934","myeloid cell","CL:0000763","myeloid cell",3.86436340511818,28.3939258390652
"A12.B000127.3_38_F.1.1","B000127","myeloid cell","CL:0000763","myeloid cell",0.401213626137438,26.3055820580989
"A12.B001216.3_38_F.1.1","B001216","B cell","CL:0000236","B cell",3.10178408958219,-0.858763445028309
"A12.B001960.3_56_F.1.1","B001960","T cell","CL:0000084","T cell",-34.5286161149175,4.37605872365064
