cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode
P21.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,macrophage,CL:0000235,macrophage,5,F,3_38_F,-15.943419588274994,27.8858988366269,B002765
P21.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,T cell,CL:0000084,T cell,6,M,3_8_M,0.8647599529156988,36.34874483005172,D042186
P21.D042473.3_10_M.1.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_10_M,-22.852461984217605,14.306978894378677,D042473
P22.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,macrophage,CL:0000235,macrophage,5,F,3_38_F,-16.03244198543911,23.26258524051628,B002765
P22.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_8_M,-24.787296650393372,18.593377611562033,D042186
P22.D042473.3_10_M.1.1,Limb_Muscle,ForelimbandHindlimb,T cell,CL:0000084,T cell,6,M,3_10_M,0.7626823876298365,35.535853249427035,D042473
P3.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,macrophage,CL:0000235,macrophage,5,F,3_38_F,-15.433110358435366,26.48486090037555,B002765
P3.D042103.3_11_M.1,Limb_Muscle,ForelimbandHindlimb,T cell,CL:0000084,T cell,6,M,3_11_M,0.7592027581724741,34.075590829803616,D042103
P3.D042185.3_9_M.1.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_9_M,-25.534148717430995,17.641967110049684,D042185
P3.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,T cell,CL:0000084,T cell,6,M,3_8_M,1.1823991956713964,35.759297106285096,D042186
P3.D042473.3_10_M.1.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_10_M,-22.268821985875885,18.985360262496112,D042473
P4.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,macrophage,CL:0000235,macrophage,5,F,3_38_F,-15.435318093561582,27.636702338603286,B002765
P4.D042103.3_11_M.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_11_M,-23.39758807378956,13.439677919673347,D042103
P4.D042185.3_9_M.1.1,Limb_Muscle,ForelimbandHindlimb,T cell,CL:0000084,T cell,6,M,3_9_M,1.4447950812929677,36.03225413100495,D042185
P4.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_8_M,-24.803277993340313,15.825496667993786,D042186
P4.D042473.3_10_M.1.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_10_M,-25.706280060133043,18.74836422391761,D042473
P5.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,macrophage,CL:0000235,macrophage,5,F,3_38_F,-15.215640973948549,27.765137508009968,B002765
P5.D042103.3_11_M.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_11_M,-22.733468317595445,13.32127176471629,D042103
P5.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,T cell,CL:0000084,T cell,6,M,3_8_M,0.7079791582035139,35.94788903865851,D042186
P5.D042473.3_10_M.1.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_10_M,-26.076651995873895,19.425260994745546,D042473
P6.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,macrophage,CL:0000235,macrophage,5,F,3_38_F,-15.208409191097711,27.019020727611846,B002765
P6.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_8_M,-25.930089773557935,19.500486189949196,D042186
P6.D042473.3_10_M.1.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_10_M,-26.459807263268353,20.72354981710959,D042473
P7.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,macrophage,CL:0000235,macrophage,5,F,3_38_F,-16.534461600462635,25.89988165780923,B002765
P7.D042185.3_9_M.1.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_9_M,-23.953365698392535,17.663068555008216,D042185
P7.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_8_M,-25.58010543039676,19.027749796936067,D042186
P7.D042473.3_10_M.1.1,Limb_Muscle,ForelimbandHindlimb,macrophage,CL:0000235,macrophage,5,M,3_10_M,-18.835251542282656,25.652231249514585,D042473
P8.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,macrophage,CL:0000235,macrophage,5,F,3_38_F,-16.5937205363948,25.498403487150483,B002765
P8.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,macrophage,CL:0000235,macrophage,5,F,3_39_F,-17.06353409242625,26.149471161502646,B002769
P8.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,T cell,CL:0000084,T cell,6,M,3_8_M,0.5202399907616643,36.23003649064845,D042186
P8.D042473.3_10_M.1.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_10_M,-22.869714129723715,15.314383842874049,D042473
P9.B002765.3_38_F.1.1,Limb_Muscle,ForelimbandHindlimb,macrophage,CL:0000235,macrophage,5,F,3_38_F,-16.82727928687053,24.735341462120797,B002765
P9.B002769.3_39_F.1.1,Limb_Muscle,ForelimbandHindlimb,T cell,CL:0000084,T cell,6,F,3_39_F,1.0351316888163364,34.6002186420309,B002769
P9.D042186.3_8_M.1.1,Limb_Muscle,ForelimbandHindlimb,B cell,CL:0000236,B cell,4,M,3_8_M,-26.28865527372767,20.045846157067217,D042186
