"","subtissue","plate.barcode","FACS.selection","cell_ontology_class","cell_ontology_id","free_annotation","cluster.ids","mouse.sex","mouse.id"
"A10.B000166.3_56_F.1.1","Mammary_Gland","B000166","Multiple","basal cell","CL:0000646","basal cell","2","F","3_56_F"
"A10.B002433.3_38_F.1.1","Mammary_Gland","B002433","Multiple","basal cell","CL:0000646","basal cell","0","F","3_38_F"
"A10.B002435.3_39_F.1.1","Mammary_Gland","B002435","Multiple","basal cell","CL:0000646","basal cell","3","F","3_39_F"
"A10.B002436.3_39_F.1.1","Mammary_Gland","B002436","Multiple","basal cell","CL:0000646","basal cell","0","F","3_39_F"
"A10.B002438.3_38_F.1.1","Mammary_Gland","B002438","Multiple","basal cell","CL:0000646","basal cell","0","F","3_38_F"
"A11.B000166.3_56_F.1.1","Mammary_Gland","B000166","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_56_F"
"A11.B002309.3_57_F.1.1","Mammary_Gland","B002309","Multiple","luminal epithelial cell of mammary gland","CL:0002326","mature luminal cell","5","F","3_57_F"
"A11.B002432.3_38_F.1.1","Mammary_Gland","B002432","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_38_F"
"A11.B002433.3_38_F.1.1","Mammary_Gland","B002433","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_38_F"
"A11.B002436.3_39_F.1.1","Mammary_Gland","B002436","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_39_F"
"A11.B002438.3_38_F.1.1","Mammary_Gland","B002438","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_38_F"
"A12.B000167.3_56_F.1.1","Mammary_Gland","B000167","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_56_F"
"A12.B002432.3_38_F.1.1","Mammary_Gland","B002432","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_38_F"
"A12.B002433.3_38_F.1.1","Mammary_Gland","B002433","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_38_F"
"A12.B002436.3_39_F.1.1","Mammary_Gland","B002436","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_39_F"
"A12.B002438.3_38_F.1.1","Mammary_Gland","B002438","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_38_F"
"A13.B000166.3_56_F.1.1","Mammary_Gland","B000166","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_56_F"
"A13.B000167.3_56_F.1.1","Mammary_Gland","B000167","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_56_F"
"A13.B000168.3_57_F.1.1","Mammary_Gland","B000168","Multiple","luminal epithelial cell of mammary gland","CL:0002326","mature luminal cell","5","F","3_57_F"
"A13.B002309.3_57_F.1.1","Mammary_Gland","B002309","Multiple","luminal epithelial cell of mammary gland","CL:0002326","mature luminal cell","5","F","3_57_F"
"A13.B002432.3_38_F.1.1","Mammary_Gland","B002432","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_38_F"
"A13.B002433.3_38_F.1.1","Mammary_Gland","B002433","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_38_F"
"A13.B002435.3_39_F.1.1","Mammary_Gland","B002435","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_39_F"
"A13.B002436.3_39_F.1.1","Mammary_Gland","B002436","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_39_F"
"A13.B002438.3_38_F.1.1","Mammary_Gland","B002438","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_38_F"
"A14.B000167.3_56_F.1.1","Mammary_Gland","B000167","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_56_F"
"A14.B000168.3_57_F.1.1","Mammary_Gland","B000168","Multiple","luminal epithelial cell of mammary gland","CL:0002326","mature luminal cell","5","F","3_57_F"
"A14.B002309.3_57_F.1.1","Mammary_Gland","B002309","Multiple","luminal epithelial cell of mammary gland","CL:0002326","mature luminal cell","5","F","3_57_F"
"A14.B002432.3_38_F.1.1","Mammary_Gland","B002432","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_38_F"
"A14.B002433.3_38_F.1.1","Mammary_Gland","B002433","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_38_F"
"A14.B002435.3_39_F.1.1","Mammary_Gland","B002435","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_39_F"
"A14.B002436.3_39_F.1.1","Mammary_Gland","B002436","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_39_F"
"A14.B002438.3_38_F.1.1","Mammary_Gland","B002438","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_38_F"
"A15.B000166.3_56_F.1.1","Mammary_Gland","B000166","Multiple","luminal epithelial cell of mammary gland","CL:0002326","mature luminal cell","5","F","3_56_F"
"A15.B000167.3_56_F.1.1","Mammary_Gland","B000167","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_56_F"
"A15.B002309.3_57_F.1.1","Mammary_Gland","B002309","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_57_F"
"A15.B002432.3_38_F.1.1","Mammary_Gland","B002432","Multiple","luminal epithelial cell of mammary gland","CL:0002326","mature luminal cell","5","F","3_38_F"
"A15.B002433.3_38_F.1.1","Mammary_Gland","B002433","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_38_F"
"A15.B002435.3_39_F.1.1","Mammary_Gland","B002435","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_39_F"
"A15.B002436.3_39_F.1.1","Mammary_Gland","B002436","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_39_F"
"A15.B002437.3_39_F.1.1","Mammary_Gland","B002437","Multiple","luminal epithelial cell of mammary gland","CL:0002326","mature luminal cell","5","F","3_39_F"
"A15.B002438.3_38_F.1.1","Mammary_Gland","B002438","Multiple","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor","1","F","3_38_F"
"A16.B000168.3_57_F.1.1","Mammary_Gland","B000168","Multiple","basal cell","CL:0000646","basal cell","2","F","3_57_F"
"A16.B002309.3_57_F.1.1","Mammary_Gland","B002309","Multiple","basal cell","CL:0000646","basal cell","0","F","3_57_F"
"A16.B002432.3_38_F.1.1","Mammary_Gland","B002432","Multiple","stromal cell","CL:0000499","stromal cell","4","F","3_38_F"
"A16.B002433.3_38_F.1.1","Mammary_Gland","B002433","Multiple","stromal cell","CL:0000499","stromal cell","4","F","3_38_F"
"A16.B002436.3_39_F.1.1","Mammary_Gland","B002436","Multiple","stromal cell","CL:0000499","stromal cell","6","F","3_39_F"
"A16.B002438.3_38_F.1.1","Mammary_Gland","B002438","Multiple","stromal cell","CL:0000499","stromal cell","4","F","3_38_F"
"A17.B000166.3_56_F.1.1","Mammary_Gland","B000166","Multiple","basal cell","CL:0000646","basal cell","2","F","3_56_F"
"A17.B000167.3_56_F.1.1","Mammary_Gland","B000167","Multiple","basal cell","CL:0000646","basal cell","2","F","3_56_F"
"A17.B000168.3_57_F.1.1","Mammary_Gland","B000168","Multiple","basal cell","CL:0000646","basal cell","0","F","3_57_F"
"A17.B002309.3_57_F.1.1","Mammary_Gland","B002309","Multiple","endothelial cell","CL:0000115","endothelial cell","7","F","3_57_F"
