"","plate.barcode","annotation","cell_ontology_id"
"O5.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"C3.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"F17.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I17.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"K17.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M12.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P16.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"C4.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"F21.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I20.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"K20.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M15.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"O6.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P17.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"C5.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"G1.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I21.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"K21.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M16.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"O7.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P18.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P19.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"C8.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"G3.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I22.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"K22.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M17.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"O8.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M18.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"O9.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P20.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"C12.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"G4.MAA000570.3_8_M.1.1","MAA000570","macrophage","CL:0000235"
"J1.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"L1.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M20.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"O10.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"C14.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"G6.MAA000570.3_8_M.1.1","MAA000570","macrophage","CL:0000235"
"J4.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"L2.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"J5.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"L3.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M22.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"O11.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"A1.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"D1.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"G7.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"L4.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"N1.MAA000570.3_8_M.1.1","MAA000570","macrophage","CL:0000235"
"O12.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"A2.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"D3.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"G16.MAA000570.3_8_M.1.1","MAA000570","macrophage","CL:0000235"
"J7.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"N2.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"O13.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"A3.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"D5.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"H1.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"J12.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"L5.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"A4.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"A11.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"D8.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"D6.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"H3.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"J17.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"H2.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"J15.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"L6.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"N3.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"O14.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"L14.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"N5.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"O20.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"D14.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"H5.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"J19.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"A15.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"L19.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"N9.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"O22.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"D16.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"H17.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"J21.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"L20.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"N10.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P1.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"A18.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"A19.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"N11.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"D18.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I1.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"J22.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"L21.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P4.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"K3.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"L22.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"N12.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P6.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"A20.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"D19.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I2.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"B2.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"D21.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I3.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"K4.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"B3.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"D22.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M1.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"N13.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P7.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I4.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"K6.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M2.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"N16.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P8.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"N19.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P9.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"B4.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"E3.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I5.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"K7.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M3.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I6.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"K8.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M4.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"N20.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P10.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"B8.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"E17.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"K9.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M5.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"N21.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P11.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"B11.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"F1.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I7.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"B19.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"F3.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I9.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"K11.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M6.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"N22.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P12.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"B20.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"F8.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I11.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"K14.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M7.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"O1.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P13.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"C1.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P14.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"F9.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"C2.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I15.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"K15.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"M8.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"O2.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"F15.MAA000570.3_8_M.1.1","MAA000570","macrophage","CL:0000235"
"M10.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"O3.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P15.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"I16.MAA000570.3_8_M.1.1","MAA000570","macrophage","CL:0000235"
"K16.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129"
"P17.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"J9.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"M11.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"O9.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"P18.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"J10.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"M12.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"O10.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"P19.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"O11.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"J11.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"M13.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"M14.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"O12.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"P21.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"J12.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"M15.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
"O13.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129"
