cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode,subsetA,subsetA_cluster.ids
A11.MAA000560.3_10_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte precursor cell,CL:0002453,NA,4,M,3_10_M,17.272557730406763,-17.434740725565163,MAA000560,FALSE,NA
A11.MAA000561.3_10_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte precursor cell,CL:0002453,NA,4,M,3_10_M,14.04359412105453,-20.830749294085173,MAA000561,FALSE,NA
A11.MAA000564.3_10_M.1.1,Brain_Non-Myeloid,Striatum,neuron,CL:0000540,inhibitory neurons,9,M,3_10_M,44.270663849039714,1.8811764416538226,MAA000564,FALSE,NA
A11.MAA000641.3_9_M.1.1,Brain_Non-Myeloid,Cerebellum,oligodendrocyte,CL:0000128,NA,7,M,3_9_M,3.949862788059287,-0.31309746728356336,MAA000641,FALSE,NA
A11.MAA000902.3_11_M.1.1,Brain_Non-Myeloid,Striatum,oligodendrocyte,CL:0000128,NA,0,M,3_11_M,-14.243531602482221,-1.094726741433868,MAA000902,FALSE,NA
A11.MAA000923.3_9_M.1.1,Brain_Non-Myeloid,Hippocampus,astrocyte of the cerebral cortex,CL:0002605,NA,2,M,3_9_M,6.226006706708397,4.036974124223556,MAA000923,TRUE,2
A11.MAA000926.3_9_M.1.1,Brain_Non-Myeloid,Cortex,endothelial cell,CL:0000115,NA,5,M,3_9_M,-5.485395498987148,33.33663055504538,MAA000926,FALSE,NA
A11.MAA000928.3_9_M.1.1,Brain_Non-Myeloid,Cerebellum,Bergmann glial cell,CL:0000644,NA,2,M,3_9_M,24.664394546296847,16.493047554444537,MAA000928,TRUE,5
A11.MAA000930.3_8_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte,CL:0000128,NA,0,M,3_8_M,-9.620764234779193,1.1447331535996599,MAA000930,FALSE,NA
A11.MAA000932.3_11_M.1.1,Brain_Non-Myeloid,Hippocampus,endothelial cell,CL:0000115,NA,1,M,3_11_M,-11.840225980049572,21.093606913094305,MAA000932,FALSE,NA
A11.MAA000942.3_8_M.1.1,Brain_Non-Myeloid,Striatum,neuron,CL:0000540,inhibitory neurons,9,M,3_8_M,42.30471543987713,2.3661847241571277,MAA000942,FALSE,NA
A11.MAA000944.3_9_M.1.1,Brain_Non-Myeloid,Cortex,astrocyte of the cerebral cortex,CL:0002605,NA,2,M,3_9_M,11.06817520419051,8.062311353354346,MAA000944,TRUE,2
A12.B001688.3_38_F.1.1,Brain_Non-Myeloid,Hippocampus,oligodendrocyte precursor cell,CL:0002453,NA,4,F,3_38_F,13.350549391038035,-16.082444480239165,B001688,FALSE,NA
A12.B003275.3_38_F.1.1,Brain_Non-Myeloid,Hippocampus,endothelial cell,CL:0000115,NA,5,F,3_38_F,-5.0014862408109515,34.85007166907785,B003275,FALSE,NA
A12.B003290.3_38_F.1.1,Brain_Non-Myeloid,Striatum,endothelial cell,CL:0000115,NA,1,F,3_38_F,-23.58404707463673,9.096120202584338,B003290,FALSE,NA
A12.MAA000560.3_10_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte,CL:0000128,NA,0,M,3_10_M,-9.925077428551615,-3.82281991337644,MAA000560,FALSE,NA
A12.MAA000581.3_10_M.1.1,Brain_Non-Myeloid,Cerebellum,endothelial cell,CL:0000115,NA,5,M,3_10_M,-11.120182030600134,28.93645319613134,MAA000581,FALSE,NA
A12.MAA000615.3_10_M.1.1,Brain_Non-Myeloid,Striatum,neuron,CL:0000540,inhibitory neurons,9,M,3_10_M,42.89730745282916,2.2218200257966934,MAA000615,FALSE,NA
A12.MAA000641.3_9_M.1.1,Brain_Non-Myeloid,Cerebellum,oligodendrocyte,CL:0000128,NA,7,M,3_9_M,2.5372487327672353,-2.2652600209733245,MAA000641,FALSE,NA
A12.MAA000926.3_9_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte precursor cell,CL:0002453,NA,4,M,3_9_M,21.334812063105364,-16.706788934252753,MAA000926,FALSE,NA
A12.MAA000930.3_8_M.1.1,Brain_Non-Myeloid,Cortex,astrocyte of the cerebral cortex,CL:0002605,NA,2,M,3_8_M,18.847605251275063,18.37118556425423,MAA000930,TRUE,3
A12.MAA000935.3_8_M.1.1,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,CL:0000128,NA,0,M,3_8_M,1.047511478252783,-18.17733476893104,MAA000935,FALSE,NA
A12.MAA000941.3_8_M.1.1,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,CL:0000128,NA,3,M,3_8_M,7.419917006864841,-27.713481613343454,MAA000941,FALSE,NA
A12.MAA000944.3_9_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte,CL:0000128,NA,0,M,3_9_M,-11.989078530879553,-0.18560804642713194,MAA000944,FALSE,NA
A12.MAA001854.3_38_F.1.1,Brain_Non-Myeloid,Cerebellum,oligodendrocyte,CL:0000128,NA,0,F,3_38_F,-5.953064272162387,2.538286176011379,MAA001854,FALSE,NA
A13.B003275.3_38_F.1.1,Brain_Non-Myeloid,Hippocampus,endothelial cell,CL:0000115,NA,1,F,3_38_F,-13.318224599476004,21.631350865828775,B003275,FALSE,NA
A13.B003290.3_38_F.1.1,Brain_Non-Myeloid,Striatum,endothelial cell,CL:0000115,NA,1,F,3_38_F,-17.26016176912664,23.391471668278214,B003290,FALSE,NA
A13.MAA000424.3_11_M.1.1,Brain_Non-Myeloid,Cerebellum,neuron,CL:0000540,excitatory neurons and some neuronal stem cells,6,M,3_11_M,30.73569613734191,-7.333612170966791,MAA000424,FALSE,NA
A13.MAA000560.3_10_M.1.1,Brain_Non-Myeloid,Cortex,astrocyte of the cerebral cortex,CL:0002605,NA,2,M,3_10_M,22.409248409242537,19.40237647118516,MAA000560,TRUE,3
A13.MAA000563.3_10_M.1.1,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,CL:0000128,NA,3,M,3_10_M,-2.7629687212544334,-25.522187210956375,MAA000563,FALSE,NA
A13.MAA000615.3_10_M.1.1,Brain_Non-Myeloid,Striatum,neuron,CL:0000540,excitatory neurons and some neuronal stem cells,6,M,3_10_M,16.789821706784753,-6.862530061892724,MAA000615,FALSE,NA
A13.MAA000923.3_9_M.1.1,Brain_Non-Myeloid,Hippocampus,astrocyte of the cerebral cortex,CL:0002605,NA,2,M,3_9_M,15.25306838333062,13.257110296681018,MAA000923,TRUE,1
A13.MAA000930.3_8_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte,CL:0000128,NA,0,M,3_8_M,-17.885521486867354,-14.573295984337392,MAA000930,FALSE,NA
A13.MAA000941.3_8_M.1.1,Brain_Non-Myeloid,Hippocampus,endothelial cell,CL:0000115,NA,1,M,3_8_M,-16.233784567920395,19.54031271908407,MAA000941,FALSE,NA
A13.MAA000944.3_9_M.1.1,Brain_Non-Myeloid,Cortex,endothelial cell,CL:0000115,NA,5,M,3_9_M,-7.6388404052909245,33.48898789184057,MAA000944,FALSE,NA
A14.B003274.3_38_F.1.1,Brain_Non-Myeloid,Striatum,oligodendrocyte,CL:0000128,NA,0,F,3_38_F,-13.535187168489406,-12.384819101092472,B003274,FALSE,NA
A14.B003275.3_38_F.1.1,Brain_Non-Myeloid,Hippocampus,endothelial cell,CL:0000115,NA,5,F,3_38_F,-5.22169328451544,35.40423997171984,B003275,FALSE,NA
A14.B003290.3_38_F.1.1,Brain_Non-Myeloid,Striatum,endothelial cell,CL:0000115,NA,1,F,3_38_F,-19.243082394958243,16.636203122734393,B003290,FALSE,NA
A14.B003728.3_56_F.1.1,Brain_Non-Myeloid,Striatum,oligodendrocyte,CL:0000128,NA,0,F,3_56_F,-16.05371090290585,-13.586453850066976,B003728,FALSE,NA
A14.MAA000560.3_10_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte,CL:0000128,NA,3,M,3_10_M,6.020806192098197,-28.621490153345384,MAA000560,FALSE,NA
A14.MAA000561.3_10_M.1.1,Brain_Non-Myeloid,Cortex,neuron,CL:0000540,excitatory neurons and some neuronal stem cells,6,M,3_10_M,16.7785999125581,-6.9076089632028745,MAA000561,FALSE,NA
A14.MAA000581.3_10_M.1.1,Brain_Non-Myeloid,Cerebellum,brain pericyte,CL:2000043,NA,8,M,3_10_M,6.44111977885753,23.25054069070741,MAA000581,FALSE,NA
A14.MAA000926.3_9_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte,CL:0000128,NA,0,M,3_9_M,-13.037148916848581,-23.975496318681568,MAA000926,FALSE,NA
A14.MAA000930.3_8_M.1.1,Brain_Non-Myeloid,Cortex,brain pericyte,CL:2000043,NA,8,M,3_8_M,4.684292965043183,21.99432641320594,MAA000930,FALSE,NA
A14.MAA000942.3_8_M.1.1,Brain_Non-Myeloid,Striatum,neuron,CL:0000540,inhibitory neurons,9,M,3_8_M,44.963949102661616,2.1131988832017354,MAA000942,FALSE,NA
A14.MAA000944.3_9_M.1.1,Brain_Non-Myeloid,Cortex,oligodendrocyte,CL:0000128,NA,7,M,3_9_M,2.343777197343598,20.525135779245893,MAA000944,FALSE,NA
A14.MAA000947.3_9_M.1.1,Brain_Non-Myeloid,Hippocampus,brain pericyte,CL:2000043,NA,8,M,3_9_M,3.5419463847421566,22.7866227083286,MAA000947,FALSE,NA
A14.MAA001845.3_39_F.1.1,Brain_Non-Myeloid,Cerebellum,endothelial cell,CL:0000115,NA,1,F,3_39_F,-13.465514765235936,13.794324633127836,MAA001845,FALSE,NA
A15.B003275.3_38_F.1.1,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,CL:0000128,NA,7,F,3_38_F,0.07888679480430737,0.8524327778363213,B003275,FALSE,NA
A15.B003277.3_39_F.1.1,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,CL:0000128,NA,7,F,3_39_F,2.69582263071851,1.9719869008532205,B003277,FALSE,NA
A15.B003290.3_38_F.1.1,Brain_Non-Myeloid,Striatum,endothelial cell,CL:0000115,NA,5,F,3_38_F,-9.560179420571876,28.35542105578585,B003290,FALSE,NA
