"","plate.barcode","cell_ontology_class","cell_ontology_id","free_annotation","tSNE_1","tSNE_2"
"A10.B000166.3_56_F.1.1","B000166","basal cell","CL:0000646","basal cell",14.0551591225839,14.5976612535022
"C13.B000166.3_56_F.1.1","B000166","luminal epithelial cell of mammary gland","CL:0002326","mature luminal cell",-17.4379677847825,31.6132750613707
"C14.B000166.3_56_F.1.1","B000166","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor",-19.6204068705986,-0.556173117690211
"A11.B000166.3_56_F.1.1","B000166","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor",-17.4073997957487,-0.438783271118125
"A13.B000166.3_56_F.1.1","B000166","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor",-15.8523098447115,-0.157420810085812
"C16.B000166.3_56_F.1.1","B000166","endothelial cell","CL:0000115","endothelial cell",19.2495825601149,-27.9626850426623
"C15.B000166.3_56_F.1.1","B000166","luminal epithelial cell of mammary gland","CL:0002326","luminal progenitor",-29.6278981693864,-3.52821837244241
"A15.B000166.3_56_F.1.1","B000166","luminal epithelial cell of mammary gland","CL:0002326","mature luminal cell",-16.8881188881906,28.1431719924934
"C17.B000166.3_56_F.1.1","B000166","basal cell","CL:0000646","basal cell",20.2531825590871,10.6230384503701
"C18.B000166.3_56_F.1.1","B000166","basal cell","CL:0000646","basal cell",19.9013917201724,18.5798816637201
"A17.B000166.3_56_F.1.1","B000166","basal cell","CL:0000646","basal cell",13.0481424702975,18.9157594418326
"A18.B000166.3_56_F.1.1","B000166","basal cell","CL:0000646","basal cell",15.5143224563659,8.73584036575336
"C20.B000166.3_56_F.1.1","B000166","basal cell","CL:0000646","basal cell",9.46261190462229,14.8628710989762
"C19.B000166.3_56_F.1.1","B000166","basal cell","CL:0000646","basal cell",25.3263772652003,-0.341498922674676
"A19.B000166.3_56_F.1.1","B000166","basal cell","CL:0000646","basal cell",13.2183754437207,5.36590831342546
"A21.B000166.3_56_F.1.1","B000166",NA,NA,"Krt negative Itgb3+ Vim+",17.1404864882309,-19.1177614897262
"A20.B000166.3_56_F.1.1","B000166","basal cell","CL:0000646","basal cell",26.0560809316253,11.8996916464307
"A22.B000166.3_56_F.1.1","B000166","stromal cell","CL:0000499","stromal cell",-19.4676521160337,-19.3622645963009
