cell,tissue,subtissue,FACS.selection,plate.barcode,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids
P15.MAA001888.3_39_F.1.1,Marrow,T-cells,Multiple,MAA001888,B cell,CL:0000236,Cd3e+_Klrb1+ B cell,11,F,3_39_F,TRUE,3,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
P16.D041912.3_8_M.1.1,Marrow,Granulocytes,Multiple,D041912,granulocyte,CL:0000094,NA,3,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
P16.D042044.3_9_M.1.1,Marrow,B-cells,Multiple,D042044,naive B cell,CL:0000788,NA,1,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
P16.D042193.3_8_M.1.1,Marrow,T-cells,Multiple,D042193,granulocyte,CL:0000094,NA,3,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
P16.D042479.3_8_M.1.1,Marrow,B-cells,Multiple,D042479,immature B cell,CL:0000816,NA,6,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
P16.D045140.3_38_F.1.1,Marrow,Granulocytes,Multiple,D045140,granulocyte,CL:0000094,NA,3,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
P16.MAA000409.3_10_M.1.1,Marrow,Granulocytes,Multiple,MAA000409,naive B cell,CL:0000788,NA,1,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
P16.MAA000596.3_9_M.1.1,Marrow,KLS,Multiple,MAA000596,common lymphoid progenitor,CL:0000051,NA,0,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,4,FALSE,NA
P16.MAA000600.3_8_M.1.1,Marrow,KLS,Multiple,MAA000600,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1,FALSE,NA
P16.MAA000639.3_9_M.1.1,Marrow,Granulocytes,Multiple,MAA000639,granulocyte,CL:0000094,NA,3,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
P16.MAA000652.3_10_M.1.1,Marrow,B-cells,Multiple,MAA000652,pro-B cell,CL:0000826,pre-B cell (Philadelphia nomenclature),2,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
P16.MAA000844.3_10_M.1.1,Marrow,T-cells,Multiple,MAA000844,pro-B cell,CL:0000826,pre-B cell (Philadelphia nomenclature),2,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
P16.MAA000848.3_10_M.1.1,Marrow,KLS,Multiple,MAA000848,megakaryocyte-erythroid progenitor cell,CL:0000050,NA,0,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,7,FALSE,NA
P16.MAA001883.3_39_F.1.1,Marrow,B-cells,Multiple,MAA001883,naive B cell,CL:0000788,NA,1,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
