cell,tissue,subtissue,FACS.selection,plate.barcode,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids
A1.D041912.3_8_M.1.1,Marrow,Granulocytes,Multiple,D041912,granulocyte,CL:0000094,NA,3,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A1.MAA000409.3_10_M.1.1,Marrow,Granulocytes,Multiple,MAA000409,basophil,CL:0000767,immature natural killer cell,12,M,3_10_M,TRUE,6,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A1.MAA000596.3_9_M.1.1,Marrow,KLS,Multiple,MAA000596,Slamf1-positive multipotent progenitor cell,CL:0002036,NA,0,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,5,FALSE,NA
A1.MAA000600.3_8_M.1.1,Marrow,KLS,Multiple,MAA000600,megakaryocyte-erythroid progenitor cell,CL:0000050,NA,0,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,7,FALSE,NA
A1.MAA000652.3_10_M.1.1,Marrow,B-cells,Multiple,MAA000652,immature B cell,CL:0000816,NA,6,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A1.MAA000848.3_10_M.1.1,Marrow,KLS,Multiple,MAA000848,hematopoietic precursor cell,CL:0008001,NA,0,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,2,FALSE,NA
A1.MAA001842.3_38_F.1.1,Marrow,T-cells,Multiple,MAA001842,monocyte,CL:0000576,NA,7,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,2
A1.MAA001883.3_39_F.1.1,Marrow,B-cells,Multiple,MAA001883,late pro-B cell,CL:0002048,Dntt- late pro-B cell,8,F,3_39_F,FALSE,NA,FALSE,NA,TRUE,1,FALSE,NA,FALSE,NA
A1.MAA001884.3_38_F.1.1,Marrow,B-cells,Multiple,MAA001884,naive B cell,CL:0000788,NA,1,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A1.MAA001887.3_39_F.1.1,Marrow,KLS,Multiple,MAA001887,monocyte,CL:0000576,NA,7,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,4
A1.MAA001888.3_39_F.1.1,Marrow,T-cells,Multiple,MAA001888,immature T cell,CL:0002420,immature T cell,11,F,3_39_F,TRUE,1,TRUE,2,FALSE,NA,FALSE,NA,FALSE,NA
A10.D042044.3_9_M.1.1,Marrow,B-cells,Multiple,D042044,late pro-B cell,CL:0002048,Dntt- late pro-B cell,8,M,3_9_M,FALSE,NA,FALSE,NA,TRUE,3,FALSE,NA,FALSE,NA
A10.D042193.3_8_M.1.1,Marrow,T-cells,Multiple,D042193,naive B cell,CL:0000788,NA,1,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A10.D042479.3_8_M.1.1,Marrow,B-cells,Multiple,D042479,late pro-B cell,CL:0002048,Dntt- late pro-B cell,8,M,3_8_M,FALSE,NA,FALSE,NA,TRUE,5,FALSE,NA,FALSE,NA
A10.D045140.3_38_F.1.1,Marrow,Granulocytes,Multiple,D045140,monocyte,CL:0000576,NA,7,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,2
A10.MAA000409.3_10_M.1.1,Marrow,Granulocytes,Multiple,MAA000409,hematopoietic precursor cell,CL:0008001,NA,9,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A10.MAA000600.3_8_M.1.1,Marrow,KLS,Multiple,MAA000600,common lymphoid progenitor,CL:0000051,NA,0,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,4,FALSE,NA
A10.MAA000639.3_9_M.1.1,Marrow,Granulocytes,Multiple,MAA000639,granulocyte,CL:0000094,NA,5,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A10.MAA000652.3_10_M.1.1,Marrow,B-cells,Multiple,MAA000652,macrophage,CL:0000235,NA,10,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A10.MAA000844.3_10_M.1.1,Marrow,T-cells,Multiple,MAA000844,immature B cell,CL:0000816,NA,6,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A10.MAA000848.3_10_M.1.1,Marrow,KLS,Multiple,MAA000848,hematopoietic precursor cell,CL:0008001,NA,0,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,2,FALSE,NA
A10.MAA001844.3_38_F.1.1,Marrow,KLS,Multiple,MAA001844,hematopoietic precursor cell,CL:0008001,NA,4,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A10.MAA001883.3_39_F.1.1,Marrow,B-cells,Multiple,MAA001883,immature B cell,CL:0000816,NA,6,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A10.MAA001884.3_38_F.1.1,Marrow,B-cells,Multiple,MAA001884,naive B cell,CL:0000788,NA,1,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A10.MAA001887.3_39_F.1.1,Marrow,KLS,Multiple,MAA001887,immature B cell,CL:0000816,NA,6,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A11.D041912.3_8_M.1.1,Marrow,Granulocytes,Multiple,D041912,hematopoietic precursor cell,CL:0008001,NA,9,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A11.D042044.3_9_M.1.1,Marrow,B-cells,Multiple,D042044,naive B cell,CL:0000788,NA,1,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A11.D042193.3_8_M.1.1,Marrow,T-cells,Multiple,D042193,B cell,CL:0000236,Cd3e+_Klrb1+ B cell,12,M,3_8_M,TRUE,3,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A11.D042479.3_8_M.1.1,Marrow,B-cells,Multiple,D042479,late pro-B cell,CL:0002048,Dntt+ late pro-B cell,8,M,3_8_M,FALSE,NA,FALSE,NA,TRUE,4,FALSE,NA,FALSE,NA
A11.D045140.3_38_F.1.1,Marrow,Granulocytes,Multiple,D045140,monocyte,CL:0000576,NA,7,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,2
A11.MAA000409.3_10_M.1.1,Marrow,Granulocytes,Multiple,MAA000409,hematopoietic precursor cell,CL:0008001,NA,9,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A11.MAA000596.3_9_M.1.1,Marrow,KLS,Multiple,MAA000596,Slamf1-positive multipotent progenitor cell,CL:0002036,NA,0,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,5,FALSE,NA
A11.MAA000600.3_8_M.1.1,Marrow,KLS,Multiple,MAA000600,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1,FALSE,NA
A11.MAA000639.3_9_M.1.1,Marrow,Granulocytes,Multiple,MAA000639,granulocyte,CL:0000094,NA,5,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A11.MAA000652.3_10_M.1.1,Marrow,B-cells,Multiple,MAA000652,naive B cell,CL:0000788,NA,1,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A11.MAA000844.3_10_M.1.1,Marrow,T-cells,Multiple,MAA000844,pre-natural killer cell,CL:0000937,pre-natural killer cell,12,M,3_10_M,TRUE,7,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A11.MAA000848.3_10_M.1.1,Marrow,KLS,Multiple,MAA000848,hematopoietic precursor cell,CL:0008001,NA,0,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,2,FALSE,NA
A11.MAA001842.3_38_F.1.1,Marrow,T-cells,Multiple,MAA001842,naive B cell,CL:0000788,NA,1,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A11.MAA001844.3_38_F.1.1,Marrow,KLS,Multiple,MAA001844,hematopoietic precursor cell,CL:0008001,NA,4,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A11.MAA001883.3_39_F.1.1,Marrow,B-cells,Multiple,MAA001883,pro-B cell,CL:0000826,pre-B cell (Philadelphia nomenclature),2,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A11.MAA001884.3_38_F.1.1,Marrow,B-cells,Multiple,MAA001884,immature B cell,CL:0000816,NA,6,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A12.D041912.3_8_M.1.1,Marrow,Granulocytes,Multiple,D041912,granulocyte,CL:0000094,NA,3,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A12.D042044.3_9_M.1.1,Marrow,B-cells,Multiple,D042044,immature B cell,CL:0000816,NA,6,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A12.D042193.3_8_M.1.1,Marrow,T-cells,Multiple,D042193,naive B cell,CL:0000788,NA,1,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A12.D045139.3_39_F.1.1,Marrow,Granulocytes,Multiple,D045139,granulocyte,CL:0000094,NA,5,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A12.D045140.3_38_F.1.1,Marrow,Granulocytes,Multiple,D045140,granulocyte,CL:0000094,NA,3,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A12.MAA000409.3_10_M.1.1,Marrow,Granulocytes,Multiple,MAA000409,hematopoietic precursor cell,CL:0008001,NA,9,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A12.MAA000596.3_9_M.1.1,Marrow,KLS,Multiple,MAA000596,common lymphoid progenitor,CL:0000051,NA,0,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,4,FALSE,NA
A12.MAA000600.3_8_M.1.1,Marrow,KLS,Multiple,MAA000600,common lymphoid progenitor,CL:0000051,NA,0,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,4,FALSE,NA
A12.MAA000639.3_9_M.1.1,Marrow,Granulocytes,Multiple,MAA000639,granulocyte,CL:0000094,NA,3,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A12.MAA000652.3_10_M.1.1,Marrow,B-cells,Multiple,MAA000652,immature B cell,CL:0000816,NA,6,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A12.MAA000844.3_10_M.1.1,Marrow,T-cells,Multiple,MAA000844,naive B cell,CL:0000788,NA,1,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A12.MAA000848.3_10_M.1.1,Marrow,KLS,Multiple,MAA000848,common lymphoid progenitor,CL:0000051,NA,0,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,4,FALSE,NA
A12.MAA001844.3_38_F.1.1,Marrow,KLS,Multiple,MAA001844,hematopoietic precursor cell,CL:0008001,NA,4,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A12.MAA001883.3_39_F.1.1,Marrow,B-cells,Multiple,MAA001883,pro-B cell,CL:0000826,pre-B cell (Philadelphia nomenclature),2,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A12.MAA001884.3_38_F.1.1,Marrow,B-cells,Multiple,MAA001884,naive B cell,CL:0000788,NA,1,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A12.MAA001887.3_39_F.1.1,Marrow,KLS,Multiple,MAA001887,hematopoietic precursor cell,CL:0008001,NA,4,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A13.D041912.3_8_M.1.1,Marrow,Granulocytes,Multiple,D041912,granulocyte,CL:0000094,NA,3,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A13.D042193.3_8_M.1.1,Marrow,T-cells,Multiple,D042193,immature B cell,CL:0000816,NA,6,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A13.D042479.3_8_M.1.1,Marrow,B-cells,Multiple,D042479,late pro-B cell,CL:0002048,Dntt+ late pro-B cell,8,M,3_8_M,FALSE,NA,FALSE,NA,TRUE,4,FALSE,NA,FALSE,NA
A13.D045140.3_38_F.1.1,Marrow,Granulocytes,Multiple,D045140,granulocyte,CL:0000094,NA,3,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A13.MAA000409.3_10_M.1.1,Marrow,Granulocytes,Multiple,MAA000409,granulocyte,CL:0000094,NA,3,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A13.MAA000596.3_9_M.1.1,Marrow,KLS,Multiple,MAA000596,megakaryocyte-erythroid progenitor cell,CL:0000050,NA,0,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,7,FALSE,NA
A13.MAA000600.3_8_M.1.1,Marrow,KLS,Multiple,MAA000600,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,3,FALSE,NA
A13.MAA000639.3_9_M.1.1,Marrow,Granulocytes,Multiple,MAA000639,granulocyte,CL:0000094,NA,5,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A13.MAA000652.3_10_M.1.1,Marrow,B-cells,Multiple,MAA000652,immature B cell,CL:0000816,NA,6,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A13.MAA000844.3_10_M.1.1,Marrow,T-cells,Multiple,MAA000844,pro-B cell,CL:0000826,pre-B cell (Philadelphia nomenclature),2,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A13.MAA000848.3_10_M.1.1,Marrow,KLS,Multiple,MAA000848,hematopoietic precursor cell,CL:0008001,NA,0,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,2,FALSE,NA
A13.MAA001844.3_38_F.1.1,Marrow,KLS,Multiple,MAA001844,monocyte,CL:0000576,NA,7,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,4
A13.MAA001883.3_39_F.1.1,Marrow,B-cells,Multiple,MAA001883,immature B cell,CL:0000816,NA,6,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A13.MAA001884.3_38_F.1.1,Marrow,B-cells,Multiple,MAA001884,macrophage,CL:0000235,NA,10,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A13.MAA001887.3_39_F.1.1,Marrow,KLS,Multiple,MAA001887,hematopoietic precursor cell,CL:0008001,NA,4,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A14.D041912.3_8_M.1.1,Marrow,Granulocytes,Multiple,D041912,granulocyte monocyte progenitor cell,CL:0000557,NA,7,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,3
A14.D042044.3_9_M.1.1,Marrow,B-cells,Multiple,D042044,naive B cell,CL:0000788,NA,1,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A14.D042193.3_8_M.1.1,Marrow,T-cells,Multiple,D042193,naive B cell,CL:0000788,NA,1,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A14.D042479.3_8_M.1.1,Marrow,B-cells,Multiple,D042479,pro-B cell,CL:0000826,pre-B cell (Philadelphia nomenclature),2,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A14.D045140.3_38_F.1.1,Marrow,Granulocytes,Multiple,D045140,granulocyte monocyte progenitor cell,CL:0000557,NA,7,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,3
A14.MAA000409.3_10_M.1.1,Marrow,Granulocytes,Multiple,MAA000409,granulocyte,CL:0000094,NA,5,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A14.MAA000596.3_9_M.1.1,Marrow,KLS,Multiple,MAA000596,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,3,FALSE,NA
A14.MAA000600.3_8_M.1.1,Marrow,KLS,Multiple,MAA000600,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1,FALSE,NA
A14.MAA000652.3_10_M.1.1,Marrow,B-cells,Multiple,MAA000652,macrophage,CL:0000235,NA,10,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A14.MAA000844.3_10_M.1.1,Marrow,T-cells,Multiple,MAA000844,immature B cell,CL:0000816,NA,6,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A14.MAA000848.3_10_M.1.1,Marrow,KLS,Multiple,MAA000848,megakaryocyte-erythroid progenitor cell,CL:0000050,NA,0,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,7,FALSE,NA
A14.MAA001844.3_38_F.1.1,Marrow,KLS,Multiple,MAA001844,hematopoietic precursor cell,CL:0008001,NA,4,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A14.MAA001883.3_39_F.1.1,Marrow,B-cells,Multiple,MAA001883,naive B cell,CL:0000788,NA,1,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A14.MAA001884.3_38_F.1.1,Marrow,B-cells,Multiple,MAA001884,immature B cell,CL:0000816,NA,6,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A15.D041912.3_8_M.1.1,Marrow,Granulocytes,Multiple,D041912,granulocyte,CL:0000094,NA,5,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A15.D042044.3_9_M.1.1,Marrow,B-cells,Multiple,D042044,late pro-B cell,CL:0002048,Dntt- late pro-B cell,8,M,3_9_M,FALSE,NA,FALSE,NA,TRUE,1,FALSE,NA,FALSE,NA
A15.D042193.3_8_M.1.1,Marrow,T-cells,Multiple,D042193,naive B cell,CL:0000788,NA,1,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A15.D042467.3_9_M.1.1,Marrow,T-cells,Multiple,D042467,mature natural killer cell,CL:0000824,mature natural killer cell,12,M,3_9_M,TRUE,2,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A15.D042479.3_8_M.1.1,Marrow,B-cells,Multiple,D042479,pre-natural killer cell,CL:0000937,pre-natural killer cell,12,M,3_8_M,TRUE,7,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A15.D045140.3_38_F.1.1,Marrow,Granulocytes,Multiple,D045140,granulocyte,CL:0000094,NA,3,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A15.MAA000409.3_10_M.1.1,Marrow,Granulocytes,Multiple,MAA000409,granulocyte,CL:0000094,NA,3,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A15.MAA000596.3_9_M.1.1,Marrow,KLS,Multiple,MAA000596,megakaryocyte-erythroid progenitor cell,CL:0000050,NA,0,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,7,FALSE,NA
A15.MAA000600.3_8_M.1.1,Marrow,KLS,Multiple,MAA000600,Slamf1-positive multipotent progenitor cell,CL:0002036,NA,0,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,5,FALSE,NA
A15.MAA000639.3_9_M.1.1,Marrow,Granulocytes,Multiple,MAA000639,granulocyte monocyte progenitor cell,CL:0000557,NA,7,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,3
A15.MAA000652.3_10_M.1.1,Marrow,B-cells,Multiple,MAA000652,naive B cell,CL:0000788,NA,1,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A15.MAA000844.3_10_M.1.1,Marrow,T-cells,Multiple,MAA000844,immature B cell,CL:0000816,NA,6,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A15.MAA000848.3_10_M.1.1,Marrow,KLS,Multiple,MAA000848,granulocyte monocyte progenitor cell,CL:0000557,NA,0,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,6,FALSE,NA
A15.MAA001884.3_38_F.1.1,Marrow,B-cells,Multiple,MAA001884,naive B cell,CL:0000788,NA,1,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A15.MAA001887.3_39_F.1.1,Marrow,KLS,Multiple,MAA001887,hematopoietic precursor cell,CL:0008001,NA,4,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A16.D041912.3_8_M.1.1,Marrow,Granulocytes,Multiple,D041912,granulocyte,CL:0000094,NA,3,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A16.D042044.3_9_M.1.1,Marrow,B-cells,Multiple,D042044,macrophage,CL:0000235,NA,10,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A16.D042193.3_8_M.1.1,Marrow,T-cells,Multiple,D042193,naive B cell,CL:0000788,NA,1,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A16.D042479.3_8_M.1.1,Marrow,B-cells,Multiple,D042479,naive B cell,CL:0000788,NA,1,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A16.D045140.3_38_F.1.1,Marrow,Granulocytes,Multiple,D045140,granulocyte,CL:0000094,NA,3,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A16.MAA000409.3_10_M.1.1,Marrow,Granulocytes,Multiple,MAA000409,granulocyte,CL:0000094,NA,3,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A16.MAA000596.3_9_M.1.1,Marrow,KLS,Multiple,MAA000596,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1,FALSE,NA
A16.MAA000600.3_8_M.1.1,Marrow,KLS,Multiple,MAA000600,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1,FALSE,NA
A16.MAA000652.3_10_M.1.1,Marrow,B-cells,Multiple,MAA000652,naive B cell,CL:0000788,NA,1,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A16.MAA000844.3_10_M.1.1,Marrow,T-cells,Multiple,MAA000844,naive B cell,CL:0000788,NA,1,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A16.MAA000848.3_10_M.1.1,Marrow,KLS,Multiple,MAA000848,granulocyte monocyte progenitor cell,CL:0000557,NA,0,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,6,FALSE,NA
A16.MAA001844.3_38_F.1.1,Marrow,KLS,Multiple,MAA001844,hematopoietic precursor cell,CL:0008001,NA,4,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A16.MAA001883.3_39_F.1.1,Marrow,B-cells,Multiple,MAA001883,immature B cell,CL:0000816,NA,6,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A16.MAA001884.3_38_F.1.1,Marrow,B-cells,Multiple,MAA001884,pro-B cell,CL:0000826,pre-B cell (Philadelphia nomenclature),2,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A17.D042044.3_9_M.1.1,Marrow,B-cells,Multiple,D042044,late pro-B cell,CL:0002048,Dntt- late pro-B cell,8,M,3_9_M,FALSE,NA,FALSE,NA,TRUE,2,FALSE,NA,FALSE,NA
A17.D042193.3_8_M.1.1,Marrow,T-cells,Multiple,D042193,naive B cell,CL:0000788,NA,1,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A17.D042479.3_8_M.1.1,Marrow,B-cells,Multiple,D042479,naive B cell,CL:0000788,NA,1,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A17.D045139.3_39_F.1.1,Marrow,Granulocytes,Multiple,D045139,granulocyte,CL:0000094,NA,5,F,3_39_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A17.D045140.3_38_F.1.1,Marrow,Granulocytes,Multiple,D045140,granulocyte,CL:0000094,NA,5,F,3_38_F,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A17.MAA000409.3_10_M.1.1,Marrow,Granulocytes,Multiple,MAA000409,granulocyte monocyte progenitor cell,CL:0000557,NA,7,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,3
A17.MAA000596.3_9_M.1.1,Marrow,KLS,Multiple,MAA000596,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,1,FALSE,NA
A17.MAA000600.3_8_M.1.1,Marrow,KLS,Multiple,MAA000600,Slamf1-negative multipotent progenitor cell,CL:0002035,NA,0,M,3_8_M,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,3,FALSE,NA
A17.MAA000639.3_9_M.1.1,Marrow,Granulocytes,Multiple,MAA000639,monocyte,CL:0000576,NA,7,M,3_9_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,TRUE,2
A17.MAA000652.3_10_M.1.1,Marrow,B-cells,Multiple,MAA000652,pro-B cell,CL:0000826,pre-B cell (Philadelphia nomenclature),2,M,3_10_M,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
A17.MAA000844.3_10_M.1.1,Marrow,T-cells,Multiple,MAA000844,mature natural killer cell,CL:0000824,mature natural killer cell,11,M,3_10_M,TRUE,2,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA
