"","plate.barcode","annotation","cell_ontology_id"
"A13.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"B18.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"D6.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"E20.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"G8.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"H22.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"O22.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"J6.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"K14.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"L22.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"N11.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"I1.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"J7.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"K15.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"M1.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"N13.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"A14.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"B19.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"D7.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"E21.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"G9.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"P1.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"D9.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"E22.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"G11.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"I2.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"A15.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"B20.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"J9.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"A16.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"B21.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"D10.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"F2.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"G12.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"K17.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"I3.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"J10.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"K18.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"M2.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"N15.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"P2.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"M3.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"B22.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"D11.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"G13.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"I4.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"J11.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"K19.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"M4.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"N17.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"N16.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"P4.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"P3.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"A17.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"G15.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"I5.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"J12.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"K20.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"M6.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"N18.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"P5.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"A20.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"A19.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"C1.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"D12.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"F4.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"C2.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"M7.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"N22.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"P6.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"D14.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"A21.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"F5.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"G18.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"I6.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"J14.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"K22.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"L1.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"M8.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"O1.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"C3.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"D15.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"F6.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"G19.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"I7.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"J15.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"A22.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"M9.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"O2.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"P8.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"D17.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"F7.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"G20.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"I8.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"J17.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"L2.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"J18.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"L4.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"M11.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"O3.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
"P9.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0000312"
"B1.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312"
