"","plate.barcode","annotation","cell_ontology_id"
"A18.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"B20.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"C22.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"E2.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"F8.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"A19.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"B21.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D1.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"E4.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"F11.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D2.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"E5.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"F12.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"A20.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"B22.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D3.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"E6.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"F13.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"A21.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"C1.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"A22.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"C2.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"D4.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"E7.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"F14.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"C3.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D5.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"E8.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"F15.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"B2.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"C4.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D6.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"E9.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"F16.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"A1.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"B3.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"C5.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D7.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"E10.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"F18.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"A2.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"B4.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"C6.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"E11.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"F19.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"A3.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"B5.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"C7.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"D9.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"E12.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"F20.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"A4.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"B6.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"C8.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D10.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"E13.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"A5.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"B7.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"C9.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D11.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"E14.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"A6.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"B8.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"C10.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"D12.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"E15.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"A7.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"B9.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"C11.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D13.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"A8.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"B10.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"C12.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D14.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"E18.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"A9.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"B11.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"C13.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D15.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"E20.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D16.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"E21.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"A10.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"B12.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"C14.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"A11.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"A12.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"B14.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"C16.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"B13.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D18.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"F1.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"C15.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D17.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"E22.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"A13.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"B15.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"C17.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D19.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"F2.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"A15.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"B17.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"A14.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"B16.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"C18.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D20.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"F3.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"C19.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"A16.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"B18.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"D21.B000971.3_39_F.1.1","B000971","myeloid cell","CL:0000763"
"C20.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"F5.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"A17.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"B19.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"C21.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"E1.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"F6.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"G12.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"H20.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"J3.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"G14.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"H21.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"J4.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"K11.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"K12.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"L20.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"N1.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"L18.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"M22.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"O6.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"P8.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"O7.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"G15.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"H22.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"J5.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"K13.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"L21.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"P9.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"N2.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"O8.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"P10.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"I1.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"J6.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
"K14.B000971.3_39_F.1.1","B000971","B cell","CL:0000236"
"L22.B000971.3_39_F.1.1","B000971","T cell","CL:0000084"
