"","plate.barcode","annotation","cell_ontology_id"
"A7.D042474.3_8_M.1.1","D042474","8","8"
"B21.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"D16.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"F10.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"H14.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"J9.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"K22.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"M14.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"D17.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"F12.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"H15.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"J11.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"L1.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"M16.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"A8.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"B22.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"M18.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"A10.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"C4.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"D20.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"F20.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"A9.D042474.3_8_M.1.1","D042474","8","8"
"C2.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"D19.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"F18.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"H18.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"J12.D042474.3_8_M.1.1","D042474","8","8"
"L2.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"H19.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"J13.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"L3.D042474.3_8_M.1.1","D042474","8","8"
"M20.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"A12.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"C5.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"H20.D042474.3_8_M.1.1","D042474","8","8"
"J14.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"D21.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"F21.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"L4.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"M21.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"A13.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"C6.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"D22.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"G2.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"L5.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"M22.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"H21.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"J16.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"A14.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"C7.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"E1.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"G3.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"H22.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"J17.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"A15.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"C9.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"E2.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"L6.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"N1.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"L7.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"N2.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"G5.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"I1.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"J18.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"E3.D042474.3_8_M.1.1","D042474","leukocyte","CL:0000738"
"G6.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"I5.D042474.3_8_M.1.1","D042474","stromal cell","CL:0000499"
"J20.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
