"","plate.barcode","cell_ontology_class","cell_ontology_id"
"A1.B000412.3_56_F.1.1","B000412","endothelial cell","CL:0000115"
"A1.B000633.3_56_F.1.1","B000633","leukocyte","CL:0000738"
"A1.B000634.3_56_F.1.1","B000634","endothelial cell","CL:0000115"
"A1.B002423.3_39_F.1.1","B002423","fibroblast","CL:0000057"
"A1.B002427.3_39_F.1.1","B002427","smooth muscle cell","CL:0000192"
"A1.B002428.3_38_F.1.1","B002428","endocardial cell","CL:0002350"
"A1.MAA000398.3_9_M.1.1","MAA000398","fibroblast","CL:0000057"
"A1.MAA000400.3_8_M.1.1","MAA000400","fibroblast","CL:0000057"
"A1.MAA000898.3_11_M.1.1","MAA000898","fibroblast","CL:0000057"
"A1.MAA000899.3_10_M.1.1","MAA000899","fibroblast","CL:0000057"
"A1.MAA000903.3_11_M.1.1","MAA000903","fibroblast","CL:0000057"
"A1.MAA100037.3_10_M.1.1","MAA100037","cardiac muscle cell","CL:0000746"
"A10.B000633.3_56_F.1.1","B000633","endothelial cell","CL:0000115"
"A10.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"A10.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"A10.B002421.3_39_F.1.1","B002421","endothelial cell","CL:0000115"
"A10.B002423.3_39_F.1.1","B002423","endothelial cell","CL:0000115"
"A10.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A10.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A10.MAA000398.3_9_M.1.1","MAA000398","leukocyte","CL:0000738"
"A10.MAA000586.3_8_M.1.1","MAA000586","fibroblast","CL:0000057"
"A10.MAA000936.3_9_M.1.1","MAA000936","leukocyte","CL:0000738"
"A10.MAA100037.3_11_M.1.1","MAA100037","cardiac muscle cell","CL:0000746"
"A11.B000412.3_56_F.1.1","B000412","fibroblast","CL:0000057"
"A11.B000633.3_56_F.1.1","B000633","fibroblast","CL:0000057"
"A11.B000634.3_56_F.1.1","B000634","fibroblast","CL:0000057"
"A11.B000636.3_56_F.1.1","B000636","endothelial cell","CL:0000115"
"A11.B002010.3_39_F.1.1","B002010","endocardial cell","CL:0002350"
"A11.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"A11.B002421.3_39_F.1.1","B002421","endothelial cell","CL:0000115"
"A11.B002423.3_39_F.1.1","B002423","fibroblast","CL:0000057"
"A11.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A11.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A11.MAA000398.3_9_M.1.1","MAA000398","smooth muscle cell","CL:0000192"
"A11.MAA000586.3_8_M.1.1","MAA000586","fibroblast","CL:0000057"
"A11.MAA000920.3_11_M.1.1","MAA000920","fibroblast","CL:0000057"
"A11.MAA100037.3_11_M.1.1","MAA100037","cardiac muscle cell","CL:0000746"
"A12.B000633.3_56_F.1.1","B000633","fibroblast","CL:0000057"
"A12.B000636.3_56_F.1.1","B000636","leukocyte","CL:0000738"
"A12.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"A12.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"A12.B002421.3_39_F.1.1","B002421","endothelial cell","CL:0000115"
"A12.B002423.3_39_F.1.1","B002423","fibroblast","CL:0000057"
"A12.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A12.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A12.MAA000903.3_11_M.1.1","MAA000903","endothelial cell","CL:0000115"
"A12.MAA000936.3_9_M.1.1","MAA000936","leukocyte","CL:0000738"
"A12.MAA100037.3_11_M.1.1","MAA100037","cardiac muscle cell","CL:0000746"
"A13.B000633.3_56_F.1.1","B000633","fibroblast","CL:0000057"
"A13.B000634.3_56_F.1.1","B000634","endothelial cell","CL:0000115"
"A13.B002010.3_39_F.1.1","B002010","leukocyte","CL:0000738"
"A13.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"A13.B002421.3_39_F.1.1","B002421","leukocyte","CL:0000738"
"A13.B002423.3_39_F.1.1","B002423","fibroblast","CL:0000057"
"A13.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A13.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A13.MAA000398.3_9_M.1.1","MAA000398","smooth muscle cell","CL:0000192"
"A13.MAA000400.3_8_M.1.1","MAA000400","fibroblast","CL:0000057"
"A13.MAA000903.3_11_M.1.1","MAA000903","smooth muscle cell","CL:0000192"
"A13.MAA000919.3_10_M.1.1","MAA000919","fibroblast","CL:0000057"
"A13.MAA000920.3_11_M.1.1","MAA000920","fibroblast","CL:0000057"
"A14.B000412.3_56_F.1.1","B000412","endothelial cell","CL:0000115"
"A14.B000633.3_56_F.1.1","B000633","endocardial cell","CL:0002350"
"A14.B000634.3_56_F.1.1","B000634","fibroblast","CL:0000057"
"A14.B002010.3_39_F.1.1","B002010","fibroblast","CL:0000057"
"A14.B002011.3_38_F.1.1","B002011","fibroblast","CL:0000057"
"A14.B002423.3_39_F.1.1","B002423","fibroblast","CL:0000057"
"A14.B002427.3_39_F.1.1","B002427","fibroblast","CL:0000057"
"A14.B002428.3_38_F.1.1","B002428","fibroblast","CL:0000057"
"A14.B002429.3_38_F.1.1","B002429","endothelial cell","CL:0000115"
"A14.MAA000398.3_9_M.1.1","MAA000398","fibroblast","CL:0000057"
"A14.MAA000399.3_9_M.1.1","MAA000399","endothelial cell","CL:0000115"
"A14.MAA000400.3_8_M.1.1","MAA000400","fibroblast","CL:0000057"
"A14.MAA000586.3_8_M.1.1","MAA000586","leukocyte","CL:0000738"
