"","plate.barcode","cell_ontology_class","cell_ontology_id","free_annotation","tSNE_1","tSNE_2"
"A1.B003290.3_38_F.1.1","B003290","astrocyte","CL:0000127",NA,18.1631190004036,3.98120316826309
"A1.B003728.3_56_F.1.1","B003728","astrocyte","CL:0000127",NA,11.0635112297388,9.26394601172182
"A1.MAA000560.3_10_M.1.1","MAA000560","oligodendrocyte","CL:0000128",NA,-8.51274968974126,-11.3777413917567
"A1.MAA000564.3_10_M.1.1","MAA000564","endothelial cell","CL:0000115",NA,-4.45813788517118,34.2042881404634
"A1.MAA000923.3_9_M.1.1","MAA000923","astrocyte","CL:0000127",NA,13.5928572282288,11.2594488253994
"A1.MAA000930.3_8_M.1.1","MAA000930","oligodendrocyte","CL:0000128",NA,6.75608509960575,2.94353974161591
"A1.MAA000932.3_11_M.1.1","MAA000932","endothelial cell","CL:0000115",NA,-23.0664362217992,11.9443902263044
"A1.MAA000940.3_8_M.1.1","MAA000940","neuron","CL:0000540","inhibitory neurons",36.8306649072974,1.02160038072983
"A1.MAA001854.3_38_F.1.1","MAA001854","oligodendrocyte","CL:0000128",NA,5.71283687203951,1.12150465833086
"A1.MAA001894.3_39_F.1.1","MAA001894","endothelial cell","CL:0000115",NA,-14.0343036450474,27.684129114265
"A1.MAA001895.3_38_F.1.1","MAA001895","endothelial cell","CL:0000115",NA,-18.0223350929558,17.8834282277103
"A10.B003290.3_38_F.1.1","B003290","endothelial cell","CL:0000115",NA,-22.1781476091954,17.5284739166663
"A10.MAA000564.3_10_M.1.1","MAA000564","oligodendrocyte precursor cell","CL:0002453",NA,15.7430288691296,-18.0139271961393
"A10.MAA000641.3_9_M.1.1","MAA000641","oligodendrocyte","CL:0000128",NA,4.25474963785183,-0.156380347065401
"A10.MAA000926.3_9_M.1.1","MAA000926","astrocyte","CL:0000127",NA,18.5712666995552,18.9038248897939
"A10.MAA000930.3_8_M.1.1","MAA000930","oligodendrocyte precursor cell","CL:0002453",NA,16.6524419088147,-16.9164597516139
"A10.MAA000932.3_11_M.1.1","MAA000932","endothelial cell","CL:0000115",NA,-22.0480016190849,13.7444763542266
"A10.MAA000935.3_8_M.1.1","MAA000935","oligodendrocyte","CL:0000128",NA,-8.55852897443244,-25.2057014990849
"A10.MAA000941.3_8_M.1.1","MAA000941","oligodendrocyte","CL:0000128",NA,-17.3578099959522,-17.7765676477898
"A10.MAA000944.3_9_M.1.1","MAA000944","oligodendrocyte","CL:0000128",NA,-17.5147491263737,-7.94885027235111
"A10.MAA001853.3_38_F.1.1","MAA001853","endothelial cell","CL:0000115",NA,-16.9457737937828,19.1269191051945
"A10.MAA001854.3_38_F.1.1","MAA001854","oligodendrocyte","CL:0000128",NA,-3.75554954200696,2.65998796693397
"A11.B000404.3_56_F.1.1","B000404","astrocyte","CL:0000127",NA,8.57781222580774,3.90313640950608
"A11.B003275.3_38_F.1.1","B003275","endothelial cell","CL:0000115",NA,-17.9003555364006,18.3743614140924
"A11.MAA000560.3_10_M.1.1","MAA000560","oligodendrocyte precursor cell","CL:0002453",NA,15.779448249512,-17.4825777614452
"A11.MAA000561.3_10_M.1.1","MAA000561","oligodendrocyte precursor cell","CL:0002453",NA,13.4164240046014,-21.3514614451173
"A11.MAA000564.3_10_M.1.1","MAA000564","neuron","CL:0000540","inhibitory neurons",38.8333671673593,2.26577473987194
"A11.MAA000641.3_9_M.1.1","MAA000641","oligodendrocyte","CL:0000128",NA,4.74533848648752,-0.561036373622601
"A11.MAA000902.3_11_M.1.1","MAA000902","oligodendrocyte","CL:0000128",NA,-13.0524332946088,-1.08840603503114
"A11.MAA000923.3_9_M.1.1","MAA000923","astrocyte","CL:0000127",NA,6.60735513654405,3.92904209912738
"A11.MAA000926.3_9_M.1.1","MAA000926","endothelial cell","CL:0000115",NA,-4.91337812755929,33.4762126541025
"A11.MAA000928.3_9_M.1.1","MAA000928","astrocyte","CL:0000127",NA,25.0239912527492,15.5733815500204
"A11.MAA000930.3_8_M.1.1","MAA000930","oligodendrocyte","CL:0000128",NA,-8.7268942906508,1.11290936400222
"A11.MAA000932.3_11_M.1.1","MAA000932","endothelial cell","CL:0000115",NA,-11.515656210176,21.3861285191664
"A11.MAA000942.3_8_M.1.1","MAA000942","neuron","CL:0000540","inhibitory neurons",36.9021362483598,1.71253549631793
"A11.MAA000944.3_9_M.1.1","MAA000944","astrocyte","CL:0000127",NA,10.9004069367032,8.33864761116317
"A12.B001688.3_38_F.1.1","B001688","oligodendrocyte precursor cell","CL:0002453",NA,11.9653383328993,-15.8165600938089
"A12.B003275.3_38_F.1.1","B003275","endothelial cell","CL:0000115",NA,-4.21900323749933,34.8463583618006
"A12.B003290.3_38_F.1.1","B003290","endothelial cell","CL:0000115",NA,-23.3980542028303,9.56582269971674
"A12.MAA000560.3_10_M.1.1","MAA000560","oligodendrocyte","CL:0000128",NA,-8.7608030554665,-4.07954186499843
"A12.MAA000581.3_10_M.1.1","MAA000581","endothelial cell","CL:0000115",NA,-10.6020528315741,29.1761531387916
"A12.MAA000615.3_10_M.1.1","MAA000615","neuron","CL:0000540","inhibitory neurons",37.501913200748,1.8236449569251
"A12.MAA000641.3_9_M.1.1","MAA000641","oligodendrocyte","CL:0000128",NA,3.2162034442914,-2.37789049652884
"A12.MAA000926.3_9_M.1.1","MAA000926","oligodendrocyte precursor cell","CL:0002453",NA,19.9438961216276,-17.5552957178718
"A12.MAA000930.3_8_M.1.1","MAA000930","astrocyte","CL:0000127",NA,19.1459778432385,18.505915605816
"A12.MAA000935.3_8_M.1.1","MAA000935","oligodendrocyte","CL:0000128",NA,1.45030038897664,-18.8045743847652
"A12.MAA000941.3_8_M.1.1","MAA000941","oligodendrocyte","CL:0000128",NA,7.85031371019162,-27.9699288875401
"A12.MAA000944.3_9_M.1.1","MAA000944","oligodendrocyte","CL:0000128",NA,-10.9481835756298,-0.304307624254841
"A12.MAA001854.3_38_F.1.1","MAA001854","oligodendrocyte","CL:0000128",NA,-5.13550652087586,2.54161748658042
"A13.B003275.3_38_F.1.1","B003275","endothelial cell","CL:0000115",NA,-13.0647263744741,21.9524007239173
"A13.B003290.3_38_F.1.1","B003290","endothelial cell","CL:0000115",NA,-17.0115777235111,23.7389898598945
"A13.MAA000424.3_11_M.1.1","MAA000424","neuron","CL:0000540","excitatory neurons and some neuronal stemm cells",28.1843657032767,-7.87999927263418
"A13.MAA000560.3_10_M.1.1","MAA000560","astrocyte","CL:0000127",NA,22.8651304569838,18.8356017534873
"A13.MAA000563.3_10_M.1.1","MAA000563","oligodendrocyte","CL:0000128",NA,-2.63368112585973,-25.9901722939799
"A13.MAA000615.3_10_M.1.1","MAA000615","neuron","CL:0000540","excitatory neurons and some neuronal stemm cells",15.8829287222467,-6.94218870112262
"A13.MAA000923.3_9_M.1.1","MAA000923","astrocyte","CL:0000127",NA,15.2586158973892,13.7315077318159
"A13.MAA000930.3_8_M.1.1","MAA000930","oligodendrocyte","CL:0000128",NA,-17.3618538594552,-14.2857976007846
"A13.MAA000941.3_8_M.1.1","MAA000941","endothelial cell","CL:0000115",NA,-16.1244482338035,20.0333733801867
"A13.MAA000944.3_9_M.1.1","MAA000944","endothelial cell","CL:0000115",NA,-7.00857708652202,33.6764924125884
"A14.B003274.3_38_F.1.1","B003274","oligodendrocyte","CL:0000128",NA,-11.6507745984873,-13.3701826153084
"A14.B003275.3_38_F.1.1","B003275","endothelial cell","CL:0000115",NA,-4.43874030322715,35.4639821696025
"A14.B003290.3_38_F.1.1","B003290","endothelial cell","CL:0000115",NA,-19.1612139515381,17.0939117477061
