"","plate.barcode","cell_ontology_class","cell_ontology_id"
"A1.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A1.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"A1.MAA000549.3_8_M.1.1","MAA000549","epidermal cell","CL:0000362"
"A10.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A10.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"A11.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A11.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"A12.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A12.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"A12.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"A13.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A13.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"A14.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A14.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"A15.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A15.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"A16.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A16.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"A16.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"A17.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A17.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"A18.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A18.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"A19.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A19.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"A19.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"A2.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A2.MAA000549.3_8_M.1.1","MAA000549","keratinocyte stem cell","CL:0002337"
"A20.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A20.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"A20.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"A21.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A21.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"A3.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"A3.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"A3.MAA000597.3_9_M.1.1","MAA000597","epidermal cell","CL:0000362"
"A4.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"A4.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"A4.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"A4.MAA000597.3_9_M.1.1","MAA000597","epidermal cell","CL:0000362"
"A5.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"A5.MAA000435.3_10_M.1.1","MAA000435","epidermal cell","CL:0000362"
"A5.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"A6.MAA000427.3_11_M.1.1","MAA000427","epidermal cell","CL:0000362"
"A6.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"A7.MAA000435.3_10_M.1.1","MAA000435","epidermal cell","CL:0000362"
"A8.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A8.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"A8.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"A9.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"A9.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"B1.MAA000427.3_11_M.1.1","MAA000427","epidermal cell","CL:0000362"
"B1.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"B1.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"B10.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B10.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"B11.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B11.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"B12.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B12.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"B13.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B13.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"B14.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B15.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B16.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B16.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"B16.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"B17.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B17.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"B18.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B18.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"B18.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"B19.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B2.MAA000427.3_11_M.1.1","MAA000427","epidermal cell","CL:0000362"
"B2.MAA000435.3_10_M.1.1","MAA000435","basal cell of epidermis","CL:0002187"
"B2.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"B2.MAA000597.3_9_M.1.1","MAA000597","basal cell of epidermis","CL:0002187"
"B20.MAA000427.3_11_M.1.1","MAA000427","basal cell of epidermis","CL:0002187"
"B20.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"B20.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"B21.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B21.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"B22.MAA000435.3_10_M.1.1","MAA000435","epidermal cell","CL:0000362"
"B3.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B3.MAA000597.3_9_M.1.1","MAA000597","keratinocyte stem cell","CL:0002337"
"B4.MAA000427.3_11_M.1.1","MAA000427","keratinocyte stem cell","CL:0002337"
"B4.MAA000435.3_10_M.1.1","MAA000435","keratinocyte stem cell","CL:0002337"
"B4.MAA000549.3_8_M.1.1","MAA000549","basal cell of epidermis","CL:0002187"
"B4.MAA000597.3_9_M.1.1","MAA000597","basal cell of epidermis","CL:0002187"
