"","plate.barcode","annotation","cell_ontology_id"
"A12.MAA000583.3_9_M.1.1","MAA000583","large intestine goblet cell","CL:1000320"
"C5.MAA000583.3_9_M.1.1","MAA000583","epithelial cell of large intestine","CL:0002253"
"D20.MAA000583.3_9_M.1.1","MAA000583","large intestine goblet cell","CL:1000320"
"F11.MAA000583.3_9_M.1.1","MAA000583","large intestine goblet cell","CL:1000320"
"H2.MAA000583.3_9_M.1.1","MAA000583","large intestine goblet cell","CL:1000320"
"I12.MAA000583.3_9_M.1.1","MAA000583","enterocyte of epithelium of large intestine","CL:0002071"
"A13.MAA000583.3_9_M.1.1","MAA000583","enterocyte of epithelium of large intestine","CL:0002071"
"C6.MAA000583.3_9_M.1.1","MAA000583","large intestine goblet cell","CL:1000320"
"D21.MAA000583.3_9_M.1.1","MAA000583","epithelial cell of large intestine","CL:0002253"
"F12.MAA000583.3_9_M.1.1","MAA000583","epithelial cell of large intestine","CL:0002253"
"H3.MAA000583.3_9_M.1.1","MAA000583","epithelial cell of large intestine","CL:0002253"
"I13.MAA000583.3_9_M.1.1","MAA000583","large intestine goblet cell","CL:1000320"
"K7.MAA000583.3_9_M.1.1","MAA000583","large intestine goblet cell","CL:1000320"
"L18.MAA000583.3_9_M.1.1","MAA000583","epithelial cell of large intestine","CL:0002253"
"N8.MAA000583.3_9_M.1.1","MAA000583","epithelial cell of large intestine","CL:0002253"
"L17.MAA000583.3_9_M.1.1","MAA000583","enterocyte of epithelium of large intestine","CL:0002071"
"N7.MAA000583.3_9_M.1.1","MAA000583","epithelial cell of large intestine","CL:0002253"
"P19.MAA000583.3_9_M.1.1","MAA000583","large intestine goblet cell","CL:1000320"
"F13.MAA000583.3_9_M.1.1","MAA000583","enterocyte of epithelium of large intestine","CL:0002071"
"H5.MAA000583.3_9_M.1.1","MAA000583","enterocyte of epithelium of large intestine","CL:0002071"
"I14.MAA000583.3_9_M.1.1","MAA000583","enterocyte of epithelium of large intestine","CL:0002071"
"K8.MAA000583.3_9_M.1.1","MAA000583","epithelial cell of large intestine","CL:0002253"
"L19.MAA000583.3_9_M.1.1","MAA000583","enterocyte of epithelium of large intestine","CL:0002071"
"N9.MAA000583.3_9_M.1.1","MAA000583","epithelial cell of large intestine","CL:0002253"
"O18.MAA000583.3_9_M.1.1","MAA000583","large intestine goblet cell","CL:1000320"
"P21.MAA000583.3_9_M.1.1","MAA000583","epithelial cell of large intestine","CL:0002253"
"A14.MAA000583.3_9_M.1.1","MAA000583","enterocyte of epithelium of large intestine","CL:0002071"
"C11.MAA000583.3_9_M.1.1","MAA000583","large intestine goblet cell","CL:1000320"
"D22.MAA000583.3_9_M.1.1","MAA000583","epithelial cell of large intestine","CL:0002253"
"H6.MAA000583.3_9_M.1.1","MAA000583","enterocyte of epithelium of large intestine","CL:0002071"
"I16.MAA000583.3_9_M.1.1","MAA000583","enterocyte of epithelium of large intestine","CL:0002071"
"K9.MAA000583.3_9_M.1.1","MAA000583","enterocyte of epithelium of large intestine","CL:0002071"
"L20.MAA000583.3_9_M.1.1","MAA000583","epithelial cell of large intestine","CL:0002253"
"N11.MAA000583.3_9_M.1.1","MAA000583","epithelial cell of large intestine","CL:0002253"
"O19.MAA000583.3_9_M.1.1","MAA000583","epithelial cell of large intestine","CL:0002253"
"C12.MAA000583.3_9_M.1.1","MAA000583","enterocyte of epithelium of large intestine","CL:0002071"
