"","plate.barcode","cell_ontology_class","cell_ontology_id","free_annotation","tSNE_1","tSNE_2"
"A1.B000826.3_39_F.1.1","B000826","microglial cell","CL:0000129","male enriched",-24.4045335812327,9.59236657116293
"A1.B001176.3_56_F.1.1","B001176","microglial cell","CL:0000129","female enriched",2.3493013213147,26.1504355886379
"A1.B003279.3_38_F.1.1","B003279","microglial cell","CL:0000129","male enriched",-30.5951339016372,-14.5296682498107
"A1.B003281.3_39_F.1.1","B003281","microglial cell","CL:0000129","male enriched",-23.2615918088166,10.501992913493
"A1.B003292.3_39_F.1.1","B003292","microglial cell","CL:0000129","male enriched",-24.8460943433231,10.9518018183494
"A1.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129","female enriched",-1.7287787446062,-31.3984265565179
"A1.MAA000593.3_8_M.1.1","MAA000593","microglial cell","CL:0000129","male enriched",1.73872854261532,-11.1088491231569
"A1.MAA000603.3_10_M.1.1","MAA000603","microglial cell","CL:0000129","female enriched",2.67893066366532,-29.8587463910348
"A1.MAA000604.3_10_M.1.1","MAA000604","microglial cell","CL:0000129","male enriched",14.7939227492687,-6.81964646768438
"A1.MAA000617.3_10_M.1.1","MAA000617","microglial cell","CL:0000129","male enriched",32.6282045653204,-3.46005685369129
"A10.B000825.3_38_F.1.1","B000825","microglial cell","CL:0000129","male enriched",-31.020080920669,-16.511430151449
"A10.B001176.3_56_F.1.1","B001176","microglial cell","CL:0000129","male enriched",-25.7028722668438,9.2001455487387
"A10.B001689.3_38_F.1.1","B001689","microglial cell","CL:0000129","male enriched",-32.7903173306781,-4.0331923284469
"A10.B003281.3_39_F.1.1","B003281","microglial cell","CL:0000129","female enriched",-16.1226826565,14.2808338531022
"A10.B003292.3_39_F.1.1","B003292","microglial cell","CL:0000129","male enriched",-9.7969679976086,10.0445383996948
"A10.MAA000571.3_9_M.1.1","MAA000571","microglial cell","CL:0000129","female enriched",0.336209309860444,-28.1566607184315
"A10.MAA000572.3_8_M.1.1","MAA000572","microglial cell","CL:0000129","male enriched",25.9832980751233,6.58200572927319
"A10.MAA000590.3_9_M.1.1","MAA000590","microglial cell","CL:0000129","male enriched",18.3387614194678,-17.7542037270057
"A10.MAA000591.3_8_M.1.1","MAA000591","microglial cell","CL:0000129","male enriched",27.5078820807965,4.09478766457532
"A10.MAA000593.3_8_M.1.1","MAA000593","microglial cell","CL:0000129","female enriched",4.15825612964493,-13.8574252488845
"A10.MAA000603.3_10_M.1.1","MAA000603","microglial cell","CL:0000129","male enriched",25.6858417078183,7.86729744100525
"A10.MAA000604.3_10_M.1.1","MAA000604","microglial cell","CL:0000129",NA,28.7487128756883,16.5390925705202
"A10.MAA000605.3_10_M.1.1","MAA000605","microglial cell","CL:0000129","female enriched",-2.08908522226335,-23.7345751971282
"A10.MAA000617.3_10_M.1.1","MAA000617","microglial cell","CL:0000129","male enriched",24.0465877804504,7.42504453912446
"A11.B000825.3_38_F.1.1","B000825","microglial cell","CL:0000129","male enriched",-30.9949160410418,-16.3608397742684
"A11.B000826.3_39_F.1.1","B000826","microglial cell","CL:0000129","female enriched",-0.203812643904446,31.7028831645428
"A11.B001176.3_56_F.1.1","B001176","microglial cell","CL:0000129","male enriched",-19.6037034245879,9.98752950513821
"A11.B001689.3_38_F.1.1","B001689","microglial cell","CL:0000129","male enriched",-35.1326708531993,-4.79076628949252
"A11.B003278.3_38_F.1.1","B003278","microglial cell","CL:0000129","male enriched",-24.7807175038263,-4.49413999368467
"A11.B003279.3_38_F.1.1","B003279","microglial cell","CL:0000129","male enriched",-27.8978494185363,-15.7731851148247
"A11.B003292.3_39_F.1.1","B003292","microglial cell","CL:0000129","female enriched",-8.87631502804563,11.9581402113106
"A11.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129","female enriched",-3.36954314470721,-25.7859459829579
"A11.MAA000572.3_8_M.1.1","MAA000572","microglial cell","CL:0000129","male enriched",28.4425782786963,8.36139841511391
"A11.MAA000590.3_9_M.1.1","MAA000590","microglial cell","CL:0000129","male enriched",18.1951504125429,-18.109025253976
"A11.MAA000603.3_10_M.1.1","MAA000603","microglial cell","CL:0000129","male enriched",23.2834444045896,-7.59796396559676
"A11.MAA000604.3_10_M.1.1","MAA000604","microglial cell","CL:0000129","male enriched",10.8816391140929,11.3434824627009
"A11.MAA000605.3_10_M.1.1","MAA000605","microglial cell","CL:0000129","female enriched",-4.62430631954523,-18.0715616047323
"A11.MAA000617.3_10_M.1.1","MAA000617","microglial cell","CL:0000129","female enriched",4.5336923155105,-15.3735439694078
"A12.B000825.3_38_F.1.1","B000825","microglial cell","CL:0000129","male enriched",-29.7841075821244,-17.4677778363577
"A12.B000826.3_39_F.1.1","B000826","microglial cell","CL:0000129","female enriched",-2.41540055404037,18.4875680482182
"A12.B001176.3_56_F.1.1","B001176","microglial cell","CL:0000129","female enriched",5.64324003207426,21.5486595355214
"A12.B001689.3_38_F.1.1","B001689","microglial cell","CL:0000129","male enriched",-29.3022926848491,-1.50700883971159
"A12.B003292.3_39_F.1.1","B003292","microglial cell","CL:0000129","female enriched",-0.391913261921739,27.0654134514313
"A12.MAA000572.3_8_M.1.1","MAA000572","microglial cell","CL:0000129","male enriched",10.636207241345,2.57366156380743
"A12.MAA000590.3_9_M.1.1","MAA000590","microglial cell","CL:0000129","male enriched",27.3924468827002,-7.98664147668011
"A12.MAA000591.3_8_M.1.1","MAA000591","microglial cell","CL:0000129","female enriched",-1.69636904076131,5.44496832862827
"A12.MAA000592.3_9_M.1.1","MAA000592","microglial cell","CL:0000129","male enriched",-4.39658555355478,-8.0716353722693
"A12.MAA000603.3_10_M.1.1","MAA000603","microglial cell","CL:0000129","male enriched",22.9078033879105,2.27237862641232
"A12.MAA000604.3_10_M.1.1","MAA000604","microglial cell","CL:0000129","female enriched",-11.2827263007389,8.40707802162168
"A12.MAA000605.3_10_M.1.1","MAA000605","macrophage","CL:0000235",NA,3.36727137876043,0.258042591348062
"A12.MAA000617.3_10_M.1.1","MAA000617","microglial cell","CL:0000129","male enriched",13.7371629373491,3.44063625284063
"A13.B000825.3_38_F.1.1","B000825","microglial cell","CL:0000129","male enriched",-30.074668732743,-15.5858429429937
"A13.B000826.3_39_F.1.1","B000826","microglial cell","CL:0000129","female enriched",-3.71722742419119,17.3210408329521
"A13.B001176.3_56_F.1.1","B001176","microglial cell","CL:0000129","female enriched",-6.81810010097302,17.9736852813523
"A13.B001689.3_38_F.1.1","B001689","microglial cell","CL:0000129","male enriched",-25.3417617844769,11.4528500860151
"A13.B003279.3_38_F.1.1","B003279","microglial cell","CL:0000129","male enriched",-19.6465304875376,-5.00328542579485
"A13.B003292.3_39_F.1.1","B003292","microglial cell","CL:0000129","female enriched",-0.612326060652085,10.7398981129654
"A13.MAA000603.3_10_M.1.1","MAA000603","microglial cell","CL:0000129","female enriched",3.00801199680832,-17.3731650470956
"A13.MAA000604.3_10_M.1.1","MAA000604","microglial cell","CL:0000129","male enriched",23.2241035503004,7.43164935428699
"A13.MAA000617.3_10_M.1.1","MAA000617","microglial cell","CL:0000129","female enriched",0.65188944911145,-17.3373159577192
"A14.B000825.3_38_F.1.1","B000825","microglial cell","CL:0000129","male enriched",-30.9209073069131,-12.4180814048391
"A14.B000826.3_39_F.1.1","B000826","microglial cell","CL:0000129","female enriched",-12.8529019131954,14.818571455545
"A14.B001176.3_56_F.1.1","B001176","microglial cell","CL:0000129","female enriched",2.12159023051575,22.925567717578
"A14.B001689.3_38_F.1.1","B001689","microglial cell","CL:0000129","male enriched",-26.5405478832474,-3.28853633105158
"A14.B003279.3_38_F.1.1","B003279","microglial cell","CL:0000129","male enriched",-23.9541116982729,-9.35464859158172
"A14.B003292.3_39_F.1.1","B003292","microglial cell","CL:0000129","female enriched",-1.84088901800382,29.816401804926
"A14.MAA000590.3_9_M.1.1","MAA000590","microglial cell","CL:0000129","female enriched",10.5826954855875,-20.2838194234292
"A14.MAA000591.3_8_M.1.1","MAA000591","microglial cell","CL:0000129","male enriched",13.5108126326736,8.00698969035612
"A14.MAA000603.3_10_M.1.1","MAA000603","microglial cell","CL:0000129","male enriched",10.2646628060019,-14.6729126276501
"A14.MAA000604.3_10_M.1.1","MAA000604","microglial cell","CL:0000129","male enriched",12.6131505056131,-2.37649784582352
"A14.MAA000605.3_10_M.1.1","MAA000605","microglial cell","CL:0000129","female enriched",9.51075952422469,-20.7233735090176
"A14.MAA000617.3_10_M.1.1","MAA000617","microglial cell","CL:0000129","male enriched",13.0895089322745,-3.61595700340445
"A15.B000825.3_38_F.1.1","B000825","microglial cell","CL:0000129","male enriched",-29.9222759715235,-17.5543472547829
"A15.B000826.3_39_F.1.1","B000826","microglial cell","CL:0000129","female enriched",-20.7933417873858,16.6255411470479
"A15.B001176.3_56_F.1.1","B001176","microglial cell","CL:0000129","female enriched",6.04615927220393,33.0919125742682
"A15.B001689.3_38_F.1.1","B001689","microglial cell","CL:0000129","male enriched",-33.68435771363,-6.52635221082578
"A15.B003279.3_38_F.1.1","B003279","microglial cell","CL:0000129","male enriched",-29.0206168888668,-12.5394622924402
"A15.B003281.3_39_F.1.1","B003281","microglial cell","CL:0000129","female enriched",-0.108814270578573,30.5476007773306
"A15.B003292.3_39_F.1.1","B003292","microglial cell","CL:0000129","female enriched",3.00934647203964,19.5838176275391
"A15.MAA000570.3_8_M.1.1","MAA000570","microglial cell","CL:0000129","female enriched",-2.1383567000113,-24.9422977558874
"A15.MAA000572.3_8_M.1.1","MAA000572","microglial cell","CL:0000129","male enriched",-26.5522913015349,-20.0235181674649
"A15.MAA000573.3_9_M.1.1","MAA000573","macrophage","CL:0000235",NA,1.69970923928686,-0.417653578894738
"A15.MAA000590.3_9_M.1.1","MAA000590","microglial cell","CL:0000129","male enriched",13.1620739080517,7.66506271767082
"A15.MAA000591.3_8_M.1.1","MAA000591","microglial cell","CL:0000129","female enriched",4.70659944645312,6.20044060572499
"A15.MAA000592.3_9_M.1.1","MAA000592","microglial cell","CL:0000129","male enriched",25.6091775518454,-0.930174113713281
"A15.MAA000593.3_8_M.1.1","MAA000593","microglial cell","CL:0000129","female enriched",4.05806317954344,-16.3326511038917
