cell,tissue,subtissue,FACS.selection,plate.barcode,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id
A1.B000412.3_56_F.1.1,Heart,RA,Viable,B000412,endothelial cell,CL:0000115,endothelial cell,2,F,3_56_F
A1.B000633.3_56_F.1.1,Heart,RV,Viable,B000633,leukocyte,CL:0000738,leukocyte,4,F,3_56_F
A1.B000634.3_56_F.1.1,Heart,LA,Viable,B000634,endothelial cell,CL:0000115,endothelial cell,6,F,3_56_F
A1.B002423.3_39_F.1.1,Heart,RV,Viable,B002423,fibroblast,CL:0000057,fibroblast,3,F,3_39_F
A1.B002427.3_39_F.1.1,Heart,LA,Viable,B002427,myofibroblast cell,CL:0000186,Myofibroblast,7,F,3_39_F
A1.B002428.3_38_F.1.1,Heart,LA,Viable,B002428,endocardial cell,CL:0002350,endocardial cell,8,F,3_38_F
A1.MAA000398.3_9_M.1.1,Heart,LA,Viable,MAA000398,fibroblast,CL:0000057,fibroblast,1,M,3_9_M
A1.MAA000400.3_8_M.1.1,Heart,LA,Viable,MAA000400,fibroblast,CL:0000057,fibroblast,1,M,3_8_M
A1.MAA000898.3_11_M.1.1,Heart,RV,Viable,MAA000898,fibroblast,CL:0000057,fibroblast,1,M,3_11_M
A1.MAA000899.3_10_M.1.1,Heart,RA,Viable,MAA000899,fibroblast,CL:0000057,fibroblast,1,M,3_10_M
A1.MAA000903.3_11_M.1.1,Heart,RA,Viable,MAA000903,fibroblast,CL:0000057,fibroblast,1,M,3_11_M
A1.MAA100037.3_10_M.1.1,Heart,?,cardiomyocytes,MAA100037,cardiac muscle cell,CL:0000746,cardiac muscle cell,9,M,3_10_M/3_11_M
A10.B000633.3_56_F.1.1,Heart,RV,Viable,B000633,endothelial cell,CL:0000115,endothelial cell,2,F,3_56_F
A10.B002010.3_39_F.1.1,Heart,RA,Viable,B002010,fibroblast,CL:0000057,fibroblast,0,F,3_39_F
A10.B002011.3_38_F.1.1,Heart,RA,Viable,B002011,fibroblast,CL:0000057,fibroblast,3,F,3_38_F
A10.B002421.3_39_F.1.1,Heart,LV,Viable,B002421,endothelial cell,CL:0000115,endothelial cell,5,F,3_39_F
A10.B002423.3_39_F.1.1,Heart,RV,Viable,B002423,endothelial cell,CL:0000115,endothelial cell,2,F,3_39_F
A10.B002427.3_39_F.1.1,Heart,LA,Viable,B002427,fibroblast,CL:0000057,fibroblast,0,F,3_39_F
A10.B002428.3_38_F.1.1,Heart,LA,Viable,B002428,fibroblast,CL:0000057,fibroblast,3,F,3_38_F
A10.MAA000398.3_9_M.1.1,Heart,LA,Viable,MAA000398,leukocyte,CL:0000738,leukocyte,10,M,3_9_M
A10.MAA000586.3_8_M.1.1,Heart,RA,Viable,MAA000586,fibroblast,CL:0000057,fibroblast,0,M,3_8_M
A10.MAA000936.3_9_M.1.1,Heart,RA,Viable,MAA000936,leukocyte,CL:0000738,leukocyte,4,M,3_9_M
A10.MAA100037.3_11_M.1.1,Heart,?,cardiomyocytes,MAA100037,cardiac muscle cell,CL:0000746,cardiac muscle cell,9,M,3_10_M/3_11_M
A11.B000412.3_56_F.1.1,Heart,RA,Viable,B000412,fibroblast,CL:0000057,fibroblast,0,F,3_56_F
A11.B000633.3_56_F.1.1,Heart,RV,Viable,B000633,fibroblast,CL:0000057,fibroblast,0,F,3_56_F
A11.B000634.3_56_F.1.1,Heart,LA,Viable,B000634,fibroblast,CL:0000057,fibroblast,0,F,3_56_F
A11.B000636.3_56_F.1.1,Heart,LV,Viable,B000636,endothelial cell,CL:0000115,endothelial cell,2,F,3_56_F
A11.B002010.3_39_F.1.1,Heart,RA,Viable,B002010,endocardial cell,CL:0002350,endocardial cell,8,F,3_39_F
A11.B002011.3_38_F.1.1,Heart,RA,Viable,B002011,fibroblast,CL:0000057,fibroblast,3,F,3_38_F
A11.B002421.3_39_F.1.1,Heart,LV,Viable,B002421,endothelial cell,CL:0000115,endothelial cell,6,F,3_39_F
