"","plate.barcode","cell_ontology_class","cell_ontology_id","free_annotation","tSNE_1","tSNE_2"
"A1.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0002187","proliferating",35.0590066222538,-1.1964774855355
"A1.B002780.3_38_F.1.1","B002780","basal cell of epidermis","CL:0002187","proliferating",29.4509517836066,10.043146784583
"A1.D041894.3_9_M.1.1","D041894","basal cell of epidermis","CL:0002187","basal cells",6.69301468467199,-9.22061930526725
"A1.D041904.3_10_M.1.1","D041904","basal cell of epidermis","CL:0002187","proliferating",23.4130433450057,3.09667660201908
"A1.D041911.3_8_M.1.1","D041911","keratinocyte","CL:0000312","differentiated keratinocyte",1.42975792893851,-27.7019551551817
"A10.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0002187","proliferating",25.2245956313502,9.36225428383851
"A10.D041894.3_9_M.1.1","D041894","basal cell of epidermis","CL:0002187","basal cells",-15.1021477534874,10.311290528128
"A10.D041904.3_10_M.1.1","D041904","basal cell of epidermis","CL:0002187","proliferating",29.5366177103887,3.42596251464448
"A10.D041911.3_8_M.1.1","D041911","keratinocyte","CL:0000312","differentiated keratinocyte",8.97393387043566,-18.3032025177415
"A11.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0002187","basal cells",13.4638099497399,-8.80714320601613
"A11.D041894.3_9_M.1.1","D041894","keratinocyte","CL:0000312","differentiated keratinocyte",4.81371390798083,-26.0811616406627
"A11.D041904.3_10_M.1.1","D041904","basal cell of epidermis","CL:0002187","differentiating basal cells",-9.27037595524912,-7.28849003249579
"A11.D041911.3_8_M.1.1","D041911","keratinocyte","CL:0000312","suprabasal differentiating keratinocytes",-34.4142384557084,-7.42705193034601
"A12.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0002187","basal cells",13.241715273595,-10.0633354249268
"A12.D041894.3_9_M.1.1","D041894","basal cell of epidermis","CL:0002187","basal cells",-14.2603347850528,11.0971854874713
"A12.D041904.3_10_M.1.1","D041904","keratinocyte","CL:0000312","suprabasal differentiating keratinocytes",-24.3329364183843,0.796997942740981
"A12.D041911.3_8_M.1.1","D041911","keratinocyte","CL:0000312","suprabasal differentiating keratinocytes",-33.1995768271971,-7.38044724728911
"A13.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0002187","basal cells",-9.84198945394805,5.14875925788845
"A13.D041894.3_9_M.1.1","D041894","keratinocyte","CL:0000312","suprabasal differentiating keratinocytes",-29.1688575522927,-4.27963225642167
"A13.D041904.3_10_M.1.1","D041904","basal cell of epidermis","CL:0002187","basal cells",-18.8243374565241,5.23275093224365
"A13.D041911.3_8_M.1.1","D041911","keratinocyte","CL:0000312","suprabasal differentiating keratinocytes",-33.9306969266147,-7.20998576417429
"A14.B002777.3_39_F.1.1","B002777","basal cell of epidermis","CL:0002187","basal cells",-1.49678759061241,7.86656274143793
"A14.B002780.3_38_F.1.1","B002780","keratinocyte","CL:0000312","differentiated keratinocyte",3.28704802853952,-19.3422935059909
"A14.D041894.3_9_M.1.1","D041894","basal cell of epidermis","CL:0002187","differentiating basal cells",-8.84771773504812,-9.49024750937421
"A14.D041904.3_10_M.1.1","D041904","keratinocyte","CL:0000312","differentiated keratinocyte",5.07614164658651,-18.1999336082239
"A14.D041911.3_8_M.1.1","D041911","basal cell of epidermis","CL:0002187","basal cells",-20.81746276724,15.343857828787
"A15.B002777.3_39_F.1.1","B002777","keratinocyte","CL:0000312","suprabasal differentiating keratinocytes",-26.0971720947252,-2.46037094814907
"A15.D041894.3_9_M.1.1","D041894","keratinocyte","CL:0000312","suprabasal differentiating keratinocytes",-28.9077466671307,-3.6486201265153
"A15.D041904.3_10_M.1.1","D041904","basal cell of epidermis","CL:0002187","basal cells",-15.1155537263436,9.47804975741537
