"","plate.barcode","cell_ontology_class","cell_ontology_class.subcell_ontology_class"
"A13.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"B18.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"D6.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"E20.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"G8.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"H22.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"O22.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"J6.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"K14.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"L22.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"N11.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"I1.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"J7.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"K15.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"M1.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"N13.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"A14.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"B19.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"D7.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"E21.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"G9.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"P1.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"D9.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"E22.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"G11.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"I2.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"A15.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"B20.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"J9.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"A16.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"B21.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"D10.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"F2.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"G12.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"K17.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"I3.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"J10.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"K18.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"M2.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"N15.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: filiform differentiated keratinocytes"
"P2.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"M3.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"B22.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"D11.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"G13.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"I4.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"J11.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"K19.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"M4.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"N17.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"N16.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"P4.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"P3.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"A17.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"G15.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"I5.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"J12.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"K20.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"M6.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"N18.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"P5.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"A20.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: suprabasal differentiating keratinocytes"
"A19.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"C1.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
"D12.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"F4.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: differentiating basal cell of epidermis"
"C2.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"M7.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"N22.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"P6.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"D14.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"A21.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"F5.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: proliferating basal cell of epidermis"
"G18.B002777.3_39_F.1.1","B002777","CL:0002187","CL:0002187: basal cell of epidermis"
"I6.B002777.3_39_F.1.1","B002777","CL:0000312","CL:0000312: differentiated keratinocyte"
