"","plate.barcode","annotation","cell_ontology_id"
"B6.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"L13.B001717.3_38_F.1.1","B001717","fibroblast","CL:0000057"
"N13.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"I2.B001717.3_38_F.1.1","B001717","fibroblast","CL:0000057"
"G14.B001717.3_38_F.1.1","B001717","fenestrated cell","CL:0000666"
"I3.B001717.3_38_F.1.1","B001717","fibroblast","CL:0000057"
"L15.B001717.3_38_F.1.1","B001717","fenestrated cell","CL:0000666"
"N15.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"K2.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"A5.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"B8.B001717.3_38_F.1.1","B001717","fibroblast","CL:0000057"
"G15.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"I4.B001717.3_38_F.1.1","B001717","kidney collecting duct cell","CL:1001225"
"P4.B001717.3_38_F.1.1","B001717","leukocyte","CL:0000738"
"C17.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"E7.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"I5.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"K4.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"L17.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"N21.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"B11.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"D1.B001717.3_38_F.1.1","B001717","fibroblast","CL:0000057"
"C21.B001717.3_38_F.1.1","B001717","fibroblast","CL:0000057"
"I6.B001717.3_38_F.1.1","B001717","fenestrated cell","CL:0000666"
"K5.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"E10.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"A9.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"D2.B001717.3_38_F.1.1","B001717","fenestrated cell","CL:0000666"
"H1.B001717.3_38_F.1.1","B001717","fibroblast","CL:0000057"
"I8.B001717.3_38_F.1.1","B001717","fibroblast","CL:0000057"
"K8.B001717.3_38_F.1.1","B001717","fenestrated cell","CL:0000666"
"I7.B001717.3_38_F.1.1","B001717","kidney collecting duct cell","CL:1001225"
"K6.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"M1.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
"M2.B001717.3_38_F.1.1","B001717","fibroblast","CL:0000057"
"B13.B001717.3_38_F.1.1","B001717","kidney tubule cell","CL:1000507"
