cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode
A1.B002777.3_39_F.1.1,Tongue,,basal cell of epidermis,CL:0002187,proliferating,2,F,3_39_F,36.50581171465776,-2.2907428256545974,B002777
A1.B002780.3_38_F.1.1,Tongue,,basal cell of epidermis,CL:0002187,proliferating,2,F,3_38_F,38.68072746148881,8.008767275409088,B002780
A1.D041894.3_9_M.1.1,Tongue,,basal cell of epidermis,CL:0002187,basal cells,0,M,3_9_M,7.2648925604455314,-9.832271563546138,D041894
A1.D041904.3_10_M.1.1,Tongue,,basal cell of epidermis,CL:0002187,proliferating,2,M,3_10_M,25.902737437634002,3.8041362015249223,D041904
A1.D041911.3_8_M.1.1,Tongue,,keratinocyte,CL:0000312,differentiated keratinocyte,3,M,3_8_M,0.48317213418828703,-29.396016207976885,D041911
A10.B002777.3_39_F.1.1,Tongue,,basal cell of epidermis,CL:0002187,proliferating,2,F,3_39_F,27.80862127185486,9.069888011520817,B002777
A10.D041894.3_9_M.1.1,Tongue,,basal cell of epidermis,CL:0002187,basal cells,1,M,3_9_M,-16.589557112013082,11.030578296078218,D041894
A10.D041904.3_10_M.1.1,Tongue,,basal cell of epidermis,CL:0002187,proliferating,2,M,3_10_M,31.392873076850282,5.204602154267806,D041904
A10.D041911.3_8_M.1.1,Tongue,,keratinocyte,CL:0000312,differentiated keratinocyte,3,M,3_8_M,8.015437739822513,-18.654579514255097,D041911
A11.B002777.3_39_F.1.1,Tongue,,basal cell of epidermis,CL:0002187,basal cells,0,F,3_39_F,14.644804039150364,-10.285823381725319,B002777
A11.D041894.3_9_M.1.1,Tongue,,keratinocyte,CL:0000312,differentiated keratinocyte,3,M,3_9_M,3.7932245887383784,-27.203810769738507,D041894
A11.D041904.3_10_M.1.1,Tongue,,basal cell of epidermis,CL:0002187,differentiating basal cells,4,M,3_10_M,-10.73387952976959,-7.694749060312323,D041904
