"","plate.barcode","cell_ontology_class","cell_ontology_id","free_annotation","tSNE_1","tSNE_2"
"H6.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-7.82105543842607,-3.44685897754473
"B5.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-8.01571591355627,8.00300392752034
"C10.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-4.0259946771197,31.331902256937
"D15.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-19.7202077551064,22.1024649286539
"E19.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-5.85836943148521,34.023062857018
"G3.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-5.0503550511215,3.38271978527346
"H10.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-5.77680611516243,34.6586492164916
"I15.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-8.72194680844428,27.1294055907223
"I14.D042044.3_9_M.1.1","D041912","macrophage","CL:0000235",NA,8.76999950144767,27.093538296414
"J19.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-5.10836961217053,32.4796644448225
"K22.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-8.85420024787471,9.17715656121491
"M4.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-8.69135340428349,33.5028491670169
"J18.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-8.68841478425725,7.82352780442485
"K21.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-7.42898330658646,34.7869705127954
"M3.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-9.51057509436017,10.997064526357
"N10.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-7.27160201236462,0.147982782272661
"O14.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-4.45407929412962,31.9101458258403
"P19.D042044.3_9_M.1.1","D041912","immature B cell","CL:0000816",NA,-13.7472707521786,6.47108730259261
"N11.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-4.97392070548321,3.29909794458404
"G4.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-8.013871637799,35.2024518740972
"H11.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-12.363981727772,-2.49254975882251
"I16.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-19.2321091248711,22.6649333406149
"J20.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-5.66374140760411,34.7520217089167
"L1.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt+ late pro-B cell",-8.77881400700709,27.1289306555196
"M6.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-6.68184114560535,3.09557131877878
"N12.D042044.3_9_M.1.1","D041912","pre-B cell","CL:0000817",NA,-20.7526468293634,18.4624835551455
"O16.D042044.3_9_M.1.1","D041912",NA,NA,"Dntt- late pro-B cell",-6.63796676225346,33.5098332919196
"O15.D042044.3_9_M.1.1","D041912","naive B cell","CL:0000788",NA,-17.0945078417636,-0.947691959741295
