"","plate.barcode","annotation","cell_ontology_id"
"A21.MAA000594.3_8_M.1.1","MAA000594","fibroblasts","CL:0000057"
"F8.MAA000594.3_8_M.1.1","MAA000594",NA,NA
"H11.MAA000594.3_8_M.1.1","MAA000594",NA,NA
"A22.MAA000594.3_8_M.1.1","MAA000594",NA,NA
"H12.MAA000594.3_8_M.1.1","MAA000594","epicardial adipocytes","CL:1000309"
"L9.MAA000594.3_8_M.1.1","MAA000594",NA,NA
"P17.MAA000594.3_8_M.1.1","MAA000594","fibroblasts","CL:0000057"
"D6.MAA000594.3_8_M.1.1","MAA000594",NA,NA
"F14.MAA000594.3_8_M.1.1","MAA000594","smooth muscle cell","CL:0000192"
"H17.MAA000594.3_8_M.1.1","MAA000594","epicardial adipocyte","CL:1000309"
"L10.MAA000594.3_8_M.1.1","MAA000594","smooth muscle cell","CL:0000192"
"N18.MAA000594.3_8_M.1.1","MAA000594","fibroblasts","CL:0000057"
"P18.MAA000594.3_8_M.1.1","MAA000594","fibroblasts","CL:0000057"
"D14.MAA000594.3_8_M.1.1","MAA000594",NA,NA
"F17.MAA000594.3_8_M.1.1","MAA000594","epicardial adipocyte","CL:1000309"
"H20.MAA000594.3_8_M.1.1","MAA000594","smooth muscle cell","CL:0000192"
"J20.MAA000594.3_8_M.1.1","MAA000594","fibroblasts","CL:0000057"
"N19.MAA000594.3_8_M.1.1","MAA000594","fibroblasts","CL:0000057"
"P19.MAA000594.3_8_M.1.1","MAA000594","fibroblasts","CL:0000057"
"H21.MAA000594.3_8_M.1.1","MAA000594","smooth muscle cell","CL:0000192"
"J21.MAA000594.3_8_M.1.1","MAA000594","endothelial cell","CL:0000115"
"N20.MAA000594.3_8_M.1.1","MAA000594","epicardial adipocyte","CL:1000309"
"D17.MAA000594.3_8_M.1.1","MAA000594","smooth muscle cell","CL:0000192"
"F20.MAA000594.3_8_M.1.1","MAA000594","fibroblasts","CL:0000057"
"N21.MAA000594.3_8_M.1.1","MAA000594","smooth muscle cell","CL:0000192"
"D19.MAA000594.3_8_M.1.1","MAA000594","smooth muscle cell","CL:0000192"
"K4.MAA000594.3_8_M.1.1","MAA000594",NA,NA
"L19.MAA000594.3_8_M.1.1","MAA000594","fibroblasts","CL:0000057"
"G1.MAA000594.3_8_M.1.1","MAA000594","epicardial adipocyte","CL:1000309"
"K8.MAA000594.3_8_M.1.1","MAA000594",NA,NA
"L20.MAA000594.3_8_M.1.1","MAA000594","hematopoetic cells","CL:0000988"
"O7.MAA000594.3_8_M.1.1","MAA000594","epicardial adipocyte","CL:1000309"
