cell,tissue,subtissue,cell_ontology_class,cell_ontology_id,free_annotation,cluster.ids,mouse.sex,mouse.id,tSNE_1,tSNE_2,plate.barcode
A1.B000167.3_56_F.1.1,Mammary_Gland,Mammary_Gland,basal cell,CL:0000646,basal cell,2,F,3_56_F,-3.795372488661332,2.943591500273308,B000167
A10.B000166.3_56_F.1.1,Mammary_Gland,Mammary_Gland,basal cell,CL:0000646,basal cell,2,F,3_56_F,-11.600518509668616,5.722492678713243,B000166
A10.B002433.3_38_F.1.1,Mammary_Gland,Mammary_Gland,basal cell,CL:0000646,basal cell,0,F,3_38_F,-8.217849671165359,-11.9588477626602,B002433
A10.B002435.3_39_F.1.1,Mammary_Gland,Mammary_Gland,basal cell,CL:0000646,basal cell,3,F,3_39_F,9.784299511505091,26.419340095609822,B002435
A10.B002436.3_39_F.1.1,Mammary_Gland,Mammary_Gland,basal cell,CL:0000646,basal cell,0,F,3_39_F,0.6095081333305555,-5.531239684196264,B002436
A10.B002438.3_38_F.1.1,Mammary_Gland,Mammary_Gland,basal cell,CL:0000646,basal cell,0,F,3_38_F,21.4540668709961,-2.7442725185693684,B002438
A11.B000166.3_56_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_56_F,-12.638569197271929,34.88309829156055,B000166
A11.B002309.3_57_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,mature luminal cell,5,F,3_57_F,-25.676988341411732,-25.72297445640241,B002309
A11.B002432.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_38_F,-4.777839950977842,41.47796429269953,B002432
A11.B002433.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_38_F,1.6203675443844043,47.00106139856127,B002433
A11.B002436.3_39_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_39_F,-6.125819583444474,36.281137159419885,B002436
A11.B002438.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_38_F,4.30098908932203,36.676067839860735,B002438
A12.B000167.3_56_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_56_F,2.5981312583005853,40.97758439948831,B000167
A12.B002432.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_38_F,-5.732592225658592,30.439906560606417,B002432
A12.B002433.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_38_F,-4.9359207985518685,35.440109870617775,B002433
A12.B002436.3_39_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_39_F,-0.30764848231643,36.32249430836619,B002436
A12.B002438.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_38_F,5.487865929350379,39.682966455344896,B002438
A13.B000166.3_56_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_56_F,-13.31987004624326,33.461070044932164,B000166
A13.B000167.3_56_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_56_F,-8.339839898955631,40.31430121290216,B000167
A13.B000168.3_57_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,mature luminal cell,5,F,3_57_F,-22.682586371698388,-26.79935321689414,B000168
A13.B002309.3_57_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,mature luminal cell,5,F,3_57_F,-20.98876001342921,-24.9582181544807,B002309
A13.B002432.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_38_F,-0.061699891781796794,35.896500895326405,B002432
A13.B002433.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_38_F,-0.7233515299029963,37.543408533918885,B002433
A13.B002435.3_39_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_39_F,-6.188529363764807,30.573500560428645,B002435
A13.B002436.3_39_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_39_F,-2.494617473674124,47.962973641905435,B002436
A13.B002438.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_38_F,5.60863606125918,41.4628140446341,B002438
A14.B000167.3_56_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_56_F,-0.2551375573058611,46.36402480251843,B000167
A14.B000168.3_57_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,mature luminal cell,5,F,3_57_F,-17.75454217049374,-26.74590812725015,B000168
A14.B002309.3_57_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,mature luminal cell,5,F,3_57_F,-22.421439203249385,-26.601705012039762,B002309
A14.B002432.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_38_F,0.9177473415366418,40.503565151872586,B002432
A14.B002433.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_38_F,5.190775826708857,39.685662767767084,B002433
A14.B002435.3_39_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_39_F,1.6047163195795513,36.648987649144004,B002435
A14.B002436.3_39_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_39_F,-5.997875626360826,35.85265230769315,B002436
A14.B002438.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_38_F,3.7755966356955057,38.31006855396369,B002438
A15.B000166.3_56_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,mature luminal cell,5,F,3_56_F,-27.85071798127455,-23.75906912345166,B000166
A15.B000167.3_56_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_56_F,-8.88463509287601,38.74972352826733,B000167
A15.B002309.3_57_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_57_F,-10.067284211676153,40.25621170687058,B002309
A15.B002432.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,mature luminal cell,5,F,3_38_F,-25.311304657540685,-22.14893511220365,B002432
A15.B002433.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_38_F,0.1688894833401454,44.29020612560752,B002433
A15.B002435.3_39_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_39_F,-7.60534509413975,31.71800499037622,B002435
A15.B002436.3_39_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_39_F,-8.080927365388577,29.823141880315305,B002436
A15.B002437.3_39_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,mature luminal cell,5,F,3_39_F,-16.94353959083845,-26.388426465223365,B002437
A15.B002438.3_38_F.1.1,Mammary_Gland,Mammary_Gland,luminal epithelial cell of mammary gland,CL:0002326,luminal progenitor,1,F,3_38_F,-3.0834078541412504,40.65495122289205,B002438
A16.B000168.3_57_F.1.1,Mammary_Gland,Mammary_Gland,basal cell,CL:0000646,basal cell,2,F,3_57_F,-11.520511374905436,4.344435844824608,B000168
A16.B002309.3_57_F.1.1,Mammary_Gland,Mammary_Gland,basal cell,CL:0000646,basal cell,0,F,3_57_F,5.189611884295111,-8.519272480687421,B002309
A16.B002432.3_38_F.1.1,Mammary_Gland,Mammary_Gland,stromal cell,CL:0000499,stromal cell,4,F,3_38_F,17.82731685995274,-24.575340621770916,B002432
