"","subtissue","plate.barcode","FACS.selection","cell_ontology_class","cell_ontology_id","free_annotation","cluster.ids","mouse.sex","mouse.id"
"A10.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A10.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","F","3_39_F"
"A10.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A11.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A11.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","F","3_39_F"
"A11.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A12.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A12.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","macrophage","CL:0000235","macrophage","5","F","3_39_F"
"A12.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A13.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A13.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A13.D042473.3_10_M.1.1","ForelimbandHindlimb","D042473","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","M","3_10_M"
"A14.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A14.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"A14.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A15.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A15.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","F","3_39_F"
"A15.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A16.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A16.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A17.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A17.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","F","3_39_F"
"A17.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A18.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"A18.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A19.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A19.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A1.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A1.D042103.3_11_M.1","ForelimbandHindlimb","D042103","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","M","3_11_M"
