"","subtissue","plate.barcode","FACS.selection","cell_ontology_class","cell_ontology_id","free_annotation","cluster.ids","mouse.sex","mouse.id"
"A1.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A20.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A20.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","F","3_39_F"
"A20.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A21.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","F","3_38_F"
"A21.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"A21.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A21.D042473.3_10_M.1.1","ForelimbandHindlimb","D042473","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_10_M"
"A22.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A22.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"A22.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A2.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A2.D042103.3_11_M.1","ForelimbandHindlimb","D042103","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","M","3_11_M"
"A2.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A3.D042103.3_11_M.1","ForelimbandHindlimb","D042103","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","M","3_11_M"
"A3.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A4.D042103.3_11_M.1","ForelimbandHindlimb","D042103","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_11_M"
"A4.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A4.D042473.3_10_M.1.1","ForelimbandHindlimb","D042473","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_10_M"
"A5.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A5.D042103.3_11_M.1","ForelimbandHindlimb","D042103","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","M","3_11_M"
"A5.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A6.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A6.D042103.3_11_M.1","ForelimbandHindlimb","D042103","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","M","3_11_M"
"A6.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","endothelial cell","CL:0000115","endothelial cell","3","M","3_8_M"
"A7.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A7.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A8.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","F","3_38_F"
"A8.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","F","3_39_F"
"A8.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"A9.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"A9.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"A9.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B10.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B10.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"B10.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B11.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B11.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"B11.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B12.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B12.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"B12.D042185.3_9_M.1.1","ForelimbandHindlimb","D042185","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_9_M"
"B12.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B13.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B13.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","F","3_39_F"
"B13.D042185.3_9_M.1.1","ForelimbandHindlimb","D042185","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_9_M"
"B13.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B14.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B14.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"B14.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B15.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B15.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"B15.D042185.3_9_M.1.1","ForelimbandHindlimb","D042185","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_9_M"
"B15.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B16.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B16.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","F","3_39_F"
"B16.D042185.3_9_M.1.1","ForelimbandHindlimb","D042185","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_9_M"
"B16.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B17.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B17.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","F","3_39_F"
"B17.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B18.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","endothelial cell","CL:0000115","endothelial cell","3","F","3_38_F"
"B18.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","F","3_39_F"
"B18.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B19.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B19.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"B19.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B1.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B1.D042103.3_11_M.1","ForelimbandHindlimb","D042103","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","M","3_11_M"
"B1.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B1.D042473.3_10_M.1.1","ForelimbandHindlimb","D042473","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","M","3_10_M"
"B20.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B20.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"B20.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B21.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B21.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"B21.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B22.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B22.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"B22.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B2.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B2.D042103.3_11_M.1","ForelimbandHindlimb","D042103","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_11_M"
"B2.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B3.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B3.D042103.3_11_M.1","ForelimbandHindlimb","D042103","Multiple","endothelial cell","CL:0000115","endothelial cell","3","M","3_11_M"
"B3.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B4.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B4.D042103.3_11_M.1","ForelimbandHindlimb","D042103","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","M","3_11_M"
"B4.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","mesenchymal stem cell","CL:0000134","mesenchymal stem cell","1","M","3_8_M"
"B5.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B5.D042103.3_11_M.1","ForelimbandHindlimb","D042103","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","M","3_11_M"
"B5.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B6.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B6.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B7.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B7.D042185.3_9_M.1.1","ForelimbandHindlimb","D042185","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","M","3_9_M"
"B7.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B8.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B8.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"B8.D042185.3_9_M.1.1","ForelimbandHindlimb","D042185","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_9_M"
"B8.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"B9.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"B9.B002769.3_39_F.1.1","ForelimbandHindlimb","B002769","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_39_F"
"B9.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
"C10.B002765.3_38_F.1.1","ForelimbandHindlimb","B002765","CD31+; CD45+; CD31-CD45-Sca1+; CD31-CD45-Sca1-VCAM1+","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","0","F","3_38_F"
"C10.D042186.3_8_M.1.1","ForelimbandHindlimb","D042186","Multiple","skeletal muscle satellite cell","CL:0000594","skeletal muscle satellite cell","2","M","3_8_M"
