"","MeanDecreaseGini"
"Klf13",23.5479683015969
"Ybx1",22.7994211597853
"Hnrnpk",21.5402166688685
"Cnbp",21.5386695893973
"Hmgb2",21.2394011694007
"Sub1",20.9374360156965
"Hnrnpab",20.7133202017326
"Pcbp1",20.0303040077969
"Tsc22d3",19.2208806174194
"Eno1",18.5432392356321
"Foxp1",18.4452067578608
"Ets1",17.7734259497735
"Ncor1",17.5581836677328
"Nucks1",16.3983455187926
"Tcf4",16.2163517676383
"Nfe2l2",15.9802438023203
"Tsc22d1",15.8959607035412
"Tsc22d4",15.0712221899636
"Fli1",14.0941100719911
"Nfia",13.4043852797238
"Mndal",12.640227594652
"Mef2c",12.4458257531659
"Cbfa2t3",12.4436792142493
"Nfib",12.0779232918895
"Mxd1",11.9132108251392
"Satb1",11.9039632313342
"Ifi203",11.831469061825
"Tgif1",11.5378969633513
"Ets2",11.2667138884905
"Tcf7l2",11.2529541099483
"Hhex",11.0691906022914
"Ikzf1",11.0099801026894
"Runx1",10.5878803943059
"Irf5",10.5714753125316
"Lmo2",10.5306888681529
"Hes1",10.5144309618175
"Sox4",10.4983565801758
"Mafb",10.4643944008116
"Maf",10.3470899672054
"Crem",10.3234224110007
"Spib",9.74081243750441
"Gata3",9.45467439661708
"Epas1",9.25384366820869
"Nfix",9.16003554780384
"Ebf1",9.05207908063793
"Klhl6",8.95934396935209
"Tcf7",8.69871484065618
"Klf5",8.62665122599738
"Bcl11b",8.5155937539312
"Sox9",8.34152946977059
"Aebp1",8.32701834631249
"Cebpa",8.24558992430718
"Id1",7.64050723533986
"Bcl11a",7.62381770765779
"Nr2f2",7.5629412256997
"Ikzf3",7.39698416189849
"Nfe2",7.30024476394326
"Stat4",7.22464389185743
"Gata2",7.19508311714796
"Txk",7.05776367515423
"Myb",7.02729459259542
"Ikzf2",6.89756530367147
"Meis1",6.72764466315923
"Myocd",6.66643757477723
"Pou2f2",6.61554348766843
"Tbx21",6.60250962147691
"Lef1",6.48371682018889
"Lyl1",6.44384392588522
"Sox18",6.40045950425035
"Ifi205",6.32076105747542
"Runx2",6.20051121231513
"Eomes",6.1979395607725
"Elf3",6.07126164176183
"Ifi204",5.96732923504926
"Cdx1",5.86730565934431
"Sall1",5.6483422235907
"Gata6",5.59420098866993
"Tcf21",5.52488666914127
"Fosl1",5.44377103350598
"Ehf",5.40136117262671
"St18",5.35682749508552
"Tcf15",5.34523241518793
"Sox7",5.32856948293963
"Foxq1",5.08747801347374
"Ndn",5.06214078120405
"E2f2",5.00805751937451
"Trp63",4.9960967463088
"Foxc1",4.92010192645269
"Vdr",4.91426702065148
"Meis2",4.91224979608187
"E2f8",4.72671524220282
"Tfcp2l1",4.72661141356022
"Olig1",4.6864741433275
"Isl1",4.59837433613474
"Cebpe",4.48471216143881
"Irf6",4.48150983459707
"Pitx1",4.48100239486086
"Hnf4a",4.38609418909189
"Hlf",4.38350366647539
"Myf5",4.28387114844428
"Pparg",4.1987882680888
"Lhx2",4.11922912129082
"Tbx20",4.04475630668634
"Foxm1",4.01872890477834
"Pax6",3.94187806794848
"Foxa2",3.9118385501368
"Rbpjl",3.91161101091589
"Neurod1",3.90024051281989
"Prrx1",3.66735553276528
"Npas3",3.61005434021393
"Heyl",3.58387547510022
"Barx2",3.48430156740665
"Pax9",3.43910841142302
"Sox17",3.43883552889477
"Sox10",3.42240875603805
"Myod1",3.36577725687242
"Ovol1",3.32333551509027
"Zfp750",3.31096919362094
"Atoh1",3.29213090415646
"Foxf2",3.19184061988983
"Tfap2c",3.15748424154661
"Insm1",3.11803085867784
"Zic1",3.02504511429369
"Olig2",3.00947695419031
"Mlxipl",2.99300933601962
"Foxj1",2.97381248893571
"Foxa1",2.87523162207777
"Tfap2b",2.77125491922061
"Pou3f1",2.69048303291454
"Mxd3",2.66836105932196
"Tbx1",2.61632873435807
"Grhl3",2.58916427355228
"Gata1",2.58247248733129
"Foxs1",2.44214169975331
"Pitx2",2.31904801988577
"Rfx6",1.88200388373745
