"","epidermal cell_Skin","endothelial cell_Fat","basal cell_Mammary_Gland","endothelial cell_Heart","bladder cell_Bladder","leukocyte_Heart","microglial cell_Brain_Myeloid","immature T cell_Thymus","B cell_Spleen","macrophage_Kidney","mesenchymal stem cell of adipose_Fat","fibroblast_Heart","endocardial cell_Heart","skeletal muscle satellite stem cell_Limb_Muscle","bladder urothelial cell_Bladder","skeletal muscle satellite cell_Limb_Muscle","basal cell of epidermis_Tongue","astrocyte_Brain_Non-Myeloid","keratinocyte_Tongue","granulocyte_Marrow","endothelial cell_Trachea","basophil_Marrow","keratinocyte stem cell_Skin","basal cell of epidermis_Skin","mesenchymal cell_Trachea","natural killer cell_Fat","stromal cell_Lung","lung endothelial cell_Lung","oligodendrocyte_Brain_Non-Myeloid","endothelial cell_Brain_Non-Myeloid","Slamf1-positive multipotent progenitor cell_Marrow","megakaryocyte-erythroid progenitor cell_Marrow","epithelial cell of large intestine_Large_Intestine","immature B cell_Marrow","Slamf1-negative multipotent progenitor cell_Marrow","large intestine goblet cell_Large_Intestine","pancreatic A cell_Pancreas","natural killer cell_Liver","stem cell of epidermis_Skin","neuron_Brain_Non-Myeloid","monocyte_Marrow","Brush cell of epithelium proper of large intestine_Large_Intestine","late pro-B cell_Marrow","naive B cell_Marrow","granulocyte monocyte progenitor cell_Marrow","immature T cell_Marrow","cardiac muscle cell_Heart","hepatocyte_Liver","myeloid cell_Fat","T cell_Spleen","endothelial cell_Kidney","leukocyte_Thymus","granulocytopoietic cell_Marrow","B cell_Fat","oligodendrocyte precursor cell_Brain_Non-Myeloid","common lymphoid progenitor_Marrow","macrophage_Brain_Myeloid","macrophage_Marrow","T cell_Fat","type B pancreatic cell_Pancreas","endothelial cell of hepatic sinusoid_Liver","myeloid cell_Lung","luminal epithelial cell of mammary gland_Mammary_Gland","macrophage_Spleen","B cell_Marrow","hematopoietic precursor cell_Marrow","kidney collecting duct epithelial cell_Kidney","pre-natural killer cell_Marrow","leukocyte_Pancreas","Bergmann glial cell_Brain_Non-Myeloid","precursor B cell_Marrow","macrophage_Limb_Muscle","Kupffer cell_Liver","pancreatic acinar cell_Pancreas","blood cell_Trachea","epithelial cell of proximal tubule_Kidney","enterocyte of epithelium of large intestine_Large_Intestine","pancreatic PP cell_Pancreas","brain pericyte_Brain_Non-Myeloid","mature natural killer cell_Marrow","epithelial cell_Trachea","pancreatic ductal cell_Pancreas","stromal cell_Mammary_Gland","endothelial cell_Pancreas","endothelial cell_Mammary_Gland","professional antigen presenting cell_Heart","monocyte_Lung","erythrocyte_Heart","immature natural killer cell_Marrow","pancreatic D cell_Pancreas","classical monocyte_Lung","B cell_Liver","B cell_Lung","leukocyte_Skin","enteroendocrine cell_Large_Intestine","DN1 thymic pro-T cell_Thymus","T cell_Lung","natural killer cell_Lung","epithelial cell of lung_Lung","pancreatic stellate cell_Pancreas","ciliated columnar cell of tracheobronchial tree_Lung","endothelial cell_Limb_Muscle","smooth muscle cell_Heart","regulatory T cell_Marrow","leukocyte_Kidney","leukocyte_Lung","mesenchymal stem cell_Limb_Muscle","immature NK T cell_Marrow","B cell_Limb_Muscle","lymphocyte_Limb_Muscle","T cell_Limb_Muscle"
"Aatf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049220610738023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164327924970717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10388333149758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0642149477698859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042185424482447,NA,0.019328730310326,0.0895818379760755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aebp1",NA,NA,NA,NA,13.0073717098745,0.803553362510488,0.504428171894207,NA,NA,NA,29.8171731875046,NA,NA,NA,NA,NA,NA,NA,0.120252196806293,NA,NA,NA,NA,0.382243893913838,8.87490602187382,NA,11.854566167861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.236867219196418,NA,NA,NA,NA,0.104505756378993,NA,NA,0.466389788808951,NA,NA,NA,NA,NA,NA,0.0804118676240639,NA,NA,NA,NA,0.249878635345795,0.272195630424411,NA,0.0157214256186048,NA,NA,NA,NA,NA,NA,NA,0.305127928231023,NA,NA,NA,NA,0.0373023443876584,NA,0.205375349903189,0.025842185052604,NA,0.174790545731329,NA,NA,NA,NA,NA,NA,NA,NA,0.192283755028056,NA,NA,NA,NA,NA,NA,NA,0.193855605753649,6.24985285049469,13.2532197029155,NA,NA,NA,NA,NA,14.7680340506715,NA,NA,NA,NA
"Aebp2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.225882795131974,NA,NA,NA,NA,0.0634562124094604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104996762177678,NA,NA,0.189136387452219,NA,NA,NA,NA,NA,NA,0.0154825924075924,NA,NA,NA,NA,NA,0.179552766821432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.024557618476545,NA,0.0658370544935311,0.046216836348701,NA,0.169469596373169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aff1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.143393932877555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0815969244872586,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00852134410896547,NA,NA,NA,NA,0.140790639876099,0.110535770911782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0344720097196215,0.0803412536354774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197550761032037,NA,NA,NA,NA,0.296347661728827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.261397028573039
"Aff3",NA,NA,NA,NA,NA,0.538581730935581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0999095108306448,NA,NA,NA,NA,NA,NA,0.928602472346502,NA,NA,NA,0.617606938061442,NA,NA,NA,NA,NA,NA,NA,1.14749568577847,NA,NA,0.161093882903257,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.43011630306813,NA,0.977578030747895,NA,NA,0.267299789375121,0.0806362804559089,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117716378525166,NA,NA,NA,NA,0.0217059375076894,NA,0.0408266525246323,0.0760368801814305,NA,0.295057676766776,NA,NA,NA,NA,NA,NA,NA,NA,0.20291581712155,0.543585146543908,NA,NA,NA,0.156522322442037,NA,NA,0.240434052928525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ahctf1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0552458977027033,NA,NA,NA,NA,NA,NA,0.200411160886137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0530172094681116,NA,NA,0.444147517407721,NA,NA,NA,NA,NA,NA,0.0596537838332589,NA,NA,NA,NA,NA,NA,NA,0.111054341940977,NA,NA,NA,NA,NA,NA,NA,0.157239996729041,NA,NA,NA,NA,0.041689243695252,NA,NA,0.0924028336595541,NA,NA,NA,NA,NA,NA,0.704139508527166,NA,NA,NA,0.213982498676043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.630120078116451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29822562397064,NA,NA,NA,NA,NA,NA,NA,0.00926304221559189,NA,NA,NA,NA,0.29079112155803,0.427487855382539,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186361128602013,NA,NA,NA,NA,0.0362702064982093,NA,0.0118808306214469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407237133457372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AI987944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0222175967957165,NA,NA,NA,NA,NA,NA,0.0593178426053404,0.0366013225066436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Akna",NA,NA,NA,NA,NA,0.774569659051981,NA,NA,NA,NA,NA,NA,NA,0.359353458852809,NA,NA,NA,NA,NA,3.68154530712087,NA,NA,NA,0.178299629149243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48097237747111,NA,NA,NA,NA,1.0555746495502,NA,NA,NA,NA,NA,1.82921232802316,NA,1.98305334659855,NA,0.100847423408061,NA,NA,NA,NA,0.0821195292821786,1.32068626770526,NA,2.52397998672164,2.16507680088292,NA,NA,1.31300224381674,NA,NA,NA,NA,NA,NA,NA,NA,0.0834383907382412,NA,NA,1.88362743179453,NA,0.0770461112213538,NA,NA,NA,5.0356906613817,2.6230448136872,NA,NA,NA,0.292410515625315,1.44228263951547,NA,NA,NA,1.07246897518062,0.409455891815123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alx1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00291709621993127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.198360229447642,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
