"","epidermal cell_Skin","endothelial cell_Fat","basal cell_Mammary_Gland","endothelial cell_Heart","bladder cell_Bladder","leukocyte_Heart","microglial cell_Brain_Myeloid","immature T cell_Thymus","B cell_Spleen","macrophage_Kidney","mesenchymal stem cell of adipose_Fat","fibroblast_Heart","endocardial cell_Heart","skeletal muscle satellite stem cell_Limb_Muscle","bladder urothelial cell_Bladder","skeletal muscle satellite cell_Limb_Muscle","basal cell of epidermis_Tongue","astrocyte_Brain_Non-Myeloid","keratinocyte_Tongue","granulocyte_Marrow","endothelial cell_Trachea","basophil_Marrow","keratinocyte stem cell_Skin","basal cell of epidermis_Skin","mesenchymal cell_Trachea","natural killer cell_Fat","stromal cell_Lung","lung endothelial cell_Lung","oligodendrocyte_Brain_Non-Myeloid","endothelial cell_Brain_Non-Myeloid","Slamf1-positive multipotent progenitor cell_Marrow","megakaryocyte-erythroid progenitor cell_Marrow","epithelial cell of large intestine_Large_Intestine","immature B cell_Marrow","Slamf1-negative multipotent progenitor cell_Marrow","large intestine goblet cell_Large_Intestine","pancreatic A cell_Pancreas","natural killer cell_Liver","stem cell of epidermis_Skin","neuron_Brain_Non-Myeloid","monocyte_Marrow","Brush cell of epithelium proper of large intestine_Large_Intestine","late pro-B cell_Marrow","naive B cell_Marrow","granulocyte monocyte progenitor cell_Marrow","immature T cell_Marrow","cardiac muscle cell_Heart","hepatocyte_Liver","myeloid cell_Fat","T cell_Spleen","endothelial cell_Kidney","leukocyte_Thymus","granulocytopoietic cell_Marrow","B cell_Fat","oligodendrocyte precursor cell_Brain_Non-Myeloid","common lymphoid progenitor_Marrow","macrophage_Brain_Myeloid","macrophage_Marrow","T cell_Fat","type B pancreatic cell_Pancreas","endothelial cell of hepatic sinusoid_Liver","myeloid cell_Lung","luminal epithelial cell of mammary gland_Mammary_Gland","macrophage_Spleen","B cell_Marrow","hematopoietic precursor cell_Marrow","kidney collecting duct epithelial cell_Kidney","pre-natural killer cell_Marrow","leukocyte_Pancreas","Bergmann glial cell_Brain_Non-Myeloid","precursor B cell_Marrow","macrophage_Limb_Muscle","Kupffer cell_Liver","pancreatic acinar cell_Pancreas","blood cell_Trachea","epithelial cell of proximal tubule_Kidney","enterocyte of epithelium of large intestine_Large_Intestine","pancreatic PP cell_Pancreas","brain pericyte_Brain_Non-Myeloid","mature natural killer cell_Marrow","epithelial cell_Trachea","pancreatic ductal cell_Pancreas","stromal cell_Mammary_Gland","endothelial cell_Pancreas","endothelial cell_Mammary_Gland","professional antigen presenting cell_Heart","monocyte_Lung","erythrocyte_Heart","immature natural killer cell_Marrow","pancreatic D cell_Pancreas","classical monocyte_Lung","B cell_Liver","B cell_Lung","leukocyte_Skin","enteroendocrine cell_Large_Intestine","DN1 thymic pro-T cell_Thymus","T cell_Lung","natural killer cell_Lung","epithelial cell of lung_Lung","pancreatic stellate cell_Pancreas","ciliated columnar cell of tracheobronchial tree_Lung","endothelial cell_Limb_Muscle","smooth muscle cell_Heart","regulatory T cell_Marrow","leukocyte_Kidney","leukocyte_Lung","mesenchymal stem cell_Limb_Muscle","immature NK T cell_Marrow","B cell_Limb_Muscle","lymphocyte_Limb_Muscle","T cell_Limb_Muscle"
"Alx3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.164357752293885,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alx4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000847117794486216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00254185825273505,NA,NA,NA,NA,0.037316178702399,NA,0.422175025313824,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0361884218147862,0.0146899756838091,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0106328792177944,NA,NA,NA,NA,0.00164880952380952,NA,0.00872876055229128,5e-04,NA,0.0437719493255775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arid3a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25846634485997,NA,NA,NA,0.0350040363155514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05455155172239,NA,NA,NA,NA,0.0459073981411827,NA,NA,NA,NA,NA,NA,7.84177964370215,NA,NA,NA,NA,1.14110012642298,NA,NA,NA,0.132531791985367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0302145223281189,NA,NA,0.0153850475267935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arid3b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00788796675751881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153797560237781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0273346442803435,NA,NA,0.0724313030400037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arid3c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arid5b",NA,NA,NA,NA,NA,1.18641160247328,NA,2.13432041696778,NA,NA,NA,NA,NA,3.30711028911361,NA,4.97428370556324,NA,NA,NA,NA,NA,NA,NA,0.0909596577766948,2.45066010546649,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125584149514349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0845415339382754,NA,NA,0.300492398393302,NA,NA,NA,NA,NA,NA,0.0235024367811732,NA,NA,NA,NA,0.213848576403588,1.15938676967498,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187252012310651,NA,NA,NA,NA,0.678328979393124,NA,0.331484378131663,0.0405013085334497,NA,0.0932125874770011,NA,NA,1.91588016179408,NA,0.611890826082319,NA,NA,NA,0.247458904678472,NA,NA,NA,NA,NA,NA,NA,0.53742789214511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arnt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.271653610173358,NA,NA,NA,NA,NA,NA,0.0101819444598856,NA,NA,NA,NA,NA,0.165563728728537,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0713680817936433,NA,NA,NA,NA,NA,NA,0.0623261585272267,NA,NA,0.116615777464232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arnt2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019686846634701,NA,NA,NA,NA,2.05431104974231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.00925521703451933,0.0134060468745401,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0213492201058501,NA,NA,NA,NA,NA,NA,0.0125958073929445,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arntl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.185888427256146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45690551812305,NA,NA,0.0696416105751846,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0133411131207402,NA,NA,NA,NA,NA,0.0708900084966863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0162266509169947,NA,NA,0.0366440923380879,NA,NA,NA,NA,NA,NA,0.532440926632222,NA,NA,NA,0.112801260030735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arntl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0148261389725204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.000939200680272108,0.000974358974358911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00277781833183555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.38402298190848,NA,NA,NA,NA,NA,NA,NA,NA,0.00281960162500518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0226023448135688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.00932738794844245,NA,0.00443461613230438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ascl1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0065638288263037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000966419816138917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.0137177882640449,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ascl2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494797819747693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00955102272894313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00775447123209271,NA,NA,NA,NA,NA,NA,0.00483392682050578,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ascl3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ascl4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00477874925824338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000988764044943821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atf1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0947716902683967,NA,NA,NA,NA,0.0463704069076739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0936147068564754,NA,NA,NA,NA,NA,NA,0.0340431540601902,NA,NA,0.0712505438274522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Atf2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0466290072905434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.307806262985359,NA,NA,NA,NA,NA,NA,0.0472554222854475,NA,NA,NA,NA,0.0926980111769549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29763947632761,NA,NA,NA,NA,0.0446512917818171,NA,0.039401339855694,NA,NA,0.0523199610331821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
