cell,tSNE_1,tSNE_2,cluster
A1.B000126.3_39_F.1.1,-37.785380347613746,-13.08922775043508,20
A1.B000127.3_38_F.1.1,-22.501734422538167,-0.7590096217136357,3
A1.B000167.3_56_F.1.1,6.216131563512924,35.040577617440405,10
A1.B000412.3_56_F.1.1,-30.583633855384225,1.627887985829466,3
A1.B000610.3_56_F.1.1,38.292932505380804,15.004304445912961,26
A1.B000633.3_56_F.1.1,-2.5540688207164988,-0.6031713826232666,19
A1.B000634.3_56_F.1.1,-22.040123399716425,-0.17165855321847381,3
A1.B000826.3_39_F.1.1,26.311012374518707,-2.624427335230464,0
A1.B000827.3_38_F.1.1,8.407752977481351,-40.10237650213624,5
A1.B000971.3_39_F.1.1,2.801325826579219,15.75973797806765,2
A1.B001176.3_56_F.1.1,34.75498922419163,5.715003921607831,0
A1.B001717.3_38_F.1.1,-1.52768811645425,0.13006788481994064,19
A1.B001750.3_38_F.1.1,20.369687683990126,39.44440844531137,15
A1.B002314.3_56_F.1.1,-12.51750991403215,-20.600848691146844,1
A1.B002423.3_39_F.1.1,-7.922343386798389,-8.350984133435524,4
A1.B002427.3_39_F.1.1,-20.984667250131608,-7.904051520854756,31
A1.B002428.3_38_F.1.1,-27.203212223535413,-9.440941303385177,23
A1.B002762.3_39_F.1.1,22.16096243597852,-28.00093539488213,13
A1.B002764.3_38_F.1.1,-18.240464327475706,2.085067235678349,14
A1.B002765.3_38_F.1.1,21.814404316163934,-31.695468649879057,13
A1.B002771.3_39_F.1.1,38.07204985504341,16.960117531691854,26
A1.B002777.3_39_F.1.1,-15.627988016173056,40.149232781145024,7
A1.B002780.3_38_F.1.1,-12.796622005012502,38.19393716992525,7
A1.B003279.3_38_F.1.1,31.63952424362315,-19.551070869457153,11
A1.B003281.3_39_F.1.1,27.02130090340421,-11.763163815569044,11
A1.B003283.3_38_F.1.1,-40.641197408507615,-11.857904595728712,20
A1.B003290.3_38_F.1.1,-6.005432805797546,16.987223850009887,53
A1.B003291.3_39_F.1.1,-16.37638657889734,-41.96229003426894,50
A1.B003292.3_39_F.1.1,25.117011982707375,-6.472263638300896,0
A1.B003728.3_56_F.1.1,-30.487651709370592,9.323229575053318,32
A1.D041894.3_9_M.1.1,-22.879759154791646,33.297629673812274,7
A1.D041904.3_10_M.1.1,-14.805764649291948,36.9836164782549,7
A1.D041911.3_8_M.1.1,-32.19713523262858,31.53822734947593,7
A1.D041912.3_8_M.1.1,20.93481684261844,36.269231892678235,15
A1.D041914.3_8_M.1.1,38.17230865956015,14.623441529843598,26
A1.D042103.3_11_M.1,22.003126640035614,-26.239425736118918,13
A1.D042105.3_11_M.1.1,18.57478192597474,-33.68356802195665,13
A1.D042186.3_8_M.1.1,15.39507629583341,-38.53477371998522,13
A1.D042253.3_9_M.1.1,37.28856610945953,19.039996961646093,26
A1.D042475.3_9_M.1.1,-35.415183031606446,-5.534242603793459,3
A1.D045058.3_39_F.1.1,-17.46514858908646,-21.17580355168608,1
A1.D045067.3_38_F.1.1,-15.988341051022266,-24.348071747695602,1
A1.MAA000388.3_11_M.1.1,-9.831627476971446,-26.771009566850413,1
A1.MAA000398.3_9_M.1.1,-0.669414490281197,-14.738477470407908,4
A1.MAA000400.3_8_M.1.1,1.338358772932068,-12.85795679556508,4
A1.MAA000409.3_10_M.1.1,-0.2446425832106947,23.07217031817785,21
A1.MAA000427.3_11_M.1.1,17.38275970462167,-15.160220380586459,6
A1.MAA000435.3_10_M.1.1,-39.6181693728859,-17.80250231321175,20
A1.MAA000487.3_10_M.1.1,34.10392338964694,14.133511445446342,26
A1.MAA000496.3_10_M.1.1,3.193386471269366,-5.239114071219163,39
A1.MAA000508.3_9_M.1.1,13.92961712017713,11.902982905164682,18
A1.MAA000510.3_8_M.1.1,16.71702914269821,-24.21312322596227,37
A1.MAA000526.3_9_M.1.1,-4.270585093604744,-23.45540392848196,36
A1.MAA000530.3_8_M.1.1,4.786801021072767,-23.920861253803512,23
A1.MAA000531.3_8_M.1.1,-15.204971844222744,-22.324335503241034,1
A1.MAA000549.3_8_M.1.1,-39.73441535133909,-10.701397976868856,20
A1.MAA000554.3_8_M.1.1,-7.355251172581634,-28.354678618244463,1
A1.MAA000556.3_9_M.1.1,-30.4781523090348,2.5338248348580574,3
A1.MAA000559.3_8_M.1.1,10.346582946601487,20.13239230107769,2
A1.MAA000560.3_10_M.1.1,-14.923714710182276,14.675916037075236,9
A1.MAA000564.3_10_M.1.1,-3.0132898630794798,35.97690650070197,25
A1.MAA000570.3_8_M.1.1,28.878967752706732,-12.713199395459672,11
A1.MAA000593.3_8_M.1.1,29.8093641628351,-3.1431814698311147,0
A1.MAA000596.3_9_M.1.1,-16.62555225994056,27.474190085680043,8
A1.MAA000600.3_8_M.1.1,-12.571803491126985,26.13193833221365,8
A1.MAA000603.3_10_M.1.1,29.795020379478505,-9.5436336464051,11
A1.MAA000604.3_10_M.1.1,34.058644970758166,2.242664906346148,0
A1.MAA000607.3_9_M.1.1,-17.060426779121,-36.37189996952151,29
A1.MAA000611.3_8_M.1.1,8.548681738253627,-4.374187014953268,12
A1.MAA000612.3_9_M.1.1,-12.264911025217172,8.009565659370093,22
A1.MAA000614.3_10_M.1.1,-33.11284530914104,-16.72401212757741,20
A1.MAA000617.3_10_M.1.1,32.6091467899523,-0.5918278951928471,0
A1.MAA000652.3_10_M.1.1,15.027440365269095,7.932197564599596,18
A1.MAA000776.3_10_M.1.1,-0.9501596277254644,11.447537098316605,2
A1.MAA000779.3_11_M.1.1,5.985368986080794,16.26479601883606,2
A1.MAA000848.3_10_M.1.1,-4.3181477822768155,28.34294370844737,8
A1.MAA000870.3_10_M.1.1,-31.50338460830916,18.010672718102636,16
A1.MAA000871.3_11_M.1.1,-11.413382542904497,8.026584400916239,22
A1.MAA000877.3_11_M.1.1,-11.653312301098383,-26.12623061711236,1
A1.MAA000880.3_11_M.1.1,-16.805941916098007,-42.68507796282345,50
A1.MAA000884.3_10_M.1.1,23.48636717075647,14.97309676094326,30
A1.MAA000898.3_11_M.1.1,-4.54698497939283,-16.417166985364563,4
A1.MAA000899.3_10_M.1.1,-2.564110595262329,-9.502483436997922,4
A1.MAA000903.3_11_M.1.1,-0.4036347390736555,-5.371575379346217,4
A1.MAA000907.3_11_M.1.1,1.6315808024896419,-33.483920231310954,5
A1.MAA000909.3_10_M.1.1,-23.03841750884738,21.288872324244288,16
A1.MAA000914.3_9_M.1.1,-13.676315375059525,-24.169644733691374,1
A1.MAA000923.3_9_M.1.1,-31.898630931166306,9.91476902604098,32
A1.MAA000930.3_8_M.1.1,-27.02097007686094,7.0464677175950765,32
A1.MAA000932.3_11_M.1.1,1.6118418013327915,28.420608417425814,25
A1.MAA000934.3_9_M.1.1,-17.715486752193215,-22.226065493898385,1
A1.MAA000937.3_8_M.1.1,-33.7162745446609,18.29998292009432,16
A1.MAA000938.3_8_M.1.1,-35.33386748619711,-23.26502228410554,20
A1.MAA000940.3_8_M.1.1,-7.407265366840216,-45.378514794387435,38
A1.MAA001632.3_56_F.1.1,-25.91417601983913,22.346756516345017,16
A1.MAA001842.3_38_F.1.1,7.262745797160177,9.221665067227718,28
A1.MAA001847.3_39_F.1.1,6.531431748819279,-23.769535154185053,23
A1.MAA001854.3_38_F.1.1,-22.256626247621707,4.185310612891776,14
A1.MAA001862.3_39_F.1.1,28.833106490271394,17.35003188503097,30
A1.MAA001865.3_38_F.1.1,3.837437467296267,-6.77647375569469,39
A1.MAA001867.3_39_F.1.1,3.7590187691270462,-6.545944710231759,39
A1.MAA001869.3_38_F.1.1,-5.275582660475755,8.07247348868534,22
A1.MAA001871.3_39_F.1.1,-11.529779641069721,8.02428190345302,22
A1.MAA001872.3_39_F.1.1,-7.35680060472057,12.09471250455936,22
A1.MAA001873.3_38_F.1.1,-13.81706883406927,7.219930370037298,22
A1.MAA001875.3_39_F.1.1,14.548311172394055,-1.6678841115409189,12
A1.MAA001883.3_39_F.1.1,28.861244868348955,-25.351927553553793,40
A1.MAA001884.3_38_F.1.1,2.460734169834191,14.630373700460968,2
A1.MAA001887.3_39_F.1.1,2.106683462299119,7.209774414230782,21
A1.MAA001888.3_39_F.1.1,4.731515219995653,-38.21629962560698,5
A1.MAA001889.3_38_F.1.1,-1.6461369617465988,-21.74015613069787,36
A1.MAA001892.3_38_F.1.1,2.6246973401780007,-21.526201040968832,23
A1.MAA001894.3_39_F.1.1,-1.318727551174428,35.22008065344265,25
A1.MAA001895.3_38_F.1.1,1.4387933213469712,28.35687124187476,25
A1.MAA100037.3_10_M.1.1,-21.510481482948798,9.460579099123073,49
A1.MAA100039.3_11_M.1.1,44.827019148455,13.739456297714513,35
A1.MAA100138.3_56_F.1.1,29.062308958055333,-34.63356819562919,52
A1.MAA100140.3_57_F.1.1,29.515739236335232,-33.971793855357824,52
A10.B000126.3_39_F.1.1,17.026919181830305,-14.23831565285684,6
A10.B000127.3_38_F.1.1,-6.67862173806939,1.0189646999852247,19
A10.B000166.3_56_F.1.1,7.083426321242398,36.72722802129499,10
A10.B000610.3_56_F.1.1,-25.798862331959782,13.785820799556609,27
A10.B000633.3_56_F.1.1,-34.56313869145792,-0.17835807823214803,3
A10.B000825.3_38_F.1.1,32.172841463004964,-19.745181775295574,11
A10.B000827.3_38_F.1.1,-2.561110538819541,-39.89322468373392,5
A10.B000971.3_39_F.1.1,-0.1404157622264739,-38.52539967629953,5
A10.B001176.3_56_F.1.1,26.64965425765772,-2.2457357501027935,0
A10.B001216.3_38_F.1.1,17.45506737337113,-23.607289995188193,37
A10.B001689.3_38_F.1.1,30.14146591412976,-17.48669776032922,11
A10.B001750.3_38_F.1.1,2.649644302819207,-38.52961555355488,5
