cell.type,ppv,recall,TF_1,TF_2,TF_3,TF_4,score
Bladder__bladder.cell,0.184615384615385,0.6,Aebp1,Zbtb20,Nfe2l2,Xbp1,0.784615384615385
Bladder__bladder.cell,0.138461538461538,0.6,Zbtb20,Nfix,Nfe2l2,Xbp1,0.738461538461539
Bladder__bladder.cell,0.230263157894737,0.583333333333333,Aebp1,Nfic,Nfe2l2,Xbp1,0.81359649122807
Bladder__bladder.urothelial.cell,0.721518987341772,0.95,Foxq1,Klf5,Gata3,Nfe2l2,1.67151898734177
Bladder__bladder.urothelial.cell,0.835820895522388,0.933333333333333,Foxq1,Gata3,Nfe2l2,Tgif1,1.76915422885572
Bladder__bladder.urothelial.cell,0.948275862068966,0.916666666666667,Foxq1,Elf3,Gata3,Nfe2l2,1.86494252873563
Brain_Non.Myeloid__Bergmann.glial.cell,0.338983050847458,0.540540540540541,Tsc22d4,Sox9,Eno1,Tcf4,0.879523591387998
Brain_Non.Myeloid__Bergmann.glial.cell,0.575757575757576,0.513513513513513,Tsc22d4,Sox9,Eno1,Npas3,1.08927108927109
Brain_Non.Myeloid__Bergmann.glial.cell,0.238095238095238,0.540540540540541,Tsc22d4,Sox9,Nfia,Nfib,0.778635778635779
Brain_Non.Myeloid__oligodendrocyte,0.872727272727273,0.8,Olig1,Nkx6.2,Sox10,Klf13,1.67272727272727
Brain_Non.Myeloid__oligodendrocyte,0.857142857142857,0.8,Olig1,Nkx6.2,Tsc22d4,Klf13,1.65714285714286
Brain_Non.Myeloid__oligodendrocyte,0.576470588235294,0.816666666666667,Olig1,Tsc22d4,Sox10,Klf13,1.39313725490196
Brain_Non.Myeloid__neuron,0.22,0.366666666666667,Purb,Camta1,Tcf25,Ctbp1,0.586666666666667
Brain_Non.Myeloid__neuron,0.857142857142857,0.3,Myt1l,Fbxw7,Purb,Tcf25,1.15714285714286
Brain_Non.Myeloid__neuron,0.655172413793103,0.316666666666667,Ndn,Fbxw7,Purb,Tcf25,0.97183908045977
Brain_Non.Myeloid__oligodendrocyte.precursor.cell,0.814285714285714,0.95,Olig1,Olig2,Tsc22d1,Tcf4,1.76428571428571
Brain_Non.Myeloid__oligodendrocyte.precursor.cell,0.848484848484849,0.933333333333333,Olig1,Olig2,Sox10,Tsc22d1,1.78181818181818
Brain_Non.Myeloid__oligodendrocyte.precursor.cell,0.963636363636364,0.883333333333333,Olig1,Olig2,Kcnip3,Tsc22d1,1.8469696969697
Brain_Non.Myeloid__astrocyte.of.the.cerebral.cortex,0.406779661016949,0.4,Tsc22d4,Sox9,Tcf4,Eno1,0.806779661016949
Brain_Non.Myeloid__astrocyte.of.the.cerebral.cortex,0.363636363636364,0.4,Tsc22d4,Sox9,Tcf4,Nfia,0.763636363636364
Brain_Non.Myeloid__astrocyte.of.the.cerebral.cortex,0.611111111111111,0.366666666666667,Tsc22d4,Sox9,Sox2,Eno1,0.977777777777778
Brain_Non.Myeloid__endothelial.cell,0.155844155844156,0.8,Tsc22d1,Epas1,Ctnnb1,Tsc22d3,0.955844155844156
Brain_Non.Myeloid__endothelial.cell,0.777777777777778,0.7,Tsc22d1,Epas1,Foxq1,Tsc22d3,1.47777777777778
Brain_Non.Myeloid__endothelial.cell,0.666666666666667,0.7,Tsc22d1,Epas1,Ctnnb1,Foxq1,1.36666666666667
Brain_Non.Myeloid__brain.pericyte,0.473684210526316,0.6,Tsc22d1,Heyl,Epas1,Mef2c,1.07368421052632
Brain_Non.Myeloid__brain.pericyte,0.461538461538462,0.6,Tsc22d1,Myocd,Epas1,Mef2c,1.06153846153846
Brain_Non.Myeloid__brain.pericyte,0.614035087719298,0.583333333333333,Tsc22d1,Myocd,Epas1,Hes1,1.19736842105263
Brain_Myeloid__microglial.cell,0.191011235955056,0.283333333333333,Mafb,Irf5,Mef2c,Ncoa3,0.47434456928839
Brain_Myeloid__microglial.cell,0.333333333333333,0.25,Mafb,Maf,Mef2c,Bmyc,0.583333333333333
Brain_Myeloid__microglial.cell,0.272727272727273,0.25,Mafb,Mef2c,Ncoa3,Bmyc,0.522727272727273
Brain_Myeloid__macrophage,0.169811320754717,0.15,Irf5,Maf,Bmyc,Ncoa3,0.319811320754717
Brain_Myeloid__macrophage,0.140625,0.15,Irf5,Mafb,Bmyc,Ncoa3,0.290625
Brain_Myeloid__macrophage,0.103448275862069,0.15,Irf5,Bmyc,Cbfa2t3,Ncoa3,0.253448275862069
Large_Intestine__epithelial.cell.of.large.intestine,0.427184466019417,0.733333333333333,Elf3,Cdx1,Klf5,Nfe2l2,1.16051779935275
Large_Intestine__epithelial.cell.of.large.intestine,0.477777777777778,0.716666666666667,Elf3,Cdx1,Ehf,Nfe2l2,1.19444444444444
Large_Intestine__epithelial.cell.of.large.intestine,0.37719298245614,0.716666666666667,Elf3,Cdx1,Klf5,Ehf,1.09385964912281
Large_Intestine__enterocyte.of.epithelium.of.large.intestine,0.666666666666667,0.566666666666667,Mxd1,Tcf7l2,Vdr,Klf5,1.23333333333333
Large_Intestine__enterocyte.of.epithelium.of.large.intestine,0.785714285714286,0.55,Mxd1,Hnf4a,Tcf7l2,Vdr,1.33571428571429
Large_Intestine__enterocyte.of.epithelium.of.large.intestine,0.523076923076923,0.566666666666667,Hnf4a,Tcf7l2,Vdr,Klf5,1.08974358974359
Large_Intestine__large.intestine.goblet.cell,0.865384615384615,0.75,Spdef,Cdx1,Klf5,Tsc22d1,1.61538461538462
Large_Intestine__large.intestine.goblet.cell,0.862745098039216,0.733333333333333,Spdef,Cdx1,Klf5,Xbp1,1.59607843137255
