"","nGene","nReads","orig.ident"
"A1.B000827.3_38_F.1.1",4193,86248,"Thymus"
"A1.B003291.3_39_F.1.1",3349,3377269,"Thymus"
"A1.MAA000607.3_9_M.1.1",1900,326432,"Thymus"
"A1.MAA000880.3_11_M.1.1",4243,1872183,"Thymus"
"A10.B000827.3_38_F.1.1",2349,823353,"Thymus"
"A10.B003291.3_39_F.1.1",1713,1683382,"Thymus"
"A10.MAA000607.3_9_M.1.1",1643,201443,"Thymus"
"A10.MAA000609.3_8_M.1.1",5035,1158770,"Thymus"
"A10.MAA000880.3_11_M.1.1",1429,767295,"Thymus"
"A11.B000827.3_38_F.1.1",2180,765255,"Thymus"
"A11.B003291.3_39_F.1.1",1687,555300,"Thymus"
"A11.MAA000607.3_9_M.1.1",1350,120817,"Thymus"
"A11.MAA000880.3_11_M.1.1",799,342593,"Thymus"
"A12.B000827.3_38_F.1.1",2479,619205,"Thymus"
"A12.B003291.3_39_F.1.1",1331,530217,"Thymus"
"A12.MAA000607.3_9_M.1.1",1439,171322,"Thymus"
"A12.MAA000880.3_11_M.1.1",2295,611625,"Thymus"
"A13.B003291.3_39_F.1.1",1055,818055,"Thymus"
"A13.MAA000607.3_9_M.1.1",1574,169903,"Thymus"
"A13.MAA000880.3_11_M.1.1",2048,563768,"Thymus"
"A14.B003291.3_39_F.1.1",1630,1598454,"Thymus"
"A14.MAA000607.3_9_M.1.1",1506,144898,"Thymus"
"A14.MAA000880.3_11_M.1.1",1870,615031,"Thymus"
"A15.B000827.3_38_F.1.1",2667,1170763,"Thymus"
"A15.B003285.3_38_F.1.1",1577,373518,"Thymus"
"A15.B003291.3_39_F.1.1",1571,885693,"Thymus"
"A15.MAA000607.3_9_M.1.1",3915,816125,"Thymus"
"A15.MAA000880.3_11_M.1.1",1233,552494,"Thymus"
"A16.B003291.3_39_F.1.1",2644,1983401,"Thymus"
"A16.MAA000607.3_9_M.1.1",1482,175387,"Thymus"
"A16.MAA000880.3_11_M.1.1",3075,659404,"Thymus"
"A17.B000827.3_38_F.1.1",2435,1542783,"Thymus"
"A17.B003291.3_39_F.1.1",1733,2344927,"Thymus"
"A17.MAA000607.3_9_M.1.1",1749,155410,"Thymus"
"A17.MAA000880.3_11_M.1.1",1063,490970,"Thymus"
"A18.B000827.3_38_F.1.1",3413,1809998,"Thymus"
"A18.MAA000607.3_9_M.1.1",1713,270128,"Thymus"
"A18.MAA000880.3_11_M.1.1",1322,587566,"Thymus"
"A19.B000827.3_38_F.1.1",2157,734740,"Thymus"
"A19.B003291.3_39_F.1.1",1381,1528687,"Thymus"
"A19.MAA000607.3_9_M.1.1",1694,210163,"Thymus"
"A19.MAA000880.3_11_M.1.1",794,295565,"Thymus"
"A2.B003284.3_39_F.1.1",1330,1211339,"Thymus"
"A20.B000827.3_38_F.1.1",1828,614941,"Thymus"
"A20.B003291.3_39_F.1.1",1554,1642940,"Thymus"
"A20.MAA000607.3_9_M.1.1",1426,167556,"Thymus"
"A20.MAA000880.3_11_M.1.1",1155,684318,"Thymus"
"A21.B000827.3_38_F.1.1",2825,1681629,"Thymus"
"A21.MAA000607.3_9_M.1.1",1444,149518,"Thymus"
"A21.MAA000609.3_8_M.1.1",3933,557721,"Thymus"
"A21.MAA000880.3_11_M.1.1",2757,1502127,"Thymus"
"A22.B000827.3_38_F.1.1",1824,1060476,"Thymus"
"A22.MAA000607.3_9_M.1.1",1914,327623,"Thymus"
"A22.MAA000609.3_8_M.1.1",1278,151260,"Thymus"
"A22.MAA000880.3_11_M.1.1",1169,667636,"Thymus"
"A3.B003291.3_39_F.1.1",1532,531021,"Thymus"
"A3.MAA000607.3_9_M.1.1",1391,185025,"Thymus"
"A3.MAA000609.3_8_M.1.1",3232,2126311,"Thymus"
"A4.B003291.3_39_F.1.1",2191,476232,"Thymus"
"A4.MAA000607.3_9_M.1.1",1519,205686,"Thymus"
"A5.B003285.3_38_F.1.1",1811,648119,"Thymus"
"A5.B003291.3_39_F.1.1",1496,1318652,"Thymus"
"A5.MAA000607.3_9_M.1.1",1459,64552,"Thymus"
"A6.B003285.3_38_F.1.1",1407,621366,"Thymus"
"A6.B003291.3_39_F.1.1",1780,1398544,"Thymus"
"A6.MAA000607.3_9_M.1.1",1448,166721,"Thymus"
"A6.MAA000609.3_8_M.1.1",2576,1662118,"Thymus"
"A7.B000827.3_38_F.1.1",1793,489066,"Thymus"
"A7.B003291.3_39_F.1.1",1340,534881,"Thymus"
"A7.MAA000607.3_9_M.1.1",1537,178385,"Thymus"
"A7.MAA000609.3_8_M.1.1",2029,615282,"Thymus"
"A7.MAA000880.3_11_M.1.1",1468,946855,"Thymus"
"A8.B000827.3_38_F.1.1",2522,987754,"Thymus"
"A8.B003291.3_39_F.1.1",1674,675782,"Thymus"
"A8.MAA000607.3_9_M.1.1",1243,121510,"Thymus"
"A8.MAA000609.3_8_M.1.1",1371,231356,"Thymus"
"A8.MAA000880.3_11_M.1.1",1363,743083,"Thymus"
"A9.B003291.3_39_F.1.1",1394,964740,"Thymus"
"A9.MAA000607.3_9_M.1.1",4116,786062,"Thymus"
"A9.MAA000609.3_8_M.1.1",2500,521479,"Thymus"
"A9.MAA000880.3_11_M.1.1",1091,590000,"Thymus"
"B1.B000827.3_38_F.1.1",1918,1717136,"Thymus"
"B1.B003291.3_39_F.1.1",1464,854522,"Thymus"
"B1.MAA000607.3_9_M.1.1",2855,424807,"Thymus"
"B10.B003291.3_39_F.1.1",1515,1177257,"Thymus"
"B10.MAA000607.3_9_M.1.1",2354,287259,"Thymus"
"B10.MAA000609.3_8_M.1.1",1660,187718,"Thymus"
"B10.MAA000880.3_11_M.1.1",1862,814287,"Thymus"
"B11.B003291.3_39_F.1.1",1720,790525,"Thymus"
"B11.MAA000607.3_9_M.1.1",1462,136211,"Thymus"
"B11.MAA000880.3_11_M.1.1",3452,1339290,"Thymus"
"B12.B000827.3_38_F.1.1",2297,564035,"Thymus"
"B12.B003291.3_39_F.1.1",1638,625046,"Thymus"
"B12.MAA000607.3_9_M.1.1",1246,126452,"Thymus"
"B12.MAA000880.3_11_M.1.1",869,286786,"Thymus"
"B13.B003291.3_39_F.1.1",1663,2241729,"Thymus"
"B13.MAA000607.3_9_M.1.1",1621,218565,"Thymus"
"B13.MAA000880.3_11_M.1.1",1356,768046,"Thymus"
"B14.B003291.3_39_F.1.1",1309,1065187,"Thymus"
"B14.MAA000607.3_9_M.1.1",2441,345538,"Thymus"
"B14.MAA000880.3_11_M.1.1",1363,706775,"Thymus"
"B15.B003291.3_39_F.1.1",1570,1096294,"Thymus"
"B15.MAA000607.3_9_M.1.1",1799,220812,"Thymus"
"B15.MAA000880.3_11_M.1.1",1982,990386,"Thymus"
"B16.B003291.3_39_F.1.1",1441,1124821,"Thymus"
"B16.MAA000607.3_9_M.1.1",1439,163543,"Thymus"
"B16.MAA000880.3_11_M.1.1",977,450794,"Thymus"
"B17.B000827.3_38_F.1.1",2013,1126575,"Thymus"
"B17.B003291.3_39_F.1.1",1377,2519101,"Thymus"
"B17.MAA000607.3_9_M.1.1",1437,156954,"Thymus"
"B17.MAA000880.3_11_M.1.1",1054,571549,"Thymus"
"B18.B000827.3_38_F.1.1",1568,753569,"Thymus"
"B18.B003291.3_39_F.1.1",1066,2123018,"Thymus"
"B18.MAA000607.3_9_M.1.1",1543,189570,"Thymus"
"B18.MAA000880.3_11_M.1.1",1405,697971,"Thymus"
"B19.B000827.3_38_F.1.1",1701,676515,"Thymus"
"B19.B003291.3_39_F.1.1",1768,3158382,"Thymus"
"B19.MAA000607.3_9_M.1.1",4179,1063965,"Thymus"
"B19.MAA000880.3_11_M.1.1",1605,805784,"Thymus"
"B2.B003291.3_39_F.1.1",1725,1428885,"Thymus"
"B2.MAA000607.3_9_M.1.1",2698,412538,"Thymus"
"B20.B000827.3_38_F.1.1",1998,599634,"Thymus"
"B20.B003291.3_39_F.1.1",1374,1667135,"Thymus"
"B20.MAA000607.3_9_M.1.1",1571,216885,"Thymus"
"B20.MAA000609.3_8_M.1.1",4255,566540,"Thymus"
"B20.MAA000880.3_11_M.1.1",1638,570424,"Thymus"
"B21.B000827.3_38_F.1.1",2781,1719162,"Thymus"
"B21.B003291.3_39_F.1.1",1081,2553060,"Thymus"
"B21.MAA000607.3_9_M.1.1",2359,447261,"Thymus"
"B21.MAA000609.3_8_M.1.1",1531,138912,"Thymus"
"B21.MAA000880.3_11_M.1.1",1439,1052640,"Thymus"
"B22.B000827.3_38_F.1.1",1755,871807,"Thymus"
"B22.MAA000607.3_9_M.1.1",2615,461329,"Thymus"
"B22.MAA000609.3_8_M.1.1",1599,265367,"Thymus"
"B22.MAA000880.3_11_M.1.1",1036,332078,"Thymus"
"B3.MAA000607.3_9_M.1.1",3546,544624,"Thymus"
"B4.B003291.3_39_F.1.1",2636,1431918,"Thymus"
"B4.MAA000607.3_9_M.1.1",1826,247117,"Thymus"
"B5.B000827.3_38_F.1.1",2216,1307381,"Thymus"
"B5.B003284.3_39_F.1.1",2858,2242969,"Thymus"
"B5.B003291.3_39_F.1.1",1384,1332712,"Thymus"
"B5.MAA000607.3_9_M.1.1",3871,770022,"Thymus"
"B5.MAA000609.3_8_M.1.1",3417,2020473,"Thymus"
"B5.MAA000880.3_11_M.1.1",3740,1928435,"Thymus"
"B6.B003291.3_39_F.1.1",1428,1460737,"Thymus"
"B6.MAA000607.3_9_M.1.1",1612,132938,"Thymus"
"B7.B000827.3_38_F.1.1",2370,813859,"Thymus"
"B7.B003291.3_39_F.1.1",1537,549077,"Thymus"
"B7.MAA000607.3_9_M.1.1",2011,334915,"Thymus"
"B8.B000827.3_38_F.1.1",1912,479724,"Thymus"
"B8.B003291.3_39_F.1.1",2839,3336902,"Thymus"
"B8.MAA000607.3_9_M.1.1",2162,254379,"Thymus"
"B8.MAA000609.3_8_M.1.1",2644,420313,"Thymus"
"B9.B000827.3_38_F.1.1",1800,754092,"Thymus"
"B9.B003285.3_38_F.1.1",778,184459,"Thymus"
