"","nGene","nReads","orig.ident"
"A1.B000126.3_39_F.1.1",3125,599257,"Skin"
"A1.B003283.3_38_F.1.1",5543,2585048,"Skin"
"A1.MAA000427.3_11_M.1.1",2863,388586,"Skin"
"A1.MAA000435.3_10_M.1.1",5023,1748535,"Skin"
"A1.MAA000549.3_8_M.1.1",3846,309793,"Skin"
"A1.MAA000614.3_10_M.1.1",3249,1044110,"Skin"
"A1.MAA000938.3_8_M.1.1",4821,298187,"Skin"
"A10.B000126.3_39_F.1.1",2552,339047,"Skin"
"A10.B003283.3_38_F.1.1",4628,1211986,"Skin"
"A10.MAA000427.3_11_M.1.1",2633,680106,"Skin"
"A10.MAA000435.3_10_M.1.1",5117,1424951,"Skin"
"A10.MAA000614.3_10_M.1.1",2360,390433,"Skin"
"A10.MAA000938.3_8_M.1.1",3263,218456,"Skin"
"A11.B000126.3_39_F.1.1",3041,446829,"Skin"
"A11.B003283.3_38_F.1.1",2805,645502,"Skin"
"A11.MAA000427.3_11_M.1.1",808,441102,"Skin"
"A11.MAA000597.3_9_M.1.1",970,131996,"Skin"
"A11.MAA000614.3_10_M.1.1",2285,286974,"Skin"
"A11.MAA000927.3_9_M.1.1",3249,648851,"Skin"
"A11.MAA000938.3_8_M.1.1",2852,391636,"Skin"
"A12.B000126.3_39_F.1.1",2871,424827,"Skin"
"A12.B003283.3_38_F.1.1",5057,1098095,"Skin"
"A12.MAA000427.3_11_M.1.1",3100,792115,"Skin"
"A12.MAA000435.3_10_M.1.1",4555,1083781,"Skin"
"A12.MAA000597.3_9_M.1.1",2721,347522,"Skin"
"A12.MAA000614.3_10_M.1.1",2630,450155,"Skin"
"A12.MAA000927.3_9_M.1.1",2921,623424,"Skin"
"A12.MAA000938.3_8_M.1.1",3168,220513,"Skin"
"A13.B000126.3_39_F.1.1",2121,335334,"Skin"
"A13.B003283.3_38_F.1.1",2458,857833,"Skin"
"A13.MAA000427.3_11_M.1.1",2756,728705,"Skin"
"A13.MAA000435.3_10_M.1.1",4095,1220346,"Skin"
"A13.MAA000614.3_10_M.1.1",2328,315504,"Skin"
"A13.MAA000938.3_8_M.1.1",3309,288203,"Skin"
"A14.B000126.3_39_F.1.1",2996,700395,"Skin"
"A14.B003283.3_38_F.1.1",2281,549747,"Skin"
"A14.MAA000427.3_11_M.1.1",3184,837511,"Skin"
"A14.MAA000435.3_10_M.1.1",4362,984779,"Skin"
"A14.MAA000614.3_10_M.1.1",2631,362084,"Skin"
"A14.MAA000938.3_8_M.1.1",2832,210231,"Skin"
"A15.B000126.3_39_F.1.1",2484,419098,"Skin"
"A15.B003283.3_38_F.1.1",3171,883132,"Skin"
"A15.MAA000427.3_11_M.1.1",3099,898151,"Skin"
"A15.MAA000597.3_9_M.1.1",2845,343459,"Skin"
"A15.MAA000614.3_10_M.1.1",2421,289624,"Skin"
"A15.MAA000927.3_9_M.1.1",1939,512159,"Skin"
"A15.MAA000938.3_8_M.1.1",2632,144795,"Skin"
"A16.B000126.3_39_F.1.1",2640,627616,"Skin"
"A16.B003283.3_38_F.1.1",2857,955267,"Skin"
"A16.MAA000427.3_11_M.1.1",3230,817319,"Skin"
"A16.MAA000435.3_10_M.1.1",4145,1248407,"Skin"
"A16.MAA000597.3_9_M.1.1",3600,573194,"Skin"
"A16.MAA000614.3_10_M.1.1",2187,307737,"Skin"
"A16.MAA000927.3_9_M.1.1",3075,394798,"Skin"
"A16.MAA000938.3_8_M.1.1",4115,374999,"Skin"
"A17.B000126.3_39_F.1.1",2074,898518,"Skin"
"A17.B003283.3_38_F.1.1",2934,1291938,"Skin"
"A17.MAA000427.3_11_M.1.1",2371,719176,"Skin"
"A17.MAA000435.3_10_M.1.1",4588,1729802,"Skin"
"A18.B000126.3_39_F.1.1",2614,1049580,"Skin"
"A18.B003283.3_38_F.1.1",2200,723368,"Skin"
"A18.MAA000427.3_11_M.1.1",1363,665284,"Skin"
"A18.MAA000435.3_10_M.1.1",2369,806693,"Skin"
"A18.MAA000614.3_10_M.1.1",3038,566535,"Skin"
"A18.MAA000938.3_8_M.1.1",2651,215943,"Skin"
"A19.B000126.3_39_F.1.1",2323,1198351,"Skin"
"A19.B003283.3_38_F.1.1",2479,707303,"Skin"
"A19.MAA000427.3_11_M.1.1",2735,998908,"Skin"
"A19.MAA000435.3_10_M.1.1",3821,1200389,"Skin"
"A19.MAA000597.3_9_M.1.1",1268,98535,"Skin"
"A19.MAA000614.3_10_M.1.1",2766,398897,"Skin"
"A19.MAA000938.3_8_M.1.1",2973,235590,"Skin"
"A2.B000126.3_39_F.1.1",1643,254958,"Skin"
"A2.B003283.3_38_F.1.1",3778,1276675,"Skin"
"A2.MAA000427.3_11_M.1.1",3402,629862,"Skin"
"A2.MAA000549.3_8_M.1.1",2140,90640,"Skin"
"A2.MAA000614.3_10_M.1.1",3211,601808,"Skin"
"A2.MAA000927.3_9_M.1.1",931,137091,"Skin"
"A20.B000126.3_39_F.1.1",1536,755531,"Skin"
"A20.B003283.3_38_F.1.1",2207,564691,"Skin"
"A20.MAA000427.3_11_M.1.1",2559,908437,"Skin"
"A20.MAA000435.3_10_M.1.1",4189,1752732,"Skin"
"A20.MAA000597.3_9_M.1.1",1199,224138,"Skin"
"A20.MAA000614.3_10_M.1.1",2750,443162,"Skin"
"A21.B000126.3_39_F.1.1",2338,1706875,"Skin"
"A21.B003283.3_38_F.1.1",2106,639049,"Skin"
"A21.MAA000427.3_11_M.1.1",3163,846307,"Skin"
"A21.MAA000435.3_10_M.1.1",3106,862335,"Skin"
"A21.MAA000614.3_10_M.1.1",2934,572270,"Skin"
"A22.B000126.3_39_F.1.1",2149,1786615,"Skin"
"A22.B003283.3_38_F.1.1",2000,923826,"Skin"
"A22.MAA000614.3_10_M.1.1",3852,760730,"Skin"
"A22.MAA000938.3_8_M.1.1",3239,315484,"Skin"
"A3.B000126.3_39_F.1.1",2841,357901,"Skin"
"A3.B003283.3_38_F.1.1",3993,976854,"Skin"
"A3.MAA000435.3_10_M.1.1",4286,1092951,"Skin"
"A3.MAA000549.3_8_M.1.1",3204,182790,"Skin"
"A3.MAA000597.3_9_M.1.1",3662,472136,"Skin"
"A3.MAA000614.3_10_M.1.1",5772,2443566,"Skin"
"A3.MAA000927.3_9_M.1.1",4046,1431641,"Skin"
"A3.MAA000938.3_8_M.1.1",4940,395906,"Skin"
"A4.B000126.3_39_F.1.1",3625,595261,"Skin"
"A4.B003283.3_38_F.1.1",3746,906444,"Skin"
"A4.MAA000427.3_11_M.1.1",4080,974106,"Skin"
"A4.MAA000435.3_10_M.1.1",7488,2586177,"Skin"
"A4.MAA000549.3_8_M.1.1",3513,230087,"Skin"
"A4.MAA000597.3_9_M.1.1",2932,296665,"Skin"
"A4.MAA000927.3_9_M.1.1",3162,1106920,"Skin"
"A5.B000126.3_39_F.1.1",2070,215315,"Skin"
"A5.B003283.3_38_F.1.1",3062,826609,"Skin"
"A5.MAA000427.3_11_M.1.1",3598,856932,"Skin"
"A5.MAA000435.3_10_M.1.1",6169,1731699,"Skin"
"A5.MAA000549.3_8_M.1.1",3136,202840,"Skin"
"A5.MAA000938.3_8_M.1.1",3214,321604,"Skin"
"A6.B000126.3_39_F.1.1",3091,778551,"Skin"
"A6.B003283.3_38_F.1.1",2659,806056,"Skin"
"A6.MAA000427.3_11_M.1.1",3315,409988,"Skin"
"A6.MAA000435.3_10_M.1.1",6356,1649506,"Skin"
"A6.MAA000614.3_10_M.1.1",3455,1044369,"Skin"
"A6.MAA000938.3_8_M.1.1",3783,410065,"Skin"
"A7.B000126.3_39_F.1.1",2966,369712,"Skin"
"A7.B003283.3_38_F.1.1",3881,1145145,"Skin"
"A7.MAA000435.3_10_M.1.1",4886,1776560,"Skin"
"A7.MAA000614.3_10_M.1.1",2902,729989,"Skin"
"A7.MAA000938.3_8_M.1.1",3719,375450,"Skin"
