"","nGene","nReads","orig.ident"
"A12.MAA000583.3_9_M.1.1",6457,512444,"Colon"
"C5.MAA000583.3_9_M.1.1",5139,1141914,"Colon"
"D20.MAA000583.3_9_M.1.1",5049,544407,"Colon"
"F11.MAA000583.3_9_M.1.1",4815,698112,"Colon"
"H2.MAA000583.3_9_M.1.1",3912,644335,"Colon"
"I12.MAA000583.3_9_M.1.1",1849,117402,"Colon"
"A13.MAA000583.3_9_M.1.1",3155,268211,"Colon"
"C6.MAA000583.3_9_M.1.1",7689,1076983,"Colon"
"D21.MAA000583.3_9_M.1.1",3494,242502,"Colon"
"F12.MAA000583.3_9_M.1.1",5866,512812,"Colon"
"H3.MAA000583.3_9_M.1.1",1494,107262,"Colon"
"I13.MAA000583.3_9_M.1.1",1370,140660,"Colon"
"K7.MAA000583.3_9_M.1.1",5368,720974,"Colon"
"L18.MAA000583.3_9_M.1.1",4506,458782,"Colon"
"N8.MAA000583.3_9_M.1.1",7486,478467,"Colon"
"L17.MAA000583.3_9_M.1.1",1897,104299,"Colon"
"N7.MAA000583.3_9_M.1.1",6761,592014,"Colon"
"P19.MAA000583.3_9_M.1.1",5080,489279,"Colon"
"F13.MAA000583.3_9_M.1.1",1359,81268,"Colon"
"H5.MAA000583.3_9_M.1.1",3698,413128,"Colon"
"I14.MAA000583.3_9_M.1.1",2165,136691,"Colon"
"K8.MAA000583.3_9_M.1.1",4776,633497,"Colon"
"L19.MAA000583.3_9_M.1.1",1781,81537,"Colon"
"N9.MAA000583.3_9_M.1.1",7902,895512,"Colon"
"O18.MAA000583.3_9_M.1.1",3716,277304,"Colon"
"P21.MAA000583.3_9_M.1.1",2255,162208,"Colon"
"A14.MAA000583.3_9_M.1.1",1696,85695,"Colon"
"C11.MAA000583.3_9_M.1.1",6562,610610,"Colon"
"D22.MAA000583.3_9_M.1.1",4958,686963,"Colon"
"H6.MAA000583.3_9_M.1.1",2240,131055,"Colon"
"I16.MAA000583.3_9_M.1.1",1505,74031,"Colon"
"K9.MAA000583.3_9_M.1.1",2076,134958,"Colon"
"L20.MAA000583.3_9_M.1.1",4912,640634,"Colon"
"N11.MAA000583.3_9_M.1.1",7228,602809,"Colon"
"O19.MAA000583.3_9_M.1.1",4173,358150,"Colon"
"C12.MAA000583.3_9_M.1.1",2812,298516,"Colon"
"E6.MAA000583.3_9_M.1.1",1478,107833,"Colon"
"F14.MAA000583.3_9_M.1.1",3059,242619,"Colon"
"N12.MAA000583.3_9_M.1.1",3797,303926,"Colon"
"O20.MAA000583.3_9_M.1.1",4743,407854,"Colon"
"A18.MAA000583.3_9_M.1.1",1393,229882,"Colon"
"C17.MAA000583.3_9_M.1.1",2154,112440,"Colon"
"A16.MAA000583.3_9_M.1.1",2720,126267,"Colon"
"F16.MAA000583.3_9_M.1.1",2862,218507,"Colon"
"C13.MAA000583.3_9_M.1.1",1832,283929,"Colon"
"E7.MAA000583.3_9_M.1.1",5227,1235874,"Colon"
"F15.MAA000583.3_9_M.1.1",1498,124339,"Colon"
"H7.MAA000583.3_9_M.1.1",6488,556513,"Colon"
"I17.MAA000583.3_9_M.1.1",1337,170705,"Colon"
"K13.MAA000583.3_9_M.1.1",2155,83451,"Colon"
"L21.MAA000583.3_9_M.1.1",5224,766597,"Colon"
"H8.MAA000583.3_9_M.1.1",6586,593215,"Colon"
"A19.MAA000583.3_9_M.1.1",5280,779859,"Colon"
"C18.MAA000583.3_9_M.1.1",1290,92345,"Colon"
"E9.MAA000583.3_9_M.1.1",1175,134612,"Colon"
"F17.MAA000583.3_9_M.1.1",1249,81768,"Colon"
"H9.MAA000583.3_9_M.1.1",1402,109120,"Colon"
"I19.MAA000583.3_9_M.1.1",2281,374658,"Colon"
"K16.MAA000583.3_9_M.1.1",1675,105655,"Colon"
"I18.MAA000583.3_9_M.1.1",4843,536148,"Colon"
"M8.MAA000583.3_9_M.1.1",6811,787906,"Colon"
"K14.MAA000583.3_9_M.1.1",3550,310917,"Colon"
"L22.MAA000583.3_9_M.1.1",1147,171756,"Colon"
"N13.MAA000583.3_9_M.1.1",1657,134989,"Colon"
"O21.MAA000583.3_9_M.1.1",4633,584560,"Colon"
"A20.MAA000583.3_9_M.1.1",5033,508732,"Colon"
"C19.MAA000583.3_9_M.1.1",5557,553043,"Colon"
"E11.MAA000583.3_9_M.1.1",872,140674,"Colon"
"N14.MAA000583.3_9_M.1.1",2158,65511,"Colon"
"F18.MAA000583.3_9_M.1.1",6676,704032,"Colon"
"H10.MAA000583.3_9_M.1.1",5356,602259,"Colon"
"I21.MAA000583.3_9_M.1.1",4511,351985,"Colon"
"O22.MAA000583.3_9_M.1.1",5300,490580,"Colon"
"K17.MAA000583.3_9_M.1.1",1396,74037,"Colon"
"A21.MAA000583.3_9_M.1.1",4898,610641,"Colon"
"C20.MAA000583.3_9_M.1.1",5082,491692,"Colon"
"E12.MAA000583.3_9_M.1.1",4482,361295,"Colon"
"F20.MAA000583.3_9_M.1.1",1630,90060,"Colon"
"M9.MAA000583.3_9_M.1.1",6902,729056,"Colon"
"N15.MAA000583.3_9_M.1.1",2700,125665,"Colon"
