"","nGene","nReads","orig.ident"
"A1.MAA000611.3_8_M.1.1",4635,1107042,"Large_Intestine"
"A1.MAA000612.3_9_M.1.1",1308,328769,"Large_Intestine"
"A1.MAA000870.3_10_M.1.1",6376,1957713,"Large_Intestine"
"A1.MAA000871.3_11_M.1.1",1357,515953,"Large_Intestine"
"A1.MAA000909.3_10_M.1.1",3748,431942,"Large_Intestine"
"A1.MAA000937.3_8_M.1.1",5988,355303,"Large_Intestine"
"A1.MAA001632.3_56_F.1.1",4199,622072,"Large_Intestine"
"A1.MAA001869.3_38_F.1.1",1977,665959,"Large_Intestine"
"A1.MAA001871.3_39_F.1.1",1275,185427,"Large_Intestine"
"A1.MAA001872.3_39_F.1.1",2776,200188,"Large_Intestine"
"A1.MAA001873.3_38_F.1.1",1615,505628,"Large_Intestine"
"A1.MAA001875.3_39_F.1.1",7020,918204,"Large_Intestine"
"A10.MAA000583.3_9_M.1.1",5464,581957,"Large_Intestine"
"A10.MAA000611.3_8_M.1.1",5383,1233066,"Large_Intestine"
"A10.MAA000612.3_9_M.1.1",6846,1289440,"Large_Intestine"
"A10.MAA000871.3_11_M.1.1",3801,856231,"Large_Intestine"
"A10.MAA000909.3_10_M.1.1",6267,1175911,"Large_Intestine"
"A10.MAA000937.3_8_M.1.1",6149,504579,"Large_Intestine"
"A10.MAA001539.3_56_F.1.1",1272,98932,"Large_Intestine"
"A10.MAA001632.3_56_F.1.1",6347,706707,"Large_Intestine"
"A10.MAA001869.3_38_F.1.1",4186,2088828,"Large_Intestine"
"A10.MAA001871.3_39_F.1.1",6670,1332633,"Large_Intestine"
"A10.MAA001872.3_39_F.1.1",4426,470953,"Large_Intestine"
"A10.MAA001873.3_38_F.1.1",3907,938196,"Large_Intestine"
"A11.MAA000583.3_9_M.1.1",8201,810897,"Large_Intestine"
"A11.MAA000611.3_8_M.1.1",2009,373529,"Large_Intestine"
"A11.MAA000612.3_9_M.1.1",3511,572953,"Large_Intestine"
"A11.MAA000870.3_10_M.1.1",6918,1114825,"Large_Intestine"
"A11.MAA000871.3_11_M.1.1",3451,455790,"Large_Intestine"
"A11.MAA000909.3_10_M.1.1",2633,268133,"Large_Intestine"
"A11.MAA000937.3_8_M.1.1",5368,568584,"Large_Intestine"
"A11.MAA001539.3_56_F.1.1",5407,965693,"Large_Intestine"
"A11.MAA001632.3_56_F.1.1",1237,156817,"Large_Intestine"
"A11.MAA001871.3_39_F.1.1",3502,235314,"Large_Intestine"
"A11.MAA001872.3_39_F.1.1",2449,181005,"Large_Intestine"
"A11.MAA001875.3_39_F.1.1",6338,1007379,"Large_Intestine"
"A12.MAA000583.3_9_M.1.1",6457,512444,"Large_Intestine"
"A12.MAA000611.3_8_M.1.1",5629,1114097,"Large_Intestine"
"A12.MAA000612.3_9_M.1.1",3325,438445,"Large_Intestine"
"A12.MAA000871.3_11_M.1.1",5572,1525064,"Large_Intestine"
"A12.MAA000909.3_10_M.1.1",7826,1040352,"Large_Intestine"
"A12.MAA001539.3_56_F.1.1",5597,975401,"Large_Intestine"
"A12.MAA001632.3_56_F.1.1",5793,953586,"Large_Intestine"
"A12.MAA001869.3_38_F.1.1",1686,517140,"Large_Intestine"
"A12.MAA001871.3_39_F.1.1",2051,147411,"Large_Intestine"
"A12.MAA001872.3_39_F.1.1",6532,1410885,"Large_Intestine"
"A12.MAA001875.3_39_F.1.1",5499,733181,"Large_Intestine"
"A13.MAA000583.3_9_M.1.1",3155,268211,"Large_Intestine"
"A13.MAA000611.3_8_M.1.1",2842,574358,"Large_Intestine"
"A13.MAA000612.3_9_M.1.1",5086,1284181,"Large_Intestine"
"A13.MAA000870.3_10_M.1.1",2638,619581,"Large_Intestine"
"A13.MAA000871.3_11_M.1.1",4904,1778335,"Large_Intestine"
"A13.MAA000909.3_10_M.1.1",2271,286578,"Large_Intestine"
"A13.MAA000937.3_8_M.1.1",2427,103971,"Large_Intestine"
"A13.MAA001539.3_56_F.1.1",5200,1031958,"Large_Intestine"
"A13.MAA001632.3_56_F.1.1",3864,787900,"Large_Intestine"
"A13.MAA001869.3_38_F.1.1",1819,832753,"Large_Intestine"
"A13.MAA001871.3_39_F.1.1",2328,188589,"Large_Intestine"
"A13.MAA001873.3_38_F.1.1",5062,1890277,"Large_Intestine"
"A14.MAA000583.3_9_M.1.1",1696,85695,"Large_Intestine"
"A14.MAA000611.3_8_M.1.1",4417,1543829,"Large_Intestine"
"A14.MAA000612.3_9_M.1.1",3435,640452,"Large_Intestine"
"A14.MAA000871.3_11_M.1.1",4846,1968973,"Large_Intestine"
"A14.MAA000909.3_10_M.1.1",2669,250746,"Large_Intestine"
"A14.MAA001539.3_56_F.1.1",4711,963088,"Large_Intestine"
"A14.MAA001632.3_56_F.1.1",3704,408621,"Large_Intestine"
"A14.MAA001869.3_38_F.1.1",4383,1569118,"Large_Intestine"
"A14.MAA001871.3_39_F.1.1",3655,447155,"Large_Intestine"
"A14.MAA001872.3_39_F.1.1",2112,122551,"Large_Intestine"
"A14.MAA001873.3_38_F.1.1",4345,1413288,"Large_Intestine"
"A15.MAA000611.3_8_M.1.1",3033,518397,"Large_Intestine"
"A15.MAA000612.3_9_M.1.1",3182,343238,"Large_Intestine"
"A15.MAA000870.3_10_M.1.1",2672,735383,"Large_Intestine"
"A15.MAA000871.3_11_M.1.1",2917,534529,"Large_Intestine"
"A15.MAA000909.3_10_M.1.1",2917,199228,"Large_Intestine"
"A15.MAA001539.3_56_F.1.1",4980,1304571,"Large_Intestine"
"A15.MAA001632.3_56_F.1.1",4981,1443283,"Large_Intestine"
"A15.MAA001869.3_38_F.1.1",2485,614944,"Large_Intestine"
"A15.MAA001871.3_39_F.1.1",4658,451587,"Large_Intestine"
"A15.MAA001872.3_39_F.1.1",2553,149800,"Large_Intestine"
"A15.MAA001873.3_38_F.1.1",4545,2032024,"Large_Intestine"
"A16.MAA000583.3_9_M.1.1",2720,126267,"Large_Intestine"
"A16.MAA000611.3_8_M.1.1",1109,74354,"Large_Intestine"
"A16.MAA000612.3_9_M.1.1",4219,489693,"Large_Intestine"
"A16.MAA000870.3_10_M.1.1",2577,305765,"Large_Intestine"
"A16.MAA000871.3_11_M.1.1",3015,488846,"Large_Intestine"
"A16.MAA000909.3_10_M.1.1",2731,131891,"Large_Intestine"
"A16.MAA000937.3_8_M.1.1",1240,53332,"Large_Intestine"
"A16.MAA001632.3_56_F.1.1",5218,1264138,"Large_Intestine"
"A16.MAA001869.3_38_F.1.1",3783,1186823,"Large_Intestine"
"A16.MAA001871.3_39_F.1.1",2740,225060,"Large_Intestine"
"A16.MAA001872.3_39_F.1.1",5440,1186797,"Large_Intestine"
"A16.MAA001875.3_39_F.1.1",2070,79045,"Large_Intestine"
"A17.MAA000611.3_8_M.1.1",4336,1733678,"Large_Intestine"
"A17.MAA000612.3_9_M.1.1",4029,599411,"Large_Intestine"
"A17.MAA000871.3_11_M.1.1",2393,513304,"Large_Intestine"
"A17.MAA000909.3_10_M.1.1",3860,507485,"Large_Intestine"
"A17.MAA000937.3_8_M.1.1",1788,133673,"Large_Intestine"
"A17.MAA001539.3_56_F.1.1",1936,312662,"Large_Intestine"
"A17.MAA001632.3_56_F.1.1",872,75494,"Large_Intestine"
"A17.MAA001871.3_39_F.1.1",2022,154100,"Large_Intestine"
"A17.MAA001872.3_39_F.1.1",3642,347846,"Large_Intestine"
"A18.MAA000583.3_9_M.1.1",1393,229882,"Large_Intestine"
"A18.MAA000611.3_8_M.1.1",830,534272,"Large_Intestine"
"A18.MAA000612.3_9_M.1.1",2399,671121,"Large_Intestine"
"A18.MAA000870.3_10_M.1.1",2520,671711,"Large_Intestine"
"A18.MAA000871.3_11_M.1.1",1508,379758,"Large_Intestine"
"A18.MAA000909.3_10_M.1.1",2352,179827,"Large_Intestine"
"A18.MAA000937.3_8_M.1.1",4913,827330,"Large_Intestine"
"A18.MAA001539.3_56_F.1.1",928,394075,"Large_Intestine"
"A18.MAA001632.3_56_F.1.1",5450,886494,"Large_Intestine"
"A18.MAA001869.3_38_F.1.1",2439,565081,"Large_Intestine"
"A18.MAA001871.3_39_F.1.1",2009,174157,"Large_Intestine"
