"","nGene","nReads","orig.ident"
"A15.D041894.3_9_M.1.1",4317,596365,"Tongue"
"B19.D041894.3_9_M.1.1",5058,666217,"Tongue"
"C21.D041894.3_9_M.1.1",5426,871286,"Tongue"
"E1.D041894.3_9_M.1.1",5328,686952,"Tongue"
"F4.D041894.3_9_M.1.1",4982,577064,"Tongue"
"G7.D041894.3_9_M.1.1",4191,973028,"Tongue"
"H10.D041894.3_9_M.1.1",5291,833523,"Tongue"
"I12.D041894.3_9_M.1.1",5391,613022,"Tongue"
"A16.D041894.3_9_M.1.1",5310,763160,"Tongue"
"B20.D041894.3_9_M.1.1",3826,232818,"Tongue"
"C22.D041894.3_9_M.1.1",4470,1228006,"Tongue"
"E3.D041894.3_9_M.1.1",4641,776899,"Tongue"
"F5.D041894.3_9_M.1.1",4850,751666,"Tongue"
"G8.D041894.3_9_M.1.1",4304,359125,"Tongue"
"H11.D041894.3_9_M.1.1",5155,1448603,"Tongue"
"I13.D041894.3_9_M.1.1",4600,644727,"Tongue"
"J15.D041894.3_9_M.1.1",5219,689168,"Tongue"
"K18.D041894.3_9_M.1.1",5401,693913,"Tongue"
"J14.D041894.3_9_M.1.1",4164,424065,"Tongue"
"L20.D041894.3_9_M.1.1",5042,889879,"Tongue"
"K17.D041894.3_9_M.1.1",5373,1376238,"Tongue"
"L19.D041894.3_9_M.1.1",4361,1020785,"Tongue"
"M21.D041894.3_9_M.1.1",5089,671039,"Tongue"
"O4.D041894.3_9_M.1.1",4592,482171,"Tongue"
"P7.D041894.3_9_M.1.1",4749,361912,"Tongue"
"M22.D041894.3_9_M.1.1",4103,1066799,"Tongue"
"B21.D041894.3_9_M.1.1",4595,961015,"Tongue"
"D1.D041894.3_9_M.1.1",5848,824370,"Tongue"
"E4.D041894.3_9_M.1.1",4087,591155,"Tongue"
"F6.D041894.3_9_M.1.1",5319,732906,"Tongue"
"G9.D041894.3_9_M.1.1",4310,573866,"Tongue"
"H12.D041894.3_9_M.1.1",4752,1349094,"Tongue"
"I14.D041894.3_9_M.1.1",4713,1041686,"Tongue"
"J16.D041894.3_9_M.1.1",5944,793377,"Tongue"
"K19.D041894.3_9_M.1.1",5228,582744,"Tongue"
"L21.D041894.3_9_M.1.1",5620,1031332,"Tongue"
"N2.D041894.3_9_M.1.1",4419,931585,"Tongue"
"O6.D041894.3_9_M.1.1",5412,522867,"Tongue"
"P9.D041894.3_9_M.1.1",4165,374914,"Tongue"
"O5.D041894.3_9_M.1.1",4829,550262,"Tongue"
"P8.D041894.3_9_M.1.1",4958,527685,"Tongue"
"A17.D041894.3_9_M.1.1",4415,599972,"Tongue"
"G10.D041894.3_9_M.1.1",4783,728995,"Tongue"
"H13.D041894.3_9_M.1.1",4811,787514,"Tongue"
"I15.D041894.3_9_M.1.1",5541,730230,"Tongue"
"J17.D041894.3_9_M.1.1",5051,740953,"Tongue"
"K20.D041894.3_9_M.1.1",5235,870204,"Tongue"
"L22.D041894.3_9_M.1.1",4451,1283531,"Tongue"
"N3.D041894.3_9_M.1.1",4891,910650,"Tongue"
"O7.D041894.3_9_M.1.1",3950,381603,"Tongue"
"P10.D041894.3_9_M.1.1",5220,591930,"Tongue"
"A19.D041894.3_9_M.1.1",4472,636874,"Tongue"
"C1.D041894.3_9_M.1.1",4629,1038294,"Tongue"
"A18.D041894.3_9_M.1.1",4750,790877,"Tongue"
"B22.D041894.3_9_M.1.1",4631,853811,"Tongue"
"D2.D041894.3_9_M.1.1",4825,1248938,"Tongue"
"E5.D041894.3_9_M.1.1",5509,777376,"Tongue"
"F7.D041894.3_9_M.1.1",4689,1076674,"Tongue"
"D3.D041894.3_9_M.1.1",4923,1026151,"Tongue"
"N4.D041894.3_9_M.1.1",4047,557858,"Tongue"
"O8.D041894.3_9_M.1.1",4423,439202,"Tongue"
"P11.D041894.3_9_M.1.1",4617,492507,"Tongue"
"A20.D041894.3_9_M.1.1",4444,672027,"Tongue"
"C2.D041894.3_9_M.1.1",6868,925624,"Tongue"
"D4.D041894.3_9_M.1.1",4309,1119171,"Tongue"
"E7.D041894.3_9_M.1.1",4037,1279213,"Tongue"
"F9.D041894.3_9_M.1.1",4792,760493,"Tongue"
"E6.D041894.3_9_M.1.1",6115,775145,"Tongue"
"G13.D041894.3_9_M.1.1",5768,846168,"Tongue"
"H15.D041894.3_9_M.1.1",4830,825294,"Tongue"
"I17.D041894.3_9_M.1.1",4950,900202,"Tongue"
"F8.D041894.3_9_M.1.1",4867,764966,"Tongue"
"G11.D041894.3_9_M.1.1",4356,1112308,"Tongue"
"H14.D041894.3_9_M.1.1",5521,595283,"Tongue"
"I16.D041894.3_9_M.1.1",5158,475641,"Tongue"
"J19.D041894.3_9_M.1.1",5314,804306,"Tongue"
"K21.D041894.3_9_M.1.1",6379,747580,"Tongue"
"M1.D041894.3_9_M.1.1",7512,610665,"Tongue"
"J20.D041894.3_9_M.1.1",5211,1434205,"Tongue"
"C3.D041894.3_9_M.1.1",6493,999616,"Tongue"
"D5.D041894.3_9_M.1.1",4610,1187719,"Tongue"
"E8.D041894.3_9_M.1.1",5998,1156818,"Tongue"
"F10.D041894.3_9_M.1.1",5164,665176,"Tongue"
"G14.D041894.3_9_M.1.1",4192,919840,"Tongue"
"H16.D041894.3_9_M.1.1",4061,599762,"Tongue"
"I18.D041894.3_9_M.1.1",5336,765964,"Tongue"
"J21.D041894.3_9_M.1.1",5054,914516,"Tongue"
"L1.D041894.3_9_M.1.1",7340,549312,"Tongue"
"M3.D041894.3_9_M.1.1",5697,1173663,"Tongue"
"K22.D041894.3_9_M.1.1",3192,395657,"Tongue"
"N6.D041894.3_9_M.1.1",5822,695288,"Tongue"
"O10.D041894.3_9_M.1.1",5318,449800,"Tongue"
"P13.D041894.3_9_M.1.1",5065,597049,"Tongue"
"M2.D041894.3_9_M.1.1",5429,1116313,"Tongue"
"N5.D041894.3_9_M.1.1",4572,815348,"Tongue"
"O9.D041894.3_9_M.1.1",5050,346865,"Tongue"
"P12.D041894.3_9_M.1.1",4416,408192,"Tongue"
"A21.D041894.3_9_M.1.1",4770,1093014,"Tongue"
"H17.D041894.3_9_M.1.1",5140,957238,"Tongue"
"I19.D041894.3_9_M.1.1",4952,620337,"Tongue"
"J22.D041894.3_9_M.1.1",4081,1359185,"Tongue"
"L2.D041894.3_9_M.1.1",5761,917881,"Tongue"
"M4.D041894.3_9_M.1.1",4968,726908,"Tongue"
"N7.D041894.3_9_M.1.1",4788,969576,"Tongue"
"O11.D041894.3_9_M.1.1",4329,389313,"Tongue"
"P14.D041894.3_9_M.1.1",4331,341321,"Tongue"
"B3.D041894.3_9_M.1.1",4698,739292,"Tongue"
"C5.D041894.3_9_M.1.1",5597,1216624,"Tongue"
"D7.D041894.3_9_M.1.1",3868,1323364,"Tongue"
"A22.D041894.3_9_M.1.1",4826,678348,"Tongue"
"C4.D041894.3_9_M.1.1",4653,903383,"Tongue"
"D6.D041894.3_9_M.1.1",4100,1308290,"Tongue"
"E9.D041894.3_9_M.1.1",6270,1164769,"Tongue"
"F12.D041894.3_9_M.1.1",4651,721778,"Tongue"
"G15.D041894.3_9_M.1.1",5060,1049955,"Tongue"
"E10.D041894.3_9_M.1.1",4365,774417,"Tongue"
"O12.D041894.3_9_M.1.1",5791,615836,"Tongue"
"P15.D041894.3_9_M.1.1",4283,820815,"Tongue"
"B4.D041894.3_9_M.1.1",4795,589038,"Tongue"
"C6.D041894.3_9_M.1.1",4799,792572,"Tongue"
"D8.D041894.3_9_M.1.1",5213,637375,"Tongue"
"E11.D041894.3_9_M.1.1",5041,671340,"Tongue"
"F13.D041894.3_9_M.1.1",4055,702826,"Tongue"
"F14.D041894.3_9_M.1.1",4857,883252,"Tongue"
"G17.D041894.3_9_M.1.1",4611,1097871,"Tongue"
"H19.D041894.3_9_M.1.1",5929,712574,"Tongue"
"G16.D041894.3_9_M.1.1",4714,870910,"Tongue"
"H18.D041894.3_9_M.1.1",4968,749027,"Tongue"
"I20.D041894.3_9_M.1.1",6527,717226,"Tongue"
"K1.D041894.3_9_M.1.1",6414,1204823,"Tongue"
"L3.D041894.3_9_M.1.1",4508,730137,"Tongue"
"M5.D041894.3_9_M.1.1",3946,559362,"Tongue"
"N8.D041894.3_9_M.1.1",4506,1371219,"Tongue"
"I21.D041894.3_9_M.1.1",5784,728089,"Tongue"
"B5.D041894.3_9_M.1.1",4667,865538,"Tongue"
"C7.D041894.3_9_M.1.1",4657,766690,"Tongue"
"D9.D041894.3_9_M.1.1",5148,707949,"Tongue"
"E12.D041894.3_9_M.1.1",4479,748422,"Tongue"
"F15.D041894.3_9_M.1.1",4929,585984,"Tongue"
"G18.D041894.3_9_M.1.1",5150,726608,"Tongue"
"H20.D041894.3_9_M.1.1",3940,672978,"Tongue"
"I22.D041894.3_9_M.1.1",3656,1011512,"Tongue"
"K3.D041894.3_9_M.1.1",5925,625484,"Tongue"
"K2.D041894.3_9_M.1.1",5296,605712,"Tongue"
"L5.D041894.3_9_M.1.1",4647,633623,"Tongue"
"M7.D041894.3_9_M.1.1",4244,994025,"Tongue"
"N10.D041894.3_9_M.1.1",5247,629269,"Tongue"
"L4.D041894.3_9_M.1.1",4387,706506,"Tongue"
"M6.D041894.3_9_M.1.1",5979,580439,"Tongue"
"N9.D041894.3_9_M.1.1",5236,393659,"Tongue"
"O13.D041894.3_9_M.1.1",5060,744860,"Tongue"
"P16.D041894.3_9_M.1.1",4785,623798,"Tongue"
"O14.D041894.3_9_M.1.1",4665,439405,"Tongue"
"G19.D041894.3_9_M.1.1",4872,1130201,"Tongue"
"H21.D041894.3_9_M.1.1",4361,598299,"Tongue"
"J1.D041894.3_9_M.1.1",5824,835580,"Tongue"
"K4.D041894.3_9_M.1.1",4676,604152,"Tongue"
"L6.D041894.3_9_M.1.1",6634,678163,"Tongue"
"M8.D041894.3_9_M.1.1",6102,469428,"Tongue"
"N11.D041894.3_9_M.1.1",4564,358755,"Tongue"
"O15.D041894.3_9_M.1.1",4956,525445,"Tongue"
"P18.D041894.3_9_M.1.1",4230,872236,"Tongue"
"P17.D041894.3_9_M.1.1",4110,882392,"Tongue"
"B7.D041894.3_9_M.1.1",4830,576371,"Tongue"
"C9.D041894.3_9_M.1.1",4925,702389,"Tongue"
"B6.D041894.3_9_M.1.1",4667,534352,"Tongue"
"C8.D041894.3_9_M.1.1",4427,538598,"Tongue"
"D10.D041894.3_9_M.1.1",4658,797516,"Tongue"
"E13.D041894.3_9_M.1.1",4305,644992,"Tongue"
"F16.D041894.3_9_M.1.1",4573,881073,"Tongue"
"D11.D041894.3_9_M.1.1",4562,634513,"Tongue"
"N12.D041894.3_9_M.1.1",4264,515115,"Tongue"
"O16.D041894.3_9_M.1.1",4239,438946,"Tongue"
"P19.D041894.3_9_M.1.1",7583,605932,"Tongue"
"A1.D041894.3_9_M.1.1",4416,645518,"Tongue"
"B8.D041894.3_9_M.1.1",5013,559332,"Tongue"
"C10.D041894.3_9_M.1.1",4512,813747,"Tongue"
"D12.D041894.3_9_M.1.1",3491,463999,"Tongue"
"E15.D041894.3_9_M.1.1",3755,598934,"Tongue"
"F18.D041894.3_9_M.1.1",4904,644141,"Tongue"
"E14.D041894.3_9_M.1.1",4491,1254224,"Tongue"
"G21.D041894.3_9_M.1.1",4098,795502,"Tongue"
"I1.D041894.3_9_M.1.1",5472,683072,"Tongue"
"J3.D041894.3_9_M.1.1",6000,741226,"Tongue"
"F17.D041894.3_9_M.1.1",4281,722759,"Tongue"
"G20.D041894.3_9_M.1.1",4243,772210,"Tongue"
"H22.D041894.3_9_M.1.1",4422,990225,"Tongue"
"J2.D041894.3_9_M.1.1",6003,665937,"Tongue"
"K5.D041894.3_9_M.1.1",6671,659634,"Tongue"
"L7.D041894.3_9_M.1.1",4705,984329,"Tongue"
"M9.D041894.3_9_M.1.1",5375,631883,"Tongue"
"K6.D041894.3_9_M.1.1",5744,683984,"Tongue"
"C11.D041894.3_9_M.1.1",5554,479918,"Tongue"
"D13.D041894.3_9_M.1.1",5123,1040906,"Tongue"
"E16.D041894.3_9_M.1.1",4376,1029619,"Tongue"
"F19.D041894.3_9_M.1.1",4495,994003,"Tongue"
"G22.D041894.3_9_M.1.1",5680,973157,"Tongue"
"I2.D041894.3_9_M.1.1",6912,770432,"Tongue"
"J4.D041894.3_9_M.1.1",4108,589593,"Tongue"
"K7.D041894.3_9_M.1.1",5360,615201,"Tongue"
"L9.D041894.3_9_M.1.1",5282,563915,"Tongue"
"L8.D041894.3_9_M.1.1",4537,521798,"Tongue"
"M11.D041894.3_9_M.1.1",4674,501653,"Tongue"
"N14.D041894.3_9_M.1.1",5477,440499,"Tongue"
"O18.D041894.3_9_M.1.1",5278,146219,"Tongue"
"M10.D041894.3_9_M.1.1",3143,258012,"Tongue"
"N13.D041894.3_9_M.1.1",6357,575522,"Tongue"
"O17.D041894.3_9_M.1.1",4702,536423,"Tongue"
"P20.D041894.3_9_M.1.1",7710,620267,"Tongue"
"A3.D041894.3_9_M.1.1",5136,1321304,"Tongue"
"B9.D041894.3_9_M.1.1",4805,729688,"Tongue"
"P21.D041894.3_9_M.1.1",8770,787876,"Tongue"
"I3.D041894.3_9_M.1.1",5117,619611,"Tongue"
"J5.D041894.3_9_M.1.1",5501,936776,"Tongue"
"K8.D041894.3_9_M.1.1",4395,486611,"Tongue"
"L10.D041894.3_9_M.1.1",4288,574193,"Tongue"
"M12.D041894.3_9_M.1.1",4962,855613,"Tongue"
"N15.D041894.3_9_M.1.1",4537,489182,"Tongue"
"O19.D041894.3_9_M.1.1",4735,442476,"Tongue"
"P22.D041894.3_9_M.1.1",8804,630673,"Tongue"
"A7.D041894.3_9_M.1.1",4396,552668,"Tongue"
"B11.D041894.3_9_M.1.1",3589,609077,"Tongue"
"C13.D041894.3_9_M.1.1",4208,731790,"Tongue"
"D15.D041894.3_9_M.1.1",5396,801486,"Tongue"
"A6.D041894.3_9_M.1.1",4574,599031,"Tongue"
"B10.D041894.3_9_M.1.1",5056,595747,"Tongue"
"C12.D041894.3_9_M.1.1",5121,774369,"Tongue"
"D14.D041894.3_9_M.1.1",5039,731261,"Tongue"
"E17.D041894.3_9_M.1.1",4847,734583,"Tongue"
"F20.D041894.3_9_M.1.1",4866,720489,"Tongue"
"H1.D041894.3_9_M.1.1",5612,646166,"Tongue"
"E18.D041894.3_9_M.1.1",4494,908189,"Tongue"
"O20.D041894.3_9_M.1.1",8112,545319,"Tongue"
"A8.D041894.3_9_M.1.1",5375,759440,"Tongue"
"B12.D041894.3_9_M.1.1",6217,948183,"Tongue"
"C14.D041894.3_9_M.1.1",4716,658361,"Tongue"
"D16.D041894.3_9_M.1.1",5075,972900,"Tongue"
"E19.D041894.3_9_M.1.1",5021,1055597,"Tongue"
"F22.D041894.3_9_M.1.1",4641,871665,"Tongue"
"H3.D041894.3_9_M.1.1",4685,660482,"Tongue"
"F21.D041894.3_9_M.1.1",4727,653460,"Tongue"
"I5.D041894.3_9_M.1.1",4724,733223,"Tongue"
"J7.D041894.3_9_M.1.1",5235,1048875,"Tongue"
"K10.D041894.3_9_M.1.1",4766,405353,"Tongue"
"H2.D041894.3_9_M.1.1",5051,481768,"Tongue"
"I4.D041894.3_9_M.1.1",6338,841496,"Tongue"
"J6.D041894.3_9_M.1.1",4622,969906,"Tongue"
"K9.D041894.3_9_M.1.1",4606,539585,"Tongue"
"L11.D041894.3_9_M.1.1",5055,587455,"Tongue"
"M13.D041894.3_9_M.1.1",4628,537603,"Tongue"
"N16.D041894.3_9_M.1.1",5532,322608,"Tongue"
"L12.D041894.3_9_M.1.1",5957,750927,"Tongue"
"D17.D041894.3_9_M.1.1",3646,601383,"Tongue"
"E20.D041894.3_9_M.1.1",3727,905897,"Tongue"
"G1.D041894.3_9_M.1.1",4532,517209,"Tongue"
"H4.D041894.3_9_M.1.1",5116,524003,"Tongue"
"I6.D041894.3_9_M.1.1",4932,521821,"Tongue"
"J8.D041894.3_9_M.1.1",4286,909861,"Tongue"
"K11.D041894.3_9_M.1.1",5893,786994,"Tongue"
"L13.D041894.3_9_M.1.1",4240,1189471,"Tongue"
"M15.D041894.3_9_M.1.1",4660,472040,"Tongue"
"N18.D041894.3_9_M.1.1",3727,586420,"Tongue"
"M14.D041894.3_9_M.1.1",4570,1114377,"Tongue"
"O22.D041894.3_9_M.1.1",9094,804823,"Tongue"
"N17.D041894.3_9_M.1.1",7504,703949,"Tongue"
"O21.D041894.3_9_M.1.1",8880,571662,"Tongue"
"A9.D041894.3_9_M.1.1",4142,548090,"Tongue"
"B13.D041894.3_9_M.1.1",4574,856657,"Tongue"
"C15.D041894.3_9_M.1.1",4472,773457,"Tongue"
"J9.D041894.3_9_M.1.1",4898,1188031,"Tongue"
"K12.D041894.3_9_M.1.1",5912,693157,"Tongue"
"L14.D041894.3_9_M.1.1",4971,558192,"Tongue"
"M16.D041894.3_9_M.1.1",3762,154050,"Tongue"
"N19.D041894.3_9_M.1.1",5033,866060,"Tongue"
"P2.D041894.3_9_M.1.1",6002,537414,"Tongue"
"A11.D041894.3_9_M.1.1",5596,789187,"Tongue"
"B15.D041894.3_9_M.1.1",5270,706963,"Tongue"
