"","nGene","nReads","orig.ident"
"F18.MAA000377.3_9_M.1.1",2349,341976,"Liver"
"J20.MAA000377.3_9_M.1.1",2655,358887,"Liver"
"F19.MAA000377.3_9_M.1.1",1605,378745,"Liver"
"J21.MAA000377.3_9_M.1.1",1538,169724,"Liver"
"F20.MAA000377.3_9_M.1.1",2625,371694,"Liver"
"J22.MAA000377.3_9_M.1.1",1720,152241,"Liver"
"G11.MAA000377.3_9_M.1.1",2398,164177,"Liver"
"K9.MAA000377.3_9_M.1.1",1541,322140,"Liver"
"G13.MAA000377.3_9_M.1.1",1092,249739,"Liver"
"K11.MAA000377.3_9_M.1.1",2091,216477,"Liver"
"B6.MAA000377.3_9_M.1.1",1605,58853,"Liver"
"G15.MAA000377.3_9_M.1.1",1591,162357,"Liver"
"K13.MAA000377.3_9_M.1.1",2809,196657,"Liver"
"K14.MAA000377.3_9_M.1.1",1853,209936,"Liver"
"B7.MAA000377.3_9_M.1.1",2869,264582,"Liver"
"G18.MAA000377.3_9_M.1.1",681,180194,"Liver"
"K15.MAA000377.3_9_M.1.1",1320,236198,"Liver"
"B8.MAA000377.3_9_M.1.1",4063,437670,"Liver"
"G19.MAA000377.3_9_M.1.1",2923,335077,"Liver"
"B10.MAA000377.3_9_M.1.1",1792,261226,"Liver"
"H3.MAA000377.3_9_M.1.1",1823,493900,"Liver"
"K17.MAA000377.3_9_M.1.1",2302,263020,"Liver"
"B14.MAA000377.3_9_M.1.1",3354,509299,"Liver"
"H12.MAA000377.3_9_M.1.1",6246,335508,"Liver"
"C10.MAA000377.3_9_M.1.1",2780,227742,"Liver"
"K18.MAA000377.3_9_M.1.1",2979,194988,"Liver"
"C13.MAA000377.3_9_M.1.1",1352,63789,"Liver"
"C14.MAA000377.3_9_M.1.1",3323,270694,"Liver"
"H14.MAA000377.3_9_M.1.1",1036,154550,"Liver"
"H16.MAA000377.3_9_M.1.1",1273,123160,"Liver"
"L9.MAA000377.3_9_M.1.1",1516,157619,"Liver"
"L7.MAA000377.3_9_M.1.1",1602,160132,"Liver"
"C18.MAA000377.3_9_M.1.1",2790,139197,"Liver"
"H17.MAA000377.3_9_M.1.1",3212,261232,"Liver"
"L11.MAA000377.3_9_M.1.1",1430,186024,"Liver"
"H20.MAA000377.3_9_M.1.1",1547,267965,"Liver"
"L12.MAA000377.3_9_M.1.1",3499,328197,"Liver"
"D12.MAA000377.3_9_M.1.1",3318,296258,"Liver"
"I9.MAA000377.3_9_M.1.1",1102,204830,"Liver"
"L13.MAA000377.3_9_M.1.1",1819,187730,"Liver"
"D15.MAA000377.3_9_M.1.1",1006,168970,"Liver"
"I14.MAA000377.3_9_M.1.1",2040,545478,"Liver"
"L15.MAA000377.3_9_M.1.1",5280,619427,"Liver"
"E14.MAA000377.3_9_M.1.1",2550,261748,"Liver"
"I15.MAA000377.3_9_M.1.1",2593,233238,"Liver"
"F11.MAA000377.3_9_M.1.1",2601,537822,"Liver"
"J12.MAA000377.3_9_M.1.1",2505,132817,"Liver"
"F10.MAA000377.3_9_M.1.1",2526,486069,"Liver"
"I22.MAA000377.3_9_M.1.1",2207,230604,"Liver"
"F13.MAA000377.3_9_M.1.1",1209,240382,"Liver"
"F15.MAA000377.3_9_M.1.1",1528,209016,"Liver"
"J16.MAA000377.3_9_M.1.1",1378,253433,"Liver"
"F16.MAA000377.3_9_M.1.1",2635,294600,"Liver"
"J17.MAA000377.3_9_M.1.1",2596,464476,"Liver"
"F17.MAA000377.3_9_M.1.1",1452,262389,"Liver"
"J18.MAA000377.3_9_M.1.1",2004,205645,"Liver"
"M2.MAA000377.3_9_M.1.1",1802,542896,"Liver"
"P15.MAA000377.3_9_M.1.1",1688,57303,"Liver"
