"","nGene","nReads","orig.ident"
"A7.MAA000526.3_9_M.1.1",799,221867,"Lung"
"B12.MAA000526.3_9_M.1.1",3616,1377608,"Lung"
"D4.MAA000526.3_9_M.1.1",3718,819023,"Lung"
"E11.MAA000526.3_9_M.1.1",4137,1392940,"Lung"
"G6.MAA000526.3_9_M.1.1",3113,869794,"Lung"
"H14.MAA000526.3_9_M.1.1",3887,1182052,"Lung"
"J4.MAA000526.3_9_M.1.1",5058,1364085,"Lung"
"K21.MAA000526.3_9_M.1.1",1890,448424,"Lung"
"M10.MAA000526.3_9_M.1.1",3751,1417046,"Lung"
"A8.MAA000526.3_9_M.1.1",2635,755596,"Lung"
"B13.MAA000526.3_9_M.1.1",2393,703042,"Lung"
"D6.MAA000526.3_9_M.1.1",3110,570943,"Lung"
"E12.MAA000526.3_9_M.1.1",2296,455335,"Lung"
"G7.MAA000526.3_9_M.1.1",1774,510082,"Lung"
"O2.MAA000526.3_9_M.1.1",1776,428298,"Lung"
"H19.MAA000526.3_9_M.1.1",851,70667,"Lung"
"J5.MAA000526.3_9_M.1.1",3295,565356,"Lung"
"K22.MAA000526.3_9_M.1.1",1317,403384,"Lung"
"P7.MAA000526.3_9_M.1.1",1683,214458,"Lung"
"M11.MAA000526.3_9_M.1.1",2745,441447,"Lung"
"B14.MAA000526.3_9_M.1.1",3457,872584,"Lung"
"D7.MAA000526.3_9_M.1.1",3323,812846,"Lung"
"E13.MAA000526.3_9_M.1.1",4001,998218,"Lung"
"G8.MAA000526.3_9_M.1.1",2567,664789,"Lung"
"H20.MAA000526.3_9_M.1.1",2444,441341,"Lung"
"J6.MAA000526.3_9_M.1.1",1387,287261,"Lung"
"L1.MAA000526.3_9_M.1.1",2725,604606,"Lung"
"M12.MAA000526.3_9_M.1.1",3327,968617,"Lung"
"O4.MAA000526.3_9_M.1.1",4792,1203854,"Lung"
"O3.MAA000526.3_9_M.1.1",2204,446329,"Lung"
"P9.MAA000526.3_9_M.1.1",2643,464370,"Lung"
