"","nGene","nReads","orig.ident"
"D13.MAA000574.3_8_M.1.1",4150,1949024,"Pancreas"
"D14.MAA000574.3_8_M.1.1",1468,1255494,"Pancreas"
"C5.MAA000574.3_8_M.1.1",1085,769579,"Pancreas"
"A3.MAA000574.3_8_M.1.1",2694,95612,"Pancreas"
"C11.MAA000574.3_8_M.1.1",2043,1418763,"Pancreas"
"C15.MAA000574.3_8_M.1.1",1081,408418,"Pancreas"
"C16.MAA000574.3_8_M.1.1",6522,1211581,"Pancreas"
"C17.MAA000574.3_8_M.1.1",1839,1666228,"Pancreas"
"B6.MAA000574.3_8_M.1.1",2668,767619,"Pancreas"
"C19.MAA000574.3_8_M.1.1",545,1147120,"Pancreas"
"B9.MAA000574.3_8_M.1.1",3605,830749,"Pancreas"
"C21.MAA000574.3_8_M.1.1",2131,1312756,"Pancreas"
"B15.MAA000574.3_8_M.1.1",556,392188,"Pancreas"
"B19.MAA000574.3_8_M.1.1",3545,1935478,"Pancreas"
"K13.MAA000574.3_8_M.1.1",3874,1192191,"Pancreas"
"F1.MAA000574.3_8_M.1.1",6016,1905216,"Pancreas"
"G8.MAA000574.3_8_M.1.1",502,280107,"Pancreas"
"J8.MAA000574.3_8_M.1.1",3073,922223,"Pancreas"
"K14.MAA000574.3_8_M.1.1",3324,871589,"Pancreas"
"L19.MAA000574.3_8_M.1.1",4629,1018875,"Pancreas"
"F2.MAA000574.3_8_M.1.1",840,1130926,"Pancreas"
"G9.MAA000574.3_8_M.1.1",2061,341884,"Pancreas"
"N5.MAA000574.3_8_M.1.1",1050,303263,"Pancreas"
"F3.MAA000574.3_8_M.1.1",827,248374,"Pancreas"
"K17.MAA000574.3_8_M.1.1",3386,514885,"Pancreas"
"H21.MAA000574.3_8_M.1.1",2298,785592,"Pancreas"
"J12.MAA000574.3_8_M.1.1",3492,1767274,"Pancreas"
"L22.MAA000574.3_8_M.1.1",3828,1710320,"Pancreas"
"N9.MAA000574.3_8_M.1.1",3364,1408813,"Pancreas"
"O14.MAA000574.3_8_M.1.1",1119,297718,"Pancreas"
"P17.MAA000574.3_8_M.1.1",906,294786,"Pancreas"
