"","nGene","nReads","orig.ident"
"A12.D041914.3_8_M.1.1",4694,1200188,"Bladder"
"B16.D041914.3_8_M.1.1",3633,1815638,"Bladder"
"C18.D041914.3_8_M.1.1",6197,1685680,"Bladder"
"D22.D041914.3_8_M.1.1",5305,942474,"Bladder"
"F4.D041914.3_8_M.1.1",3019,59101,"Bladder"
"C19.D041914.3_8_M.1.1",5327,800281,"Bladder"
"E1.D041914.3_8_M.1.1",4618,948946,"Bladder"
"A13.D041914.3_8_M.1.1",5469,705381,"Bladder"
"B17.D041914.3_8_M.1.1",5573,858503,"Bladder"
"A14.D041914.3_8_M.1.1",5091,779163,"Bladder"
"B18.D041914.3_8_M.1.1",7235,1022200,"Bladder"
"C20.D041914.3_8_M.1.1",5236,894399,"Bladder"
"E2.D041914.3_8_M.1.1",2682,212478,"Bladder"
"A15.D041914.3_8_M.1.1",5349,1478343,"Bladder"
"B19.D041914.3_8_M.1.1",3974,1213734,"Bladder"
"C21.D041914.3_8_M.1.1",5953,1412671,"Bladder"
"E3.D041914.3_8_M.1.1",5644,1684240,"Bladder"
"A16.D041914.3_8_M.1.1",3712,460586,"Bladder"
"B20.D041914.3_8_M.1.1",4092,1477292,"Bladder"
"C22.D041914.3_8_M.1.1",4238,862710,"Bladder"
"E4.D041914.3_8_M.1.1",4121,1174305,"Bladder"
"A17.D041914.3_8_M.1.1",4281,533770,"Bladder"
"A18.D041914.3_8_M.1.1",5166,739139,"Bladder"
"B21.D041914.3_8_M.1.1",5868,863405,"Bladder"
"D1.D041914.3_8_M.1.1",5428,864692,"Bladder"
"E5.D041914.3_8_M.1.1",4342,678196,"Bladder"
"B22.D041914.3_8_M.1.1",5664,1028582,"Bladder"
"D2.D041914.3_8_M.1.1",5013,731167,"Bladder"
"E6.D041914.3_8_M.1.1",4315,576575,"Bladder"
"A20.D041914.3_8_M.1.1",5260,1100091,"Bladder"
"C1.D041914.3_8_M.1.1",4001,410701,"Bladder"
"D3.D041914.3_8_M.1.1",4081,562207,"Bladder"
"E7.D041914.3_8_M.1.1",4431,564964,"Bladder"
"D4.D041914.3_8_M.1.1",4804,657971,"Bladder"
"E8.D041914.3_8_M.1.1",4934,1129338,"Bladder"
"A21.D041914.3_8_M.1.1",4774,747473,"Bladder"
"C2.D041914.3_8_M.1.1",4620,588240,"Bladder"
"A22.D041914.3_8_M.1.1",5177,866443,"Bladder"
"C3.D041914.3_8_M.1.1",4918,712910,"Bladder"
"D5.D041914.3_8_M.1.1",6100,871960,"Bladder"
"E9.D041914.3_8_M.1.1",4801,834009,"Bladder"
"B3.D041914.3_8_M.1.1",3459,331965,"Bladder"
"B2.D041914.3_8_M.1.1",4748,725613,"Bladder"
"C4.D041914.3_8_M.1.1",6514,577980,"Bladder"
"D6.D041914.3_8_M.1.1",4322,564594,"Bladder"
"E10.D041914.3_8_M.1.1",4527,739900,"Bladder"
"C5.D041914.3_8_M.1.1",8327,857047,"Bladder"
"D7.D041914.3_8_M.1.1",3645,769683,"Bladder"
"E11.D041914.3_8_M.1.1",4393,1083841,"Bladder"
