"","nGene","nReads","orig.ident"
"A11.B002432.3_38_F.1.1",2709,641751,"Mammary_Gland"
"B13.B002432.3_38_F.1.1",5629,1459640,"Mammary_Gland"
"I21.B002432.3_38_F.1.1",2802,585958,"Mammary_Gland"
"K1.B002432.3_38_F.1.1",3550,536034,"Mammary_Gland"
"L6.B002432.3_38_F.1.1",4594,1100429,"Mammary_Gland"
"M10.B002432.3_38_F.1.1",2932,579719,"Mammary_Gland"
"N16.B002432.3_38_F.1.1",4580,1322272,"Mammary_Gland"
"O18.B002432.3_38_F.1.1",3004,1947079,"Mammary_Gland"
"C18.B002432.3_38_F.1.1",2171,711898,"Mammary_Gland"
"E4.B002432.3_38_F.1.1",5141,1215088,"Mammary_Gland"
"F7.B002432.3_38_F.1.1",3693,1687432,"Mammary_Gland"
"G11.B002432.3_38_F.1.1",3659,799388,"Mammary_Gland"
"H17.B002432.3_38_F.1.1",3822,840042,"Mammary_Gland"
"A12.B002432.3_38_F.1.1",3227,1283243,"Mammary_Gland"
"H18.B002432.3_38_F.1.1",4070,1740203,"Mammary_Gland"
"I22.B002432.3_38_F.1.1",2893,600279,"Mammary_Gland"
"K2.B002432.3_38_F.1.1",3349,830360,"Mammary_Gland"
"L7.B002432.3_38_F.1.1",5010,690207,"Mammary_Gland"
"M11.B002432.3_38_F.1.1",2219,576438,"Mammary_Gland"
"B14.B002432.3_38_F.1.1",2718,817762,"Mammary_Gland"
"E5.B002432.3_38_F.1.1",3932,1494895,"Mammary_Gland"
"F8.B002432.3_38_F.1.1",1515,610461,"Mammary_Gland"
"G13.B002432.3_38_F.1.1",2308,532380,"Mammary_Gland"
"A13.B002432.3_38_F.1.1",3287,876224,"Mammary_Gland"
"H19.B002432.3_38_F.1.1",3468,1521283,"Mammary_Gland"
"J1.B002432.3_38_F.1.1",3225,1260604,"Mammary_Gland"
"L8.B002432.3_38_F.1.1",4388,1253195,"Mammary_Gland"
"M12.B002432.3_38_F.1.1",2804,531632,"Mammary_Gland"
"N18.B002432.3_38_F.1.1",3380,1157386,"Mammary_Gland"
"O20.B002432.3_38_F.1.1",3723,375911,"Mammary_Gland"
"B15.B002432.3_38_F.1.1",3000,742504,"Mammary_Gland"
"C20.B002432.3_38_F.1.1",2745,727182,"Mammary_Gland"
"E6.B002432.3_38_F.1.1",2853,458874,"Mammary_Gland"
"F9.B002432.3_38_F.1.1",4202,1678668,"Mammary_Gland"
"G14.B002432.3_38_F.1.1",5147,1215599,"Mammary_Gland"
"A14.B002432.3_38_F.1.1",2938,1198261,"Mammary_Gland"
"L9.B002432.3_38_F.1.1",2733,610849,"Mammary_Gland"
"M14.B002432.3_38_F.1.1",3516,1109630,"Mammary_Gland"
"N19.B002432.3_38_F.1.1",3400,958588,"Mammary_Gland"
"O21.B002432.3_38_F.1.1",2807,1630674,"Mammary_Gland"
"A15.B002432.3_38_F.1.1",5332,1311460,"Mammary_Gland"
"B18.B002432.3_38_F.1.1",4683,1424528,"Mammary_Gland"
"D2.B002432.3_38_F.1.1",3603,1390552,"Mammary_Gland"
"B16.B002432.3_38_F.1.1",3044,961135,"Mammary_Gland"
"E8.B002432.3_38_F.1.1",4826,1549107,"Mammary_Gland"
"F12.B002432.3_38_F.1.1",4496,1229723,"Mammary_Gland"
"G16.B002432.3_38_F.1.1",2322,686044,"Mammary_Gland"
"D1.B002432.3_38_F.1.1",3631,977242,"Mammary_Gland"
"E7.B002432.3_38_F.1.1",3626,1018188,"Mammary_Gland"
"F10.B002432.3_38_F.1.1",2331,823878,"Mammary_Gland"
"G15.B002432.3_38_F.1.1",2504,821233,"Mammary_Gland"
"H20.B002432.3_38_F.1.1",3575,378347,"Mammary_Gland"
"J2.B002432.3_38_F.1.1",3176,685883,"Mammary_Gland"
"K4.B002432.3_38_F.1.1",4827,1208693,"Mammary_Gland"
"H21.B002432.3_38_F.1.1",3078,825381,"Mammary_Gland"
"A16.B002432.3_38_F.1.1",2340,593355,"Mammary_Gland"
"D3.B002432.3_38_F.1.1",3323,1246972,"Mammary_Gland"
"E9.B002432.3_38_F.1.1",4356,1626835,"Mammary_Gland"
"F13.B002432.3_38_F.1.1",4494,1758378,"Mammary_Gland"
"G17.B002432.3_38_F.1.1",1992,557657,"Mammary_Gland"
"H22.B002432.3_38_F.1.1",4576,1518175,"Mammary_Gland"
"J4.B002432.3_38_F.1.1",3660,956159,"Mammary_Gland"
"J3.B002432.3_38_F.1.1",2699,985591,"Mammary_Gland"
"K6.B002432.3_38_F.1.1",3903,1317257,"Mammary_Gland"
"L11.B002432.3_38_F.1.1",3228,826635,"Mammary_Gland"
"M17.B002432.3_38_F.1.1",5030,1260643,"Mammary_Gland"
"K5.B002432.3_38_F.1.1",3547,966200,"Mammary_Gland"
"L10.B002432.3_38_F.1.1",2987,296085,"Mammary_Gland"
"M15.B002432.3_38_F.1.1",2901,803665,"Mammary_Gland"
"N20.B002432.3_38_F.1.1",3653,965952,"Mammary_Gland"
"O22.B002432.3_38_F.1.1",3255,1378789,"Mammary_Gland"
"N21.B002432.3_38_F.1.1",3227,786374,"Mammary_Gland"
"E10.B002432.3_38_F.1.1",3779,1183633,"Mammary_Gland"
"F14.B002432.3_38_F.1.1",2364,532073,"Mammary_Gland"
"G19.B002432.3_38_F.1.1",1892,1012459,"Mammary_Gland"
"J5.B002432.3_38_F.1.1",1945,551085,"Mammary_Gland"
"K7.B002432.3_38_F.1.1",3698,1293900,"Mammary_Gland"
"L12.B002432.3_38_F.1.1",5464,1267512,"Mammary_Gland"
"M18.B002432.3_38_F.1.1",3619,989692,"Mammary_Gland"
"N22.B002432.3_38_F.1.1",2612,708098,"Mammary_Gland"
"P1.B002432.3_38_F.1.1",3641,1380445,"Mammary_Gland"
"P2.B002432.3_38_F.1.1",6236,1966398,"Mammary_Gland"
"A17.B002432.3_38_F.1.1",3807,856646,"Mammary_Gland"
"B20.B002432.3_38_F.1.1",3467,1408649,"Mammary_Gland"
"D4.B002432.3_38_F.1.1",4380,1182198,"Mammary_Gland"
"G20.B002432.3_38_F.1.1",4273,865619,"Mammary_Gland"
