"","nGene","nReads","orig.ident"
"A21.MAA000508.3_9_M.1.1",1450,143410,"Spleen"
"C6.MAA000508.3_9_M.1.1",2151,256251,"Spleen"
"A22.MAA000508.3_9_M.1.1",2510,393882,"Spleen"
"C8.MAA000508.3_9_M.1.1",2724,419196,"Spleen"
"E8.MAA000508.3_9_M.1.1",2295,307993,"Spleen"
"E6.MAA000508.3_9_M.1.1",2529,353178,"Spleen"
"B1.MAA000508.3_9_M.1.1",1946,327412,"Spleen"
"C9.MAA000508.3_9_M.1.1",982,216974,"Spleen"
"E12.MAA000508.3_9_M.1.1",2834,429556,"Spleen"
"B2.MAA000508.3_9_M.1.1",2353,364600,"Spleen"
"C18.MAA000508.3_9_M.1.1",1483,182611,"Spleen"
"E22.MAA000508.3_9_M.1.1",2327,345015,"Spleen"
"A1.MAA000508.3_9_M.1.1",1803,231116,"Spleen"
"B3.MAA000508.3_9_M.1.1",2202,354132,"Spleen"
"C19.MAA000508.3_9_M.1.1",4819,206064,"Spleen"
"F1.MAA000508.3_9_M.1.1",2384,451129,"Spleen"
"A2.MAA000508.3_9_M.1.1",1943,297614,"Spleen"
"B4.MAA000508.3_9_M.1.1",1861,406439,"Spleen"
"C22.MAA000508.3_9_M.1.1",2301,236399,"Spleen"
"F2.MAA000508.3_9_M.1.1",2824,488512,"Spleen"
"A3.MAA000508.3_9_M.1.1",1881,406370,"Spleen"
"B5.MAA000508.3_9_M.1.1",1655,184449,"Spleen"
"D1.MAA000508.3_9_M.1.1",1510,340669,"Spleen"
"F3.MAA000508.3_9_M.1.1",1520,195784,"Spleen"
"A4.MAA000508.3_9_M.1.1",2217,459280,"Spleen"
"B6.MAA000508.3_9_M.1.1",1957,269131,"Spleen"
"D2.MAA000508.3_9_M.1.1",1936,323645,"Spleen"
"F4.MAA000508.3_9_M.1.1",2505,376556,"Spleen"
"B7.MAA000508.3_9_M.1.1",1830,269603,"Spleen"
"D3.MAA000508.3_9_M.1.1",1696,264878,"Spleen"
"F7.MAA000508.3_9_M.1.1",1851,207352,"Spleen"
"A5.MAA000508.3_9_M.1.1",2528,425542,"Spleen"
"A6.MAA000508.3_9_M.1.1",2265,299153,"Spleen"
"B8.MAA000508.3_9_M.1.1",2145,303352,"Spleen"
"D4.MAA000508.3_9_M.1.1",1669,267603,"Spleen"
"F12.MAA000508.3_9_M.1.1",2846,426511,"Spleen"
"A7.MAA000508.3_9_M.1.1",2309,417699,"Spleen"
"B10.MAA000508.3_9_M.1.1",1757,222964,"Spleen"
"D5.MAA000508.3_9_M.1.1",2181,316929,"Spleen"
"F21.MAA000508.3_9_M.1.1",2219,253968,"Spleen"
"A8.MAA000508.3_9_M.1.1",1654,181126,"Spleen"
"B12.MAA000508.3_9_M.1.1",1879,232696,"Spleen"
"D7.MAA000508.3_9_M.1.1",2177,248190,"Spleen"
"G1.MAA000508.3_9_M.1.1",1872,276018,"Spleen"
"A10.MAA000508.3_9_M.1.1",1948,465561,"Spleen"
"A9.MAA000508.3_9_M.1.1",2105,175511,"Spleen"
"B13.MAA000508.3_9_M.1.1",1953,229760,"Spleen"
"D10.MAA000508.3_9_M.1.1",2484,234216,"Spleen"
"G2.MAA000508.3_9_M.1.1",1823,339743,"Spleen"
"B15.MAA000508.3_9_M.1.1",2782,225409,"Spleen"
"D16.MAA000508.3_9_M.1.1",1784,205338,"Spleen"
"G3.MAA000508.3_9_M.1.1",2537,318057,"Spleen"
"A11.MAA000508.3_9_M.1.1",1957,266198,"Spleen"
"B18.MAA000508.3_9_M.1.1",1434,169163,"Spleen"
"D18.MAA000508.3_9_M.1.1",1494,161126,"Spleen"
"G4.MAA000508.3_9_M.1.1",1699,221381,"Spleen"
"A12.MAA000508.3_9_M.1.1",1923,256973,"Spleen"
"B19.MAA000508.3_9_M.1.1",2154,277323,"Spleen"
"D19.MAA000508.3_9_M.1.1",1841,164426,"Spleen"
"A13.MAA000508.3_9_M.1.1",1550,222831,"Spleen"
"B20.MAA000508.3_9_M.1.1",1531,146151,"Spleen"
"D20.MAA000508.3_9_M.1.1",2040,160437,"Spleen"
"A14.MAA000508.3_9_M.1.1",2274,294014,"Spleen"
"B21.MAA000508.3_9_M.1.1",2239,256185,"Spleen"
"D21.MAA000508.3_9_M.1.1",2569,312088,"Spleen"
"A15.MAA000508.3_9_M.1.1",1863,186423,"Spleen"
"A16.MAA000508.3_9_M.1.1",1598,166669,"Spleen"
"C1.MAA000508.3_9_M.1.1",2132,456217,"Spleen"
"E1.MAA000508.3_9_M.1.1",1544,206175,"Spleen"
"B22.MAA000508.3_9_M.1.1",2094,182829,"Spleen"
"D22.MAA000508.3_9_M.1.1",2014,214115,"Spleen"
"A17.MAA000508.3_9_M.1.1",1622,161879,"Spleen"
"C2.MAA000508.3_9_M.1.1",2201,345430,"Spleen"
"E2.MAA000508.3_9_M.1.1",2314,347943,"Spleen"
"A18.MAA000508.3_9_M.1.1",1636,187487,"Spleen"
"C3.MAA000508.3_9_M.1.1",2586,477896,"Spleen"
"E3.MAA000508.3_9_M.1.1",1615,200960,"Spleen"
"A19.MAA000508.3_9_M.1.1",1934,94518,"Spleen"
"C4.MAA000508.3_9_M.1.1",1742,213988,"Spleen"
"E4.MAA000508.3_9_M.1.1",1954,250190,"Spleen"
"I10.MAA000508.3_9_M.1.1",2692,355051,"Spleen"
"A20.MAA000508.3_9_M.1.1",1474,132957,"Spleen"
