"","nGene","nReads","orig.ident"
"A14.MAA000545.3_8_M.1.1",1328,119462,"Kidney"
"E1.MAA000545.3_8_M.1.1",736,66565,"Kidney"
"M4.MAA000545.3_8_M.1.1",992,99437,"Kidney"
"O21.MAA000545.3_8_M.1.1",1021,73568,"Kidney"
"P4.MAA000545.3_8_M.1.1",1332,314402,"Kidney"
"A16.MAA000545.3_8_M.1.1",1199,114151,"Kidney"
"E17.MAA000545.3_8_M.1.1",2678,369342,"Kidney"
"M5.MAA000545.3_8_M.1.1",886,117717,"Kidney"
"A21.MAA000545.3_8_M.1.1",1889,317872,"Kidney"
"F5.MAA000545.3_8_M.1.1",2132,248478,"Kidney"
"A18.MAA000545.3_8_M.1.1",1723,209938,"Kidney"
"M8.MAA000545.3_8_M.1.1",2157,159782,"Kidney"
"P5.MAA000545.3_8_M.1.1",1420,337524,"Kidney"
"M9.MAA000545.3_8_M.1.1",2059,214356,"Kidney"
"P13.MAA000545.3_8_M.1.1",1616,193080,"Kidney"
"A22.MAA000545.3_8_M.1.1",2448,249661,"Kidney"
"F14.MAA000545.3_8_M.1.1",1339,159584,"Kidney"
"M14.MAA000545.3_8_M.1.1",2267,202199,"Kidney"
"P18.MAA000545.3_8_M.1.1",1193,130939,"Kidney"
"B2.MAA000545.3_8_M.1.1",879,121498,"Kidney"
"F17.MAA000545.3_8_M.1.1",3454,598222,"Kidney"
"M18.MAA000545.3_8_M.1.1",2662,510565,"Kidney"
"P21.MAA000545.3_8_M.1.1",2398,203257,"Kidney"
"F22.MAA000545.3_8_M.1.1",3080,458307,"Kidney"
"M20.MAA000545.3_8_M.1.1",1893,115160,"Kidney"
"B10.MAA000545.3_8_M.1.1",1361,150430,"Kidney"
"G1.MAA000545.3_8_M.1.1",1935,245085,"Kidney"
"B20.MAA000545.3_8_M.1.1",1303,125494,"Kidney"
"G6.MAA000545.3_8_M.1.1",2195,280577,"Kidney"
"N1.MAA000545.3_8_M.1.1",1637,322419,"Kidney"
"B22.MAA000545.3_8_M.1.1",1208,126897,"Kidney"
"G11.MAA000545.3_8_M.1.1",3312,407049,"Kidney"
"N3.MAA000545.3_8_M.1.1",1617,89640,"Kidney"
"C2.MAA000545.3_8_M.1.1",1046,88858,"Kidney"
"H2.MAA000545.3_8_M.1.1",1563,238056,"Kidney"
"N4.MAA000545.3_8_M.1.1",1166,75840,"Kidney"
"I1.MAA000545.3_8_M.1.1",1135,115804,"Kidney"
"C5.MAA000545.3_8_M.1.1",1071,177006,"Kidney"
"C6.MAA000545.3_8_M.1.1",1993,153387,"Kidney"
"J1.MAA000545.3_8_M.1.1",1306,127600,"Kidney"
"N6.MAA000545.3_8_M.1.1",1665,226590,"Kidney"
"C10.MAA000545.3_8_M.1.1",1001,81542,"Kidney"
"C12.MAA000545.3_8_M.1.1",1405,95009,"Kidney"
"J7.MAA000545.3_8_M.1.1",1989,157089,"Kidney"
"N7.MAA000545.3_8_M.1.1",1309,82498,"Kidney"
"C13.MAA000545.3_8_M.1.1",1563,106251,"Kidney"
"K7.MAA000545.3_8_M.1.1",1217,127579,"Kidney"
"N13.MAA000545.3_8_M.1.1",1948,79574,"Kidney"
"N17.MAA000545.3_8_M.1.1",687,71563,"Kidney"
"K19.MAA000545.3_8_M.1.1",2347,218028,"Kidney"
"C22.MAA000545.3_8_M.1.1",875,102697,"Kidney"
"D1.MAA000545.3_8_M.1.1",1705,455987,"Kidney"
"L6.MAA000545.3_8_M.1.1",1455,108750,"Kidney"
"O1.MAA000545.3_8_M.1.1",1620,130149,"Kidney"
"D2.MAA000545.3_8_M.1.1",2037,197879,"Kidney"
"L8.MAA000545.3_8_M.1.1",1433,66824,"Kidney"
"O2.MAA000545.3_8_M.1.1",1235,110827,"Kidney"
"L9.MAA000545.3_8_M.1.1",1120,116458,"Kidney"
"O4.MAA000545.3_8_M.1.1",1933,249479,"Kidney"
"D3.MAA000545.3_8_M.1.1",930,97679,"Kidney"
"O6.MAA000545.3_8_M.1.1",768,59410,"Kidney"
"A5.MAA000545.3_8_M.1.1",934,105776,"Kidney"
"D4.MAA000545.3_8_M.1.1",1996,328954,"Kidney"
"M2.MAA000545.3_8_M.1.1",2739,392638,"Kidney"
"O13.MAA000545.3_8_M.1.1",1312,83308,"Kidney"
"D8.MAA000545.3_8_M.1.1",1186,155421,"Kidney"
"A13.MAA000545.3_8_M.1.1",1659,189402,"Kidney"
"D18.MAA000545.3_8_M.1.1",1866,336769,"Kidney"
"O20.MAA000545.3_8_M.1.1",1954,229102,"Kidney"
"H21.MAA000752.3_10_M.1.1",1939,638786,"Kidney"
"M14.MAA000752.3_10_M.1.1",1528,825267,"Kidney"
"I4.MAA000752.3_10_M.1.1",1902,434406,"Kidney"
"M15.MAA000752.3_10_M.1.1",810,202776,"Kidney"
"I9.MAA000752.3_10_M.1.1",2226,916257,"Kidney"
"M18.MAA000752.3_10_M.1.1",1872,802203,"Kidney"
"O4.MAA000752.3_10_M.1.1",692,84130,"Kidney"
"I10.MAA000752.3_10_M.1.1",2468,728952,"Kidney"
"I13.MAA000752.3_10_M.1.1",1700,684037,"Kidney"
"P8.MAA000752.3_10_M.1.1",1282,305049,"Kidney"
"M20.MAA000752.3_10_M.1.1",641,66812,"Kidney"
"I15.MAA000752.3_10_M.1.1",975,271974,"Kidney"
"M21.MAA000752.3_10_M.1.1",792,81520,"Kidney"
"I17.MAA000752.3_10_M.1.1",1513,344688,"Kidney"
"N1.MAA000752.3_10_M.1.1",2898,889203,"Kidney"
"N2.MAA000752.3_10_M.1.1",1458,505770,"Kidney"
"O9.MAA000752.3_10_M.1.1",2549,992495,"Kidney"
"I19.MAA000752.3_10_M.1.1",1661,330475,"Kidney"
"J11.MAA000752.3_10_M.1.1",2358,534272,"Kidney"
"J9.MAA000752.3_10_M.1.1",3613,1300946,"Kidney"
"N3.MAA000752.3_10_M.1.1",1267,180293,"Kidney"
"P13.MAA000752.3_10_M.1.1",743,174114,"Kidney"
"A4.MAA000752.3_10_M.1.1",1238,345170,"Kidney"
"J15.MAA000752.3_10_M.1.1",1152,134385,"Kidney"
"N5.MAA000752.3_10_M.1.1",1254,134371,"Kidney"
"P15.MAA000752.3_10_M.1.1",1587,116542,"Kidney"
"O13.MAA000752.3_10_M.1.1",1034,274111,"Kidney"
"P16.MAA000752.3_10_M.1.1",1920,310945,"Kidney"
"A10.MAA000752.3_10_M.1.1",1789,409127,"Kidney"
"K10.MAA000752.3_10_M.1.1",1925,384564,"Kidney"
"B2.MAA000752.3_10_M.1.1",1307,310541,"Kidney"
"K11.MAA000752.3_10_M.1.1",2033,656185,"Kidney"
"O14.MAA000752.3_10_M.1.1",752,162830,"Kidney"
"K16.MAA000752.3_10_M.1.1",852,90825,"Kidney"
"N9.MAA000752.3_10_M.1.1",1498,434791,"Kidney"
"P18.MAA000752.3_10_M.1.1",1659,501964,"Kidney"
"N11.MAA000752.3_10_M.1.1",2699,748294,"Kidney"
"O16.MAA000752.3_10_M.1.1",1190,334722,"Kidney"
"C9.MAA000752.3_10_M.1.1",2309,697366,"Kidney"
"K22.MAA000752.3_10_M.1.1",1799,280283,"Kidney"
"N12.MAA000752.3_10_M.1.1",3843,1233764,"Kidney"
"O17.MAA000752.3_10_M.1.1",1074,222811,"Kidney"
"C16.MAA000752.3_10_M.1.1",4045,1376365,"Kidney"
"L1.MAA000752.3_10_M.1.1",2051,685774,"Kidney"
"O18.MAA000752.3_10_M.1.1",1713,545315,"Kidney"
"C20.MAA000752.3_10_M.1.1",2082,381879,"Kidney"
"L14.MAA000752.3_10_M.1.1",1621,427881,"Kidney"
"E18.MAA000752.3_10_M.1.1",2292,584344,"Kidney"
"L15.MAA000752.3_10_M.1.1",2085,315103,"Kidney"
"N17.MAA000752.3_10_M.1.1",1346,288180,"Kidney"
"G3.MAA000752.3_10_M.1.1",1961,720533,"Kidney"
"F13.MAA000752.3_10_M.1.1",1425,373140,"Kidney"
"L18.MAA000752.3_10_M.1.1",1718,727124,"Kidney"
"N18.MAA000752.3_10_M.1.1",1621,482658,"Kidney"
"L22.MAA000752.3_10_M.1.1",1113,318994,"Kidney"
"G20.MAA000752.3_10_M.1.1",1937,530576,"Kidney"
"M1.MAA000752.3_10_M.1.1",3608,1086656,"Kidney"
"N20.MAA000752.3_10_M.1.1",2986,1069674,"Kidney"
"P1.MAA000752.3_10_M.1.1",1014,259758,"Kidney"
"H16.MAA000752.3_10_M.1.1",3216,1045754,"Kidney"
"M9.MAA000752.3_10_M.1.1",2666,891769,"Kidney"
"N21.MAA000752.3_10_M.1.1",707,170399,"Kidney"
"H20.MAA000752.3_10_M.1.1",2753,1027908,"Kidney"
"M13.MAA000752.3_10_M.1.1",1519,595497,"Kidney"
"P3.MAA000752.3_10_M.1.1",1398,297561,"Kidney"
"A17.MAA000801.3_11_M.1.1",3267,969603,"Kidney"
"C1.MAA000801.3_11_M.1.1",830,222593,"Kidney"
"O17.MAA000801.3_11_M.1.1",1962,849716,"Kidney"
"D7.MAA000801.3_11_M.1.1",1159,113261,"Kidney"
"F6.MAA000801.3_11_M.1.1",2164,734683,"Kidney"
"H20.MAA000801.3_11_M.1.1",3038,1560824,"Kidney"
"K17.MAA000801.3_11_M.1.1",3680,852408,"Kidney"
"M16.MAA000801.3_11_M.1.1",1189,404053,"Kidney"
"A18.MAA000801.3_11_M.1.1",1667,594481,"Kidney"
"C2.MAA000801.3_11_M.1.1",1784,907988,"Kidney"
"D8.MAA000801.3_11_M.1.1",2649,1489650,"Kidney"
"M17.MAA000801.3_11_M.1.1",698,113576,"Kidney"
"O18.MAA000801.3_11_M.1.1",1285,658195,"Kidney"
"F11.MAA000801.3_11_M.1.1",1332,181939,"Kidney"
"I1.MAA000801.3_11_M.1.1",926,305505,"Kidney"
"K19.MAA000801.3_11_M.1.1",1640,222279,"Kidney"
