"","nGene","nReads","orig.ident"
"B15.MAA000385.3_10_M.1.1",4148,766946,"Fat"
"D15.MAA000385.3_10_M.1.1",2555,426978,"Fat"
"F15.MAA000385.3_10_M.1.1",1941,424003,"Fat"
"L15.MAA000385.3_10_M.1.1",1649,438304,"Fat"
"O4.MAA000385.3_10_M.1.1",1978,167774,"Fat"
"P16.MAA000385.3_10_M.1.1",2330,195279,"Fat"
"H18.MAA000385.3_10_M.1.1",3306,749937,"Fat"
"J16.MAA000385.3_10_M.1.1",1467,292393,"Fat"
"B17.MAA000385.3_10_M.1.1",2437,459881,"Fat"
"D16.MAA000385.3_10_M.1.1",2454,308575,"Fat"
"F16.MAA000385.3_10_M.1.1",2841,701906,"Fat"
"H19.MAA000385.3_10_M.1.1",1641,292095,"Fat"
"O7.MAA000385.3_10_M.1.1",2407,454683,"Fat"
"P17.MAA000385.3_10_M.1.1",2266,381655,"Fat"
"J17.MAA000385.3_10_M.1.1",2632,440343,"Fat"
"L18.MAA000385.3_10_M.1.1",6205,1196654,"Fat"
"B18.MAA000385.3_10_M.1.1",3101,656110,"Fat"
"D17.MAA000385.3_10_M.1.1",2150,433177,"Fat"
"F17.MAA000385.3_10_M.1.1",2784,450205,"Fat"
"H20.MAA000385.3_10_M.1.1",2631,369633,"Fat"
"J20.MAA000385.3_10_M.1.1",2442,369227,"Fat"
"L21.MAA000385.3_10_M.1.1",3510,769716,"Fat"
"O8.MAA000385.3_10_M.1.1",2963,447220,"Fat"
"B19.MAA000385.3_10_M.1.1",2490,326984,"Fat"
"D18.MAA000385.3_10_M.1.1",2439,461974,"Fat"
"P18.MAA000385.3_10_M.1.1",1581,286078,"Fat"
"O9.MAA000385.3_10_M.1.1",2044,373450,"Fat"
"P19.MAA000385.3_10_M.1.1",1013,73201,"Fat"
"F18.MAA000385.3_10_M.1.1",3492,866838,"Fat"
"H22.MAA000385.3_10_M.1.1",3229,857630,"Fat"
"J21.MAA000385.3_10_M.1.1",1639,207007,"Fat"
"D20.MAA000385.3_10_M.1.1",5955,1333883,"Fat"
"F20.MAA000385.3_10_M.1.1",3516,779369,"Fat"
"I5.MAA000385.3_10_M.1.1",6449,1696883,"Fat"
"J22.MAA000385.3_10_M.1.1",2934,409943,"Fat"
"M9.MAA000385.3_10_M.1.1",2182,474234,"Fat"
"O10.MAA000385.3_10_M.1.1",2303,504304,"Fat"
"P20.MAA000385.3_10_M.1.1",3317,261570,"Fat"
"B22.MAA000385.3_10_M.1.1",2577,487441,"Fat"
"C3.MAA000385.3_10_M.1.1",4999,1963617,"Fat"
"D22.MAA000385.3_10_M.1.1",4855,1348317,"Fat"
"K4.MAA000385.3_10_M.1.1",4314,1256490,"Fat"
"M10.MAA000385.3_10_M.1.1",2167,595470,"Fat"
"C4.MAA000385.3_10_M.1.1",4479,1638693,"Fat"
"E3.MAA000385.3_10_M.1.1",3211,777330,"Fat"
"P21.MAA000385.3_10_M.1.1",2270,653878,"Fat"
"G9.MAA000385.3_10_M.1.1",1859,627969,"Fat"
"K9.MAA000385.3_10_M.1.1",2818,1223884,"Fat"
"M11.MAA000385.3_10_M.1.1",3630,585966,"Fat"
"I9.MAA000385.3_10_M.1.1",1600,475145,"Fat"
"C8.MAA000385.3_10_M.1.1",4972,379506,"Fat"
"E7.MAA000385.3_10_M.1.1",4146,1552999,"Fat"
"G10.MAA000385.3_10_M.1.1",1817,668788,"Fat"
"I10.MAA000385.3_10_M.1.1",4854,1160015,"Fat"
"K10.MAA000385.3_10_M.1.1",3320,764311,"Fat"
"M12.MAA000385.3_10_M.1.1",1264,177091,"Fat"
"O13.MAA000385.3_10_M.1.1",2438,377876,"Fat"
"A4.MAA000385.3_10_M.1.1",5119,1374478,"Fat"
"C9.MAA000385.3_10_M.1.1",5169,1201522,"Fat"
"E8.MAA000385.3_10_M.1.1",4252,1522532,"Fat"
"G11.MAA000385.3_10_M.1.1",2579,344204,"Fat"
"I11.MAA000385.3_10_M.1.1",2052,450907,"Fat"
"K11.MAA000385.3_10_M.1.1",4043,990801,"Fat"
