"","nGene","nReads","orig.ident"
"A1.B002765.3_38_F.1.1",2149,878318,"Limb_Muscle"
"A1.D042103.3_11_M.1",1194,774558,"Limb_Muscle"
"A1.D042186.3_8_M.1.1",2751,914257,"Limb_Muscle"
"A10.B002765.3_38_F.1.1",2333,1543007,"Limb_Muscle"
"A10.B002769.3_39_F.1.1",3556,2521710,"Limb_Muscle"
"A10.D042186.3_8_M.1.1",2085,732744,"Limb_Muscle"
"A11.B002765.3_38_F.1.1",2188,876064,"Limb_Muscle"
"A11.B002769.3_39_F.1.1",3448,1123945,"Limb_Muscle"
"A11.D042186.3_8_M.1.1",2795,404613,"Limb_Muscle"
"A12.B002765.3_38_F.1.1",2181,1556247,"Limb_Muscle"
"A12.B002769.3_39_F.1.1",3822,1191536,"Limb_Muscle"
"A12.D042186.3_8_M.1.1",3203,718153,"Limb_Muscle"
"A13.B002765.3_38_F.1.1",2052,2115726,"Limb_Muscle"
"A13.D042186.3_8_M.1.1",4081,809965,"Limb_Muscle"
"A13.D042473.3_10_M.1.1",1985,231772,"Limb_Muscle"
"A14.B002765.3_38_F.1.1",1732,1336847,"Limb_Muscle"
"A14.B002769.3_39_F.1.1",1661,1046737,"Limb_Muscle"
"A14.D042186.3_8_M.1.1",2004,692125,"Limb_Muscle"
"A15.B002765.3_38_F.1.1",1786,1669963,"Limb_Muscle"
"A15.B002769.3_39_F.1.1",2578,682440,"Limb_Muscle"
"A15.D042186.3_8_M.1.1",3146,627857,"Limb_Muscle"
"A16.B002765.3_38_F.1.1",1319,945714,"Limb_Muscle"
"A16.D042186.3_8_M.1.1",2947,686652,"Limb_Muscle"
"A17.B002765.3_38_F.1.1",2025,1693716,"Limb_Muscle"
"A17.B002769.3_39_F.1.1",3152,1472320,"Limb_Muscle"
"A17.D042186.3_8_M.1.1",2108,608652,"Limb_Muscle"
"A18.B002769.3_39_F.1.1",2195,1031108,"Limb_Muscle"
"A18.D042186.3_8_M.1.1",2743,1052180,"Limb_Muscle"
"A19.B002765.3_38_F.1.1",1893,1687156,"Limb_Muscle"
"A19.D042186.3_8_M.1.1",3071,821985,"Limb_Muscle"
"A2.B002765.3_38_F.1.1",1946,192279,"Limb_Muscle"
"A2.D042103.3_11_M.1",1296,907783,"Limb_Muscle"
"A2.D042186.3_8_M.1.1",3935,881748,"Limb_Muscle"
"A20.B002765.3_38_F.1.1",2172,1711983,"Limb_Muscle"
"A20.B002769.3_39_F.1.1",2582,462073,"Limb_Muscle"
"A20.D042186.3_8_M.1.1",2992,798988,"Limb_Muscle"
"A21.B002765.3_38_F.1.1",2637,1979697,"Limb_Muscle"
"A21.B002769.3_39_F.1.1",2049,773083,"Limb_Muscle"
"A21.D042186.3_8_M.1.1",1967,639209,"Limb_Muscle"
"A21.D042473.3_10_M.1.1",2309,278582,"Limb_Muscle"
"A22.B002765.3_38_F.1.1",1880,1481406,"Limb_Muscle"
"A22.B002769.3_39_F.1.1",2049,764799,"Limb_Muscle"
"A22.D042186.3_8_M.1.1",2346,914110,"Limb_Muscle"
"A3.D042103.3_11_M.1",1598,997430,"Limb_Muscle"
"A3.D042186.3_8_M.1.1",2474,668242,"Limb_Muscle"
"A4.D042103.3_11_M.1",1778,959738,"Limb_Muscle"
"A4.D042186.3_8_M.1.1",2472,467204,"Limb_Muscle"
"A4.D042473.3_10_M.1.1",2382,202585,"Limb_Muscle"
"A5.B002765.3_38_F.1.1",2065,1118450,"Limb_Muscle"
"A5.D042103.3_11_M.1",1393,735726,"Limb_Muscle"
"A5.D042186.3_8_M.1.1",2452,679617,"Limb_Muscle"
"A6.B002765.3_38_F.1.1",2004,797875,"Limb_Muscle"
