"","nGene","nReads","orig.ident"
"A10.MAA000595.3_9_M.1.1",3289,1038959,"Aorta"
"A17.B002431.3_39_F.1.1",4573,2900214,"Aorta"
"A17.MAA000594.3_8_M.1.1",2678,930992,"Aorta"
"A17.MAA000906.3_11_M.1.1",2768,195765,"Aorta"
"A17.MAA000908.3_10_M.1.1",3238,635993,"Aorta"
"A18.B002431.3_39_F.1.1",1922,1505902,"Aorta"
"A18.MAA000908.3_10_M.1.1",1710,279472,"Aorta"
"A19.MAA000595.3_9_M.1.1",1042,201665,"Aorta"
"A20.B002431.3_39_F.1.1",3354,3028424,"Aorta"
"A20.MAA000594.3_8_M.1.1",848,144456,"Aorta"
"A20.MAA000595.3_9_M.1.1",3152,655083,"Aorta"
"A20.MAA000908.3_10_M.1.1",3231,373658,"Aorta"
"A21.B002431.3_39_F.1.1",813,503702,"Aorta"
"A21.MAA000594.3_8_M.1.1",3850,1848089,"Aorta"
"A21.MAA000595.3_9_M.1.1",589,118393,"Aorta"
"A21.MAA000908.3_10_M.1.1",2799,490011,"Aorta"
"A22.B002430.3_38_F.1.1",560,82442,"Aorta"
"A22.B002431.3_39_F.1.1",4144,4953136,"Aorta"
"A22.MAA000594.3_8_M.1.1",1279,270173,"Aorta"
"A22.MAA000906.3_11_M.1.1",2026,151689,"Aorta"
"A22.MAA000908.3_10_M.1.1",2167,258337,"Aorta"
"A5.B002431.3_39_F.1.1",509,539842,"Aorta"
"A8.MAA000594.3_8_M.1.1",552,794063,"Aorta"
"B1.MAA000908.3_10_M.1.1",858,296829,"Aorta"
"B13.MAA000906.3_11_M.1.1",1648,103585,"Aorta"
"B17.MAA000594.3_8_M.1.1",4877,4627836,"Aorta"
"B17.MAA000595.3_9_M.1.1",1844,243119,"Aorta"
"B17.MAA000906.3_11_M.1.1",3223,189363,"Aorta"
"B17.MAA000908.3_10_M.1.1",747,57926,"Aorta"
"B18.MAA000594.3_8_M.1.1",2533,194261,"Aorta"
"B18.MAA000595.3_9_M.1.1",3500,1334118,"Aorta"
"B18.MAA000906.3_11_M.1.1",3389,72098,"Aorta"
"B18.MAA000908.3_10_M.1.1",2693,525926,"Aorta"
"B19.MAA000594.3_8_M.1.1",5341,1068466,"Aorta"
"B19.MAA000906.3_11_M.1.1",2051,197111,"Aorta"
"B19.MAA000908.3_10_M.1.1",3192,617504,"Aorta"
"B20.B002431.3_39_F.1.1",3647,2806255,"Aorta"
"B20.MAA000594.3_8_M.1.1",3631,1944926,"Aorta"
"B20.MAA000906.3_11_M.1.1",5045,940527,"Aorta"
"B20.MAA000908.3_10_M.1.1",3080,508633,"Aorta"
"B21.B002431.3_39_F.1.1",2144,1902730,"Aorta"
"B21.MAA000594.3_8_M.1.1",1817,58542,"Aorta"
"B21.MAA000906.3_11_M.1.1",1620,127207,"Aorta"
"B21.MAA000908.3_10_M.1.1",2258,388318,"Aorta"
"B22.B002431.3_39_F.1.1",635,172716,"Aorta"
"B22.MAA000594.3_8_M.1.1",1470,1071194,"Aorta"
"B22.MAA000595.3_9_M.1.1",1300,195517,"Aorta"
"B22.MAA000906.3_11_M.1.1",2369,165287,"Aorta"
"B22.MAA000908.3_10_M.1.1",2593,473907,"Aorta"
"B3.MAA000906.3_11_M.1.1",593,114752,"Aorta"
"B7.MAA000906.3_11_M.1.1",540,152527,"Aorta"
"C15.B002431.3_39_F.1.1",597,144789,"Aorta"
"C17.MAA000594.3_8_M.1.1",1492,308979,"Aorta"
"C17.MAA000595.3_9_M.1.1",3412,532295,"Aorta"
