"","nGene","nReads","orig.ident"
"A1.B000826.3_39_F.1.1",1887,680300,"Brain_Myeloid"
"A1.B001176.3_56_F.1.1",2257,989907,"Brain_Myeloid"
"A1.B003279.3_38_F.1.1",1092,670715,"Brain_Myeloid"
"A1.B003281.3_39_F.1.1",1930,719168,"Brain_Myeloid"
"A1.B003292.3_39_F.1.1",1885,737609,"Brain_Myeloid"
"A1.MAA000570.3_8_M.1.1",1597,437103,"Brain_Myeloid"
"A1.MAA000593.3_8_M.1.1",2063,238184,"Brain_Myeloid"
"A1.MAA000603.3_10_M.1.1",1946,372562,"Brain_Myeloid"
"A1.MAA000604.3_10_M.1.1",2396,330928,"Brain_Myeloid"
"A1.MAA000617.3_10_M.1.1",2389,242605,"Brain_Myeloid"
"A10.B000825.3_38_F.1.1",1277,574299,"Brain_Myeloid"
"A10.B001176.3_56_F.1.1",1617,805861,"Brain_Myeloid"
"A10.B001689.3_38_F.1.1",1374,598420,"Brain_Myeloid"
"A10.B003281.3_39_F.1.1",1964,1014192,"Brain_Myeloid"
"A10.B003292.3_39_F.1.1",1849,451439,"Brain_Myeloid"
"A10.MAA000571.3_9_M.1.1",1820,1625100,"Brain_Myeloid"
"A10.MAA000572.3_8_M.1.1",2906,1383921,"Brain_Myeloid"
"A10.MAA000590.3_9_M.1.1",2228,367309,"Brain_Myeloid"
"A10.MAA000591.3_8_M.1.1",2576,262835,"Brain_Myeloid"
"A10.MAA000593.3_8_M.1.1",1791,176146,"Brain_Myeloid"
"A10.MAA000603.3_10_M.1.1",3002,554825,"Brain_Myeloid"
"A10.MAA000604.3_10_M.1.1",2780,408953,"Brain_Myeloid"
"A10.MAA000605.3_10_M.1.1",2024,1113522,"Brain_Myeloid"
"A10.MAA000617.3_10_M.1.1",2649,550516,"Brain_Myeloid"
"A11.B000825.3_38_F.1.1",1416,738561,"Brain_Myeloid"
"A11.B000826.3_39_F.1.1",2312,557794,"Brain_Myeloid"
"A11.B001176.3_56_F.1.1",1727,574954,"Brain_Myeloid"
"A11.B001689.3_38_F.1.1",1297,606024,"Brain_Myeloid"
"A11.B003278.3_38_F.1.1",1411,773383,"Brain_Myeloid"
"A11.B003279.3_38_F.1.1",1229,626142,"Brain_Myeloid"
"A11.B003292.3_39_F.1.1",1999,660063,"Brain_Myeloid"
"A11.MAA000570.3_8_M.1.1",1424,409427,"Brain_Myeloid"
"A11.MAA000572.3_8_M.1.1",2839,788884,"Brain_Myeloid"
"A11.MAA000590.3_9_M.1.1",2358,825980,"Brain_Myeloid"
"A11.MAA000603.3_10_M.1.1",2369,244551,"Brain_Myeloid"
"A11.MAA000604.3_10_M.1.1",2402,152134,"Brain_Myeloid"
"A11.MAA000605.3_10_M.1.1",2147,910763,"Brain_Myeloid"
"A11.MAA000617.3_10_M.1.1",1625,227192,"Brain_Myeloid"
"A12.B000825.3_38_F.1.1",1426,598292,"Brain_Myeloid"
"A12.B000826.3_39_F.1.1",2347,412623,"Brain_Myeloid"
"A12.B001176.3_56_F.1.1",2347,772930,"Brain_Myeloid"
"A12.B001689.3_38_F.1.1",1612,593662,"Brain_Myeloid"
"A12.B003292.3_39_F.1.1",2471,802795,"Brain_Myeloid"
"A12.MAA000572.3_8_M.1.1",2360,629676,"Brain_Myeloid"
"A12.MAA000590.3_9_M.1.1",2646,770228,"Brain_Myeloid"
"A12.MAA000591.3_8_M.1.1",2018,125760,"Brain_Myeloid"
"A12.MAA000592.3_9_M.1.1",1346,61630,"Brain_Myeloid"
