,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
Nr4a3,2.61272331205436E-24,0.3104592521,0.44,0.061,5.94655825823573E-20,Fat__T.cell,Nr4a3
Tgif1,1.21561614510055E-21,1.198774392,0.6,0.176,2.76674234624886E-17,Fat__T.cell,Tgif1
Nr4a2,1.06927566127735E-17,0.9381254227,0.46,0.113,2.43367140506725E-13,Fat__T.cell,Nr4a2
Crem,1.64246707100458E-13,0.8173078849,0.51,0.169,3.73825505360642E-09,Fat__T.cell,Crem
Cited2,3.72559825551603E-10,0.668509372,0.63,0.324,8.47946162955449E-06,Fat__T.cell,Cited2
Mxd1,1.47718842964588E-07,0.4240963461,0.49,0.223,0.0033620809,Fat__T.cell,Mxd1
Tsc22d3,0.000102001,0.3050418092,0.86,0.68,1,Fat__T.cell,Tsc22d3
Nfil3,0.0006743528,0.2975980096,0.28,0.144,1,Fat__T.cell,Nfil3
Tsc22d31,3.06275390250072E-10,0.8614000564,0.962,0.686,6.97082788209163E-06,Lung__T.cell,Tsc22d3
Foxp1,0.0002255215,0.448663433,0.943,0.768,1,Lung__T.cell,Foxp1
Foxo1,0.0009815726,0.458954269,0.736,0.523,1,Lung__T.cell,Foxo1
Ncoa3,0.0014483439,0.5489802489,0.66,0.515,1,Lung__T.cell,Ncoa3
Hcfc1,0.0192560533,0.4068878893,0.396,0.238,1,Lung__T.cell,Hcfc1
Nr2c2,0.023764826,0.6820587373,0.396,0.275,1,Lung__T.cell,Nr2c2
Zfp53,0.1178448681,0.2976885248,0.358,0.244,1,Lung__T.cell,Zfp53
Tbx21,2.6396746955796E-15,0.7522676475,0.703,0.164,6.00789960713917E-11,Marrow__immature.NK.T.cell,Tbx21
Eomes,9.99310932821422E-15,0.3746544531,0.568,0.101,2.27443168310156E-10,Marrow__immature.NK.T.cell,Eomes
Stat4,0.000000002,0.5706292501,0.892,0.404,0.000045635,Marrow__immature.NK.T.cell,Stat4
Hhex,7.12695876480454E-08,0.436169224,0.27,0.049,0.0016220958,Marrow__immature.NK.T.cell,Hhex
Cdc5l,4.19488668798956E-05,0.2888521803,0.703,0.353,0.9547562102,Marrow__immature.NK.T.cell,Cdc5l
Smad3,6.86513700897133E-05,0.5797170178,0.459,0.193,1,Marrow__immature.NK.T.cell,Smad3
Relb,0.0001349237,0.2693897859,0.405,0.162,1,Marrow__immature.NK.T.cell,Relb
