"","annot.colors","cell_ontology_class"
"1","#A6CEE3","T.cell"
"2","#1F78B4","immature.T.cell"
"3","#B2DF8A","immature.NK.T.cell"
"4","#33A02C","regulatory.T.cell"
"5","#FB9A99","DN1.thymic.pro.T.cell"
