cell_ontology_class,n.droplet,percentage.droplet,n.facs,percentage.facs
B cell,6726,70.41457286432161,1238,73.29780935464773
dendritic cell,144,1.5075376884422111,NA,NA
macrophage,395,4.135259631490787,NA,NA
T cell,2287,23.942629815745395,403,23.860272350503255
myeloid cell,NA,NA,48,2.841918294849023
