"","tSNE_1","tSNE_2"
"O4.MAA000385.3_10_M.1.1",0.282724208956099,-9.00425091242815
"L18.MAA000385.3_10_M.1.1",-24.1475932982407,18.534923430384
"O8.MAA000385.3_10_M.1.1",17.2651356002198,2.80658517307331
"M1.MAA000385.3_10_M.1.1",21.1811550952611,6.59949515742924
"D20.MAA000385.3_10_M.1.1",24.5175835676612,-6.58891197458048
"I5.MAA000385.3_10_M.1.1",21.3363362881766,11.0674979598633
"P20.MAA000385.3_10_M.1.1",11.2133654546086,-10.9733734853811
"C3.MAA000385.3_10_M.1.1",-18.4595265110141,25.8392103054826
"D22.MAA000385.3_10_M.1.1",-21.8029598540328,17.4281822898635
"G1.MAA000385.3_10_M.1.1",20.7771042120674,11.1793297275131
"I6.MAA000385.3_10_M.1.1",-21.4302505160509,17.5533275112742
"C4.MAA000385.3_10_M.1.1",19.5541910953368,7.39710910352476
"E3.MAA000385.3_10_M.1.1",-16.9187542078328,14.9631860637956
"E7.MAA000385.3_10_M.1.1",18.0583020658489,5.79808373416274
"A4.MAA000385.3_10_M.1.1",19.9291181192709,7.51309039238179
"N8.MAA000385.3_10_M.1.1",24.5055598734476,-0.996721529219009
"E17.MAA000385.3_10_M.1.1",21.9673549511934,-3.33481741984913
"H7.MAA000385.3_10_M.1.1",21.1147373975338,8.80951828041795
"L6.MAA000385.3_10_M.1.1",21.1567929711418,9.1915486508169
"B1.MAA000385.3_10_M.1.1",-17.8166103143803,14.0170169824272
"B4.MAA000385.3_10_M.1.1",16.7680942265344,6.13410022282195
"D4.MAA000385.3_10_M.1.1",20.7308828326681,9.89276009854783
"L8.MAA000385.3_10_M.1.1",-21.3518856938015,17.7844653307203
"D7.MAA000385.3_10_M.1.1",9.0645020809015,-11.1171434161734
"A13.MAA000386.3_11_M.1.1",20.5867985048267,10.0367049167269
"A12.MAA000386.3_11_M.1.1",-1.28818601612229,10.657027093016
"A14.MAA000386.3_11_M.1.1",19.3662626028715,8.05453712127465
"A15.MAA000386.3_11_M.1.1",20.3903343697081,10.9639873264434
"B10.MAA000386.3_11_M.1.1",19.4910636826833,10.0578226011562
"B9.MAA000386.3_11_M.1.1",18.4117711343112,10.3719460412782
"B11.MAA000386.3_11_M.1.1",20.1021804428276,7.61374314414871
"B12.MAA000386.3_11_M.1.1",19.3797965554086,2.71089452028332
"B13.MAA000386.3_11_M.1.1",-24.3034964635315,20.7717212769019
"A9.MAA000386.3_11_M.1.1",21.1748093103153,10.6240637257241
"A10.MAA000386.3_11_M.1.1",-17.6072550805801,21.9836493608958
"A11.MAA000386.3_11_M.1.1",18.6474473592064,9.6950603276295
"D11.MAA000386.3_11_M.1.1",20.5729794292338,9.83783710159897
"G10.MAA000386.3_11_M.1.1",24.4044738514422,-1.12756891734965
"J11.MAA000386.3_11_M.1.1",19.6826854967967,1.92455862258735
"D12.MAA000386.3_11_M.1.1",20.4873408516792,9.9394580394657
"G11.MAA000386.3_11_M.1.1",-23.5807992647881,19.5755692970151
"M9.MAA000386.3_11_M.1.1",-22.7877718242532,18.4300748771315
"J12.MAA000386.3_11_M.1.1",-16.6761103321635,15.1162681053827
"C9.MAA000386.3_11_M.1.1",16.8474657443422,-1.1136903910588
"D13.MAA000386.3_11_M.1.1",-19.0239966511306,25.9601397024437
"G12.MAA000386.3_11_M.1.1",-19.1191203723352,25.9738761738513
"J13.MAA000386.3_11_M.1.1",19.3106428043903,9.61148423004177
"M10.MAA000386.3_11_M.1.1",-23.694826921432,19.7713161117983
"M11.MAA000386.3_11_M.1.1",-20.5051844093381,18.1410101885134
"C10.MAA000386.3_11_M.1.1",-23.2773619110763,16.359196613529
"D14.MAA000386.3_11_M.1.1",18.7742293159709,7.56655789556537
"G13.MAA000386.3_11_M.1.1",-17.9228224098866,7.36586657759032
"J14.MAA000386.3_11_M.1.1",21.6598162797117,-3.93664994155176
"M12.MAA000386.3_11_M.1.1",-6.05220443666281,16.5807121958884
"C11.MAA000386.3_11_M.1.1",-24.3592201375477,20.1124097501581
"D15.MAA000386.3_11_M.1.1",20.4832054290042,9.71181259468213
"G14.MAA000386.3_11_M.1.1",-25.4107527540422,20.934656959883
"J15.MAA000386.3_11_M.1.1",-25.1139096340064,19.8907209291441
"M13.MAA000386.3_11_M.1.1",-24.5354522302797,20.469255793779
"C12.MAA000386.3_11_M.1.1",-22.4821146307169,18.2509752491283
"D16.MAA000386.3_11_M.1.1",16.9889647201534,11.3469414705093
"G15.MAA000386.3_11_M.1.1",16.1765797672606,12.6518439621802
"I9.MAA000386.3_11_M.1.1",20.1609682989336,8.61891189725504
"J16.MAA000386.3_11_M.1.1",19.2221212730189,9.74752592411606
"M14.MAA000386.3_11_M.1.1",-17.9212060946117,7.37250658969626
"C13.MAA000386.3_11_M.1.1",20.935226498704,9.48751206090692
"F9.MAA000386.3_11_M.1.1",-25.007747072733,20.1755625009642
"G16.MAA000386.3_11_M.1.1",-24.1358290020002,19.5361511315531
"I10.MAA000386.3_11_M.1.1",-24.2079204631072,19.6844821188178
