"","annot.colors","cell_ontology_class"
"1","#A6CEE3","mesenchymal.stem.cell.of.adipose"
"2","#1F78B4","fibroblast"
"3","#B2DF8A","myofibroblast.cell"
"4","#33A02C","stromal.cell"
"5","#FB9A99","mesenchymal.stem.cell"
"6","#E31A1C","mesenchymal.cell"
