,color
Aorta,#1f77b4
Bladder,#aec7e8
Brain_Microglia,#ff7f0e
Brain_Non-microglia,#ffbb78
Colon,#2ca02c
Diaphragm,#98df8a
Fat,#d62728
Heart,#ff9896
Kidney,#9467bd
Liver,#c5b0d5
Lung,#8c564b
Mammary,#c49c94
Marrow,#e377c2
Muscle,#f7b6d2
Pancreas,#7f7f7f
Skin,#c7c7c7
Spleen,#bcbd22
Thymus,#dbdb8d
Tongue,#17becf
Trachea,#9edae5
