"","plate.barcode","cell_ontology_class","cell_ontology_id"
"A7.D042474.3_8_M.1.1","D042474",NA,"CL:0000066"
"B21.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"D16.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"F10.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"H14.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"J9.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"K22.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"M14.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"D17.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"F12.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"H15.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"J11.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"L1.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"M16.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"A8.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"B22.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"M18.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"A10.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"C4.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"D20.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"F20.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"A9.D042474.3_8_M.1.1","D042474",NA,"CL:0000066"
"C2.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"D19.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"F18.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"H18.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"J12.D042474.3_8_M.1.1","D042474",NA,"CL:0000066"
"L2.D042474.3_8_M.1.1","D042474","epithelial cell","CL:0000066"
"H19.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"J13.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"L3.D042474.3_8_M.1.1","D042474",NA,"CL:0000066"
"M20.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"A12.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"C5.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"H20.D042474.3_8_M.1.1","D042474",NA,"CL:0000066"
"J14.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"D21.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"F21.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"L4.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"M21.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"A13.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"C6.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"D22.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"G2.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"L5.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"M22.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"H21.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"J16.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"A14.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"C7.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"E1.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"G3.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"H22.D042474.3_8_M.1.1","D042474",NA,"CL:0000066"
"J17.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"A15.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"C9.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"E2.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"L6.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"N1.D042474.3_8_M.1.1","D042474",NA,"CL:0000066"
"L7.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"N2.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"G5.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"I1.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"J18.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"E3.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"G6.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"I5.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"J20.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"L8.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"N5.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"A16.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"C11.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"A17.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"C12.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"E5.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"G10.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"I6.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"J21.D042474.3_8_M.1.1","D042474",NA,"CL:0000066"
"L9.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"N7.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"A18.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"C13.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"E6.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"J22.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"L10.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"N8.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"G15.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"A19.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"I7.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"I9.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"K1.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"L11.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"N9.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"C14.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"E11.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
"G16.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"A20.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"C16.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"E13.D042474.3_8_M.1.1","D042474",NA,"CL:0000066"
"G17.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"I12.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"K3.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"L13.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"N10.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"A21.D042474.3_8_M.1.1","D042474",NA,"CL:0000066"
"C17.D042474.3_8_M.1.1","D042474",NA,"CL:0000066"
"E14.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"G19.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"I14.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"K5.D042474.3_8_M.1.1","D042474","mesenchymal cell","CL:0008019"
"L14.D042474.3_8_M.1.1","D042474","endothelial cell","CL:0000115"
"B4.D042474.3_8_M.1.1","D042474","blood cell","CL:0000081"
