"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"Tgif1",7.40573036360036e-81,0.792873124931104,0.988,0.762,"0","Tgif1"
"Krt15",1.21439647803903e-78,0.677487567657751,0.991,0.844,"0","Krt15"
"Dusp6",2.43305147305621e-76,1.18311921133999,0.918,0.64,"0","Dusp6"
"Ifitm3",3.12922058471595e-60,0.694963996073116,0.979,0.804,"0","Ifitm3"
"Icam1",3.22437821210441e-60,0.946331942589397,0.954,0.665,"0","Icam1"
"Klf9",4.26457082513638e-51,0.474229916501667,0.985,0.895,"0","Klf9"
"Nfkbiz",1.84381387765853e-46,0.767723101163563,0.973,0.858,"0","Nfkbiz"
"Mcl1",2.58754295744709e-45,0.511516360976977,0.997,0.925,"0","Mcl1"
"4930523C07Rik",6.40891405289134e-45,0.613402452680628,0.936,0.741,"0","4930523C07Rik"
"Wfdc2",5.74080210369026e-43,0.685891061484424,0.897,0.555,"0","Wfdc2"
"Fam110c",1.84119808520878e-41,0.667961151292497,0.812,0.521,"0","Fam110c"
"Anxa5",3.70108411091444e-41,0.369778178487882,0.991,0.93,"0","Anxa5"
"Zfand5",2.45907946058894e-39,0.558165624605608,0.994,0.923,"0","Zfand5"
"5730469M10Rik",3.42318552221049e-39,0.461167729424942,0.939,0.656,"0","5730469M10Rik"
"Col17a1",5.05348940360133e-38,0.299306504130493,0.991,0.791,"0","Col17a1"
"Fosl1",9.04028563997422e-38,0.469623413738508,0.96,0.722,"0","Fosl1"
"Nr4a1",5.68195546374767e-37,0.731933610800702,0.973,0.885,"0","Nr4a1"
"1300014I06Rik",2.74017097141136e-35,0.713791914123964,0.848,0.602,"0","1300014I06Rik"
"Dennd2c",1.03016129333811e-34,0.447426235796794,0.875,0.695,"0","Dennd2c"
"Bhlhe40",2.67939607294659e-34,0.591976156609283,0.954,0.738,"0","Bhlhe40"
"Aldh2",7.69443005623924e-34,0.450205688542322,0.948,0.855,"0","Aldh2"
"Epcam",1.22257194592608e-33,0.483259594570684,0.967,0.796,"0","Epcam"
"Klf6",6.82319151743827e-33,0.536003110600894,0.991,0.92,"0","Klf6"
"Eif1a",9.64989208102182e-32,0.492889351266988,0.939,0.854,"0","Eif1a"
"Slc7a5",2.29163511779629e-31,0.315494209591801,0.812,0.594,"0","Slc7a5"
"Tnfrsf12a",5.75592823658454e-31,0.483325409416677,0.927,0.769,"0","Tnfrsf12a"
"Ccnd2",1.81967536921307e-30,0.541564668281069,0.964,0.802,"0","Ccnd2"
"Lamb3",2.35779204483202e-30,0.416112877170353,0.96,0.723,"0","Lamb3"
"Bach1",2.77263456477217e-29,0.301272522569728,0.809,0.589,"0","Bach1"
"Angptl4",3.26272809577361e-29,0.671015532649981,0.468,0.208,"0","Angptl4"
"Lamc2",6.29140417502182e-29,0.407233229041134,0.924,0.665,"0","Lamc2"
"Litaf",1.03989766306985e-28,0.55489959495411,0.86,0.695,"0","Litaf"
"Plaur",1.1762172225638e-27,0.573907422335446,0.723,0.421,"0","Plaur"
"Nr1d1",2.39412093010519e-27,0.535877741811557,0.809,0.731,"0","Nr1d1"
"Crabp1",5.83295550950356e-27,0.434363376134069,0.684,0.348,"0","Crabp1"
"Itgb4",6.00919236946542e-27,0.344917337899118,0.979,0.803,"0","Itgb4"
"Cebpd",4.02313346189504e-26,0.552255419582306,0.672,0.554,"0","Cebpd"
"Car12",1.30080812649855e-24,0.338547882183626,0.866,0.588,"0","Car12"
"Itgb1",3.05708339378444e-24,0.316085281001073,0.985,0.856,"0","Itgb1"
"Igfbp7",5.83491340723929e-24,0.250157125222387,0.936,0.734,"0","Igfbp7"
"Itga6",7.85892635889449e-24,0.303540242102089,0.964,0.789,"0","Itga6"
"Cxcl16",1.8443164166983e-23,0.438794720259194,0.705,0.495,"0","Cxcl16"
"Rela",2.36239454723991e-23,0.404431458644495,0.894,0.785,"0","Rela"
"Irf1",9.19653119406813e-23,0.658155163775514,0.781,0.58,"0","Irf1"
"Cav1",1.70741744662072e-22,0.4029964338883,0.827,0.564,"0","Cav1"
"Adam8",1.89152142081293e-22,0.30758683608499,0.578,0.284,"0","Adam8"
"Myc",2.7375776995126e-22,0.493730015533955,0.939,0.863,"0","Myc"
"Sbno2",2.49024550649566e-21,0.349247056154434,0.787,0.634,"0","Sbno2"
"Sfrp1",3.44727751597882e-21,0.378069094797949,0.663,0.399,"0","Sfrp1"
"Itm2c",5.37321380957754e-21,0.346684948972097,0.824,0.675,"0","Itm2c"
"Pappa",6.62353588018988e-21,0.488817855682826,0.587,0.335,"0","Pappa"
"Tlr2",7.94580907255363e-21,0.347718533352059,0.31,0.118,"0","Tlr2"
"Arid5a",9.238354325388e-21,0.471174224557435,0.644,0.407,"0","Arid5a"
"1810013L24Rik",1.08836629162033e-20,0.351940905087207,0.793,0.707,"0","1810013L24Rik"
"Trib1",1.17188926295955e-20,0.341363703648767,0.839,0.633,"0","Trib1"
"Cdcp1",1.32593388380304e-20,0.320082673037152,0.888,0.769,"0","Cdcp1"
"Oat",3.30613515988287e-20,0.390081092149804,0.973,0.857,"0","Oat"
"Kcnh1",4.39773300357461e-20,0.477781325577242,0.678,0.465,"0","Kcnh1"
"Csrnp1",5.26945428766159e-20,0.378783900264946,0.906,0.748,"0","Csrnp1"
"Fosb",5.98290074713234e-20,0.397270842668383,0.936,0.877,"0","Fosb"
"Nr4a2",1.39884987889843e-19,0.419798343779975,0.748,0.643,"0","Nr4a2"
"Slc12a2",2.3506376653364e-19,0.416791581295063,0.894,0.77,"0","Slc12a2"
"Dll1",2.99350682263114e-19,0.358367426118932,0.523,0.254,"0","Dll1"
"BC031781",3.45625799719616e-19,0.26975860553405,0.827,0.709,"0","BC031781"
"Emb",7.01136727382988e-19,0.379865280582733,0.888,0.75,"0","Emb"
"Gclm",1.24833599621373e-18,0.322339459604005,0.939,0.868,"0","Gclm"
"Uap1",1.25211119445797e-18,0.441942355369238,0.818,0.74,"0","Uap1"
"Snai2",1.42868172401253e-18,0.424834436595951,0.69,0.43,"0","Snai2"
"Coq10b",1.81365492918629e-18,0.356224824569818,0.772,0.667,"0","Coq10b"
"Atf4",2.94186763893891e-18,0.33131162048936,0.976,0.906,"0","Atf4"
"D16Ertd472e",3.81586357577095e-18,0.324778423321527,0.854,0.695,"0","D16Ertd472e"
"Zfp655",5.6307817659135e-18,0.299301168814376,0.757,0.554,"0","Zfp655"
"Pdk4",7.61254785221779e-18,0.293642162140784,0.353,0.154,"0","Pdk4"
"Gnl3",1.4728142683492e-17,0.301575500403694,0.884,0.76,"0","Gnl3"
"Ifrd1",7.18158025500977e-17,0.392654981651242,0.933,0.847,"0","Ifrd1"
"Ctsz",7.85800110105981e-17,0.360548251038205,0.742,0.522,"0","Ctsz"
"Pmp22",9.12377642820723e-17,0.419450327229399,0.733,0.523,"0","Pmp22"
"Ifi202b",9.19802104523319e-17,0.320001894500489,0.65,0.416,"0","Ifi202b"
"Dusp7",1.31601983814685e-16,0.280831032132425,0.945,0.84,"0","Dusp7"
"Plk2",1.87724147648381e-16,0.48914624553258,0.699,0.596,"0","Plk2"
"Slc25a25",2.59197668973197e-16,0.374048114360764,0.884,0.727,"0","Slc25a25"
"Azin1",2.88224935390417e-16,0.297873972109169,0.842,0.731,"0","Azin1"
"Niacr1",4.01770105472961e-16,0.473892982270648,0.857,0.677,"0","Niacr1"
"Nfib",4.19867970196323e-16,0.279188996235514,0.976,0.856,"0","Nfib"
"Dnaja1",4.99719789947617e-16,0.348015697825735,0.967,0.914,"0","Dnaja1"
"Matn2",5.91884962915315e-16,0.343241139250211,0.666,0.461,"0","Matn2"
"Msn",6.13393204146826e-16,0.297733717996806,0.754,0.541,"0","Msn"
"Phgdh",9.0105566665344e-16,0.274944352663317,0.927,0.751,"0","Phgdh"
"Ehd1",1.54899874489955e-15,0.274519001909031,0.818,0.696,"0","Ehd1"
"Ctsl",1.61188601782111e-15,0.447959011859692,0.754,0.654,"0","Ctsl"
"Arid5b",2.4329926399082e-15,0.286800573170721,0.927,0.871,"0","Arid5b"
"Ets2",3.25987032653052e-15,0.278579385067554,0.927,0.837,"0","Ets2"
"Arpc1b",3.99877111422389e-15,0.309095961455993,0.839,0.683,"0","Arpc1b"
"Zyx",8.24336880186371e-15,0.282616851998705,0.86,0.74,"0","Zyx"
"Nedd9",8.92830243535907e-15,0.298108509612884,0.614,0.388,"0","Nedd9"
"Stat3",1.03895340140574e-14,0.300825722020461,0.96,0.905,"0","Stat3"
"Bcl10",2.17289989098938e-14,0.283552656059833,0.903,0.834,"0","Bcl10"
"Pqlc1",2.26960013066544e-14,0.333688786755186,0.881,0.707,"0","Pqlc1"
"Procr",3.62445775647891e-14,0.326097123376434,0.748,0.53,"0","Procr"
"Plscr1",4.77768799593185e-14,0.356791215234784,0.389,0.195,"0","Plscr1"
"Ralgds",5.5457174948323e-14,0.307788430575656,0.784,0.657,"0","Ralgds"
"Sh3bp4",7.17048680018652e-14,0.285670485048857,0.675,0.49,"0","Sh3bp4"
"Tpm1",8.26778663013761e-14,0.25920245995137,0.954,0.842,"0","Tpm1"
"Lima1",8.74602190583343e-14,0.312900542163425,0.839,0.736,"0","Lima1"
"Prrg4",1.47059373203007e-13,0.273316829798458,0.839,0.631,"0","Prrg4"
"Slc26a2",1.65735499327831e-13,0.286094785351183,0.532,0.454,"0","Slc26a2"
"Ccnl1",1.7131048918944e-13,0.312135855622361,0.985,0.923,"0","Ccnl1"
"Rassf1",2.25546044561989e-13,0.378299275783548,0.812,0.724,"0","Rassf1"
"Rnd3",2.67549580891297e-13,0.316664633173911,0.973,0.906,"0","Rnd3"
"Klf11",3.10186101789822e-13,0.265573287901472,0.754,0.553,"0","Klf11"
"Pde4b",3.47484676664058e-13,0.456055782733487,0.477,0.384,"0","Pde4b"
"Shmt1",4.65328122698377e-13,0.28853578801375,0.687,0.487,"0","Shmt1"
"Hs3st1",6.373667312923e-13,0.398362519936797,0.48,0.302,"0","Hs3st1"
"Adamts1",7.13403853808657e-13,0.459042047346541,0.827,0.677,"0","Adamts1"
"Pdlim5",1.07245715262316e-12,0.276329412859406,0.894,0.777,"0","Pdlim5"
"Igfbp4",1.39689348733793e-12,0.337293236674321,0.635,0.454,"0","Igfbp4"
"Rora",1.48803448926654e-12,0.302636249061835,0.714,0.623,"0","Rora"
"Ier3",1.52502686905215e-12,0.455156492803838,0.909,0.836,"0","Ier3"
"Txnrd1",2.22920948403494e-12,0.2596500065973,0.772,0.645,"0","Txnrd1"
"B2m",2.48496384062045e-12,0.276139738566325,0.912,0.83,"0","B2m"
"Itpkc",3.11249538371075e-12,0.384059646090963,0.86,0.712,"0","Itpkc"
"Gyltl1b",4.14367076649815e-12,0.299665841518152,0.708,0.493,"0","Gyltl1b"
"Nfix",4.25408055416296e-12,0.25235640305332,0.939,0.834,"0","Nfix"
"1810011O10Rik",6.07122244312641e-12,0.296553040465436,0.62,0.533,"0","1810011O10Rik"
"Krt18",6.07996293863184e-12,0.472182344312831,0.289,0.164,"0","Krt18"
"Bcl3",6.17117736337131e-12,0.340678948507261,0.684,0.51,"0","Bcl3"
"Sgms1",6.5776994494929e-12,0.30039061580137,0.763,0.673,"0","Sgms1"
"Gcnt2",9.50781572713406e-12,0.25691739176225,0.663,0.479,"0","Gcnt2"
"Fbln1",2.87239591653224e-11,0.339450471943094,0.574,0.398,"0","Fbln1"
"Arl4a",4.47578850053026e-11,0.296229428426753,0.894,0.826,"0","Arl4a"
"Myd88",5.15789435598478e-11,0.349460134828586,0.726,0.636,"0","Myd88"
"Adrb2",5.8899220508131e-11,0.345148881230188,0.933,0.857,"0","Adrb2"
"G3bp2",1.41989019164379e-10,0.258330091275735,0.86,0.762,"0","G3bp2"
"Tcp11l2",3.37411775937818e-10,0.264203195821861,0.538,0.426,"0","Tcp11l2"
"Csad",2.11405388852653e-09,0.252190790780342,0.669,0.502,"0","Csad"
"Trim47",3.33082830221681e-09,0.289281446594387,0.614,0.515,"0","Trim47"
"Neat1",3.44864110031421e-09,0.343012344423162,0.857,0.796,"0","Neat1"
"Nfil3",1.17283547838072e-08,0.303531390862441,0.553,0.457,"0","Nfil3"
"Tiparp",8.14914953585871e-08,0.255779122663112,0.897,0.815,"0","Tiparp"
"Gpt",3.64315847788638e-07,0.2662396078203,0.793,0.699,"0","Gpt"
"Glul",1.01199731019476e-05,0.264223974118737,0.608,0.475,"0","Glul"
"Cxcl10",1.83802128586069e-05,0.515383204950947,0.252,0.153,"0","Cxcl10"
"Cpe",3.83817722983448e-05,0.263058748222955,0.359,0.299,"0","Cpe"
"Egfl6",5.95011872566125e-05,0.25206120604085,0.523,0.411,"0","Egfl6"
"Cxcl1",0.000454041388515646,0.280491348165103,0.441,0.366,"0","Cxcl1"
"Cux1",1.49982260505284e-93,0.961402330215976,0.975,0.868,"1","Cux1"
"Plxna2",3.26631537897627e-92,1.08628036791361,0.97,0.636,"1","Plxna2"
"Gm128241",1.09559025221147e-88,0.852183299261515,0.828,0.17,"1","Gm12824"
"Sema3c",3.17002024139343e-86,1.02486945520367,0.887,0.476,"1","Sema3c"
"Tgfbi",1.08695509642752e-75,1.3531400526463,0.921,0.488,"1","Tgfbi"
"Sparc",1.75586310353464e-75,1.01946757737914,0.867,0.688,"1","Sparc"
"Slc39a61",2.43013122189938e-65,0.958873567042676,0.951,0.804,"1","Slc39a6"
"Npnt",6.25219479309041e-63,0.737133741785668,0.626,0.113,"1","Npnt"
"Cxcr71",2.62697427304151e-60,1.08262166153445,0.739,0.28,"1","Cxcr7"
"Dst",1.63260125023212e-57,0.92287473130987,0.966,0.73,"1","Dst"
"Slc6a6",6.1644495034833e-57,1.13662867970544,0.98,0.774,"1","Slc6a6"
"2010111I01Rik",4.83147544162087e-56,0.788345606620897,0.975,0.924,"1","2010111I01Rik"
"Fam117b",2.61679407847246e-55,0.695213940088607,0.882,0.62,"1","Fam117b"
"Col17a11",5.36638438171916e-55,0.950378677709353,0.995,0.811,"1","Col17a1"
"Nrp21",1.60895858661212e-54,0.907784888553445,0.67,0.166,"1","Nrp2"
"Slc39a101",4.91798344432959e-54,0.753493740503617,0.749,0.483,"1","Slc39a10"
"Igfbp3",1.32314835147447e-52,1.29803043766992,0.901,0.526,"1","Igfbp3"
"Hopx",2.76280257846566e-51,0.404706212386057,0.872,0.709,"1","Hopx"
