cell_ontology_class,n.droplet,percentage.droplet,n.facs,percentage.facs
endothelial cell,45,1.6181229773462784,40,7.7369439071566735
fenestrated cell,345,12.405609492988134,69,13.346228239845262
fibroblast,113,4.063286587558432,65,12.572533849129593
kidney collecting duct cell,72,2.588996763754045,44,8.51063829787234
kidney tubule cell,1921,69.07587198849335,261,50.483558994197296
leukocyte,54,1.941747572815534,38,7.350096711798839
macrophage,181,6.508450197770586,NA,NA
smooth muscle cell,50,1.7979144192736425,NA,NA
