,Ascl1, Ascl2,Ascl4,Ascl5,Neurog1,Neurog2,Neurog3,Neurod1,Neurod2,Neurod4,Neurod6,Atoh1,Atoh7,Atoh8,Myf5,Ptf1a,None
Pou4f3,6.06,3.1,0.02,0.95,0.43,0.29,2.14,0.16,0.31,0,0.02,0.3,0.04,0,0,0.05,0
Pou4f1,3.59,1.88,0.02,0.29,0.34,0.32,1.02,0.03,0.63,0.06,0.02,0.26,0.11,0.01,0,0,0
Pou4f2,3.23,2.73,0,0,0.21,0.28,1.16,0.2,0.33,0,0,0.05,0,0,0.01,0.04,0
Pou3f2,2.02,1.49,0,0,0.77,0.56,1.95,0.07,0.02,0,0,0.01,0,0,0,0,0
Pou3f4,0.59,0.22,0,0,0.37,0.13,3.18,0.04,0,0,0,0,0,0,0,0,0
Pou5f1,1.52,0.62,0,0,0.07,0.05,1.03,0.07,0.01,0,0,0.02,0,0,0,0,0
Pou1f1,0.52,0.32,0,0,0.03,0.03,0.53,0.06,0,0,0,0,0,0,0,0,0
Pou6f1,0.35,0.06,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0
None,0.39,0.07,0,0,0.01,0,0.19,0,0,0,0,0,0,0,0,0,0
Pou3f3,0,0,0,0,0.66,0.09,0.15,0.02,0,0,0,0,0,0,0,0,0
Pou3f1,0.07,0,0,0,0.13,0.02,0.11,0.01,0,0,0,0,0,0,0,0,0
Pou6f2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pou2f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
None,0.04,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
Nr4a2,0.09,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
