"","p_val","avg_diff","pct.1","pct.2","cluster","gene"
"Wfdc2",0,1.16598272959158,0.958,0.475,"0","Wfdc2"
"Krt15",0,0.94356167659888,0.995,0.91,"0","Krt15"
"Ifitm3",0,0.678305623985871,0.968,0.704,"0","Ifitm3"
"1500012F01Rik",3.16278175325415e-305,0.59208335251713,0.951,0.825,"0","1500012F01Rik"
"2410006H16Rik",1.20145110395799e-296,0.540768627855273,0.96,0.865,"0","2410006H16Rik"
"5730469M10Rik",7.66705561489488e-278,0.592640078541898,0.896,0.564,"0","5730469M10Rik"
"Col17a1",4.461178265278e-277,0.304444761887829,0.938,0.583,"0","Col17a1"
"Ccnd2",7.98293250546441e-277,0.625255571157134,0.885,0.553,"0","Ccnd2"
"Cct4",1.23945160313056e-260,0.423414564405326,0.988,0.938,"0","Cct4"
"Emb",1.67504949831039e-259,0.48055064835839,0.798,0.5,"0","Emb"
"Crabp1",9.98342112421898e-249,0.72557348091139,0.639,0.263,"0","Crabp1"
"Ifitm2",5.69254136497159e-242,0.439366733390737,0.97,0.846,"0","Ifitm2"
"Apoe",1.18644945011891e-241,0.518112730128584,0.972,0.813,"0","Apoe"
"Ucp2",3.23525976162005e-227,0.488321154751154,0.971,0.887,"0","Ucp2"
"Siva1",1.89732200714123e-223,0.45486533730914,0.837,0.548,"0","Siva1"
"Ptrf",2.14204466488171e-208,0.446877996233632,0.939,0.741,"0","Ptrf"
"Moxd1",1.32856751567746e-185,0.412504359156993,0.812,0.511,"0","Moxd1"
"C1qbp",1.91814674010268e-176,0.364607977740926,0.952,0.841,"0","C1qbp"
"Barx2",1.25042317400394e-173,0.428780255942222,0.925,0.663,"0","Barx2"
"Dusp6",1.62877239477472e-170,0.566918561098343,0.678,0.466,"0","Dusp6"
"Nradd",3.24030417634117e-170,0.346060788091701,0.629,0.33,"0","Nradd"
"Eif2a",5.88555665412587e-170,0.319265348208553,0.889,0.82,"0","Eif2a"
"Anxa5",1.1597924245741e-169,0.337338451614592,0.986,0.866,"0","Anxa5"
"Gpx4",8.27633781132607e-169,0.327805058739294,0.957,0.872,"0","Gpx4"
"Pole4",8.65227430585879e-166,0.366258680846037,0.812,0.673,"0","Pole4"
"1110038B12Rik",2.21453134794546e-165,0.331215912679704,0.766,0.641,"0","1110038B12Rik"
"Pappa",3.97876468710327e-165,0.455544305815338,0.429,0.16,"0","Pappa"
"Wnt10a",1.81578440000668e-162,0.324370764754777,0.824,0.504,"0","Wnt10a"
"Hyi",5.23374928454353e-161,0.291071208357331,0.502,0.293,"0","Hyi"
"Serpinh1",2.16364813620562e-158,0.3618598683088,0.778,0.441,"0","Serpinh1"
"Snhg1",9.59720878696969e-157,0.384601671624295,0.893,0.796,"0","Snhg1"
