filename	tissue	subtissue
GSM2889480_Bladder_dge.txt	Bladder	
GSM2889481_Prostate1_dge.txt		
GSM2889482_Prostate2_dge.txt		
GSM2889483_MammaryGland.Involution1_dge.txt		
GSM2889484_MammaryGland.Involution2_dge.txt		
GSM2906396_BoneMarrow1_dge.txt	Marrow	
GSM2906399_BoneMarrow2_dge.txt	Marrow	
GSM2906400_BoneMarrow3_dge.txt	Marrow	
GSM2906401_BoneMarrowcKit1_dge.txt	Marrow	Kit
GSM2906402_BoneMarrowcKit2_dge.txt	Marrow	Kit
GSM2906403_BoneMarrowcKit3_dge.txt	Marrow	Kit
GSM2906404_Bone.Marrow.Mesenchyme_dge.txt	Marrow	Mesenchyme
GSM2906405_Brain1_dge.txt	Brain	
GSM2906406_Brain2_dge.txt	Brain	
GSM2906407_CJ7.EB14.Ezh2.1_dge.txt		
GSM2906408_CJ7.EB14.WT.1_dge.txt		
GSM2906409_CJ7.EB14.WT.2_dge.txt		
GSM2906410_EB.Ezh2_dge.txt		
GSM2906411_EB.WT_dge.txt		
GSM2906412_EmbryonicMesenchymeE14.5_dge.txt		
GSM2906413_EmbryonicStemCell_dge.txt		
GSM2906414_EmbryonicStemCell.CJ7_dge.txt		
GSM2906415_FetalBrain_dge.txt		
GSM2906416_FetalFemaleGonad_dge.txt		
GSM2906417_FetalIntestine_dge.txt		
GSM2906418_FetalKidney1_dge.txt		
GSM2906419_FetalKidney2_dge.txt		
GSM2906421_FetalLiverE14.1_dge.txt		
GSM2906422_FetalLung_dge.txt		
GSM2906423_FetalMaleGonad_dge.txt		
GSM2906424_FetalStomach_dge.txt		
GSM2906425_Kidney1_dge.txt	Kidney	
GSM2906426_Kidney2_dge.txt	Kidney	
GSM2906427_Liver1_dge.txt	Liver	
GSM2906428_Liver2_dge.txt	Liver	
GSM2906429_Lung1_dge.txt	Lung	
GSM2906430_Lung2_dge.txt	Lung	
GSM2906431_Lung3_dge.txt	Lung	
GSM2906432_MammaryGland.Involution.CD45.1_dge.txt		
GSM2906433_MammaryGland.Involution.CD45.2_dge.txt		
GSM2906434_MammaryGland.Lactation1_dge.txt		
GSM2906435_MammaryGland.Lactation2_dge.txt		
GSM2906436_MammaryGland.Pregnancy_dge.txt		
GSM2906437_MammaryGland.Virgin.CD45.1_dge.txt	Mammary_Gland	CD45
GSM2906438_MammaryGland.Virgin.CD45.2_dge.txt	Mammary_Gland	CD45
GSM2906439_MammaryGland.Virgin1_dge.txt	Mammary_Gland	
GSM2906440_MammaryGland.Virgin2_dge.txt	Mammary_Gland	
GSM2906441_MammaryGland.Virgin3_dge.txt	Mammary_Gland	
GSM2906442_MammaryGland.Virgin4_dge.txt	Mammary_Gland	
GSM2906443_MesenchymalStemCellcultured_dge.txt		
GSM2906444_Muscle_dge.txt	Limb Muscle	
GSM2906445_NeonatalCalvaria1_dge.txt		
GSM2906446_NeonatalCalvaria2_dge.txt		
GSM2906447_NeonatalHeart_dge.txt		
GSM2906448_NeonatalMuscle1_dge.txt		
GSM2906449_NeonatalMuscle2_dge.txt		
GSM2906450_NeonatalRib1_dge.txt		
GSM2906451_NeonatalRib2_dge.txt		
GSM2906452_NeonatalRib3_dge.txt		
GSM2906453_NeonatalSkin_dge.txt		
GSM2906454_NeonatalBrain1_dge.txt		
GSM2906455_NeonatalBrain2_dge.txt		
GSM2906456_Ovary1_dge.txt		
GSM2906457_Ovary2_dge.txt		
GSM2906458_Pancreas_dge.txt	Pancreas	
GSM2906459_PeripheralBlood1_dge.txt		
GSM2906460_PeripheralBlood2_dge.txt		
GSM2906461_PeripheralBlood3_dge.txt		
GSM2906462_PeripheralBlood4_dge.txt		
GSM2906463_PeripheralBlood5_dge.txt		
GSM2906464_PeripheralBlood6_dge.txt		
GSM2906465_PlacentaE14.1_dge.txt		
GSM2906466_PlacentaE14.2_dge.txt		
GSM2906467_SmallIntestine.CD45_dge.txt		
GSM2906468_SmallIntestine1_dge.txt		
GSM2906469_SmallIntestine2_dge.txt		
GSM2906470_SmallIntestine3_dge.txt		
GSM2906471_Spleen_dge.txt	Spleen	
GSM2906472_Stomach_dge.txt		
GSM2906473_Testis1_dge.txt		
GSM2906474_Testis2_dge.txt		
GSM2906475_Thymus1_dge.txt	Thymus	
GSM2906476_Thymus2_dge.txt	Thymus	
GSM2906477_TrophoblastStemCell_dge.txt		
GSM2906478_Uterus1_dge.txt		
GSM2906479_Uterus2_dge.txt		
GSM2906480_Mix-Human293T-Mouse3T3_dge.txt.gz		
GSM2906480_human-293T_dge.txt		
GSM2906480_human-293T_summary.txt		
GSM2906480_mouse-3T3_dge.txt		
GSM2906480_mouse-3T3_summary.txt		
GSM2935549_EmbryonicStemCell.CJ7_Deep_dge.txt		
GSM3004530_FetalPancreas_dge.txt		
GSM3004531_NeonatalPancreas_dge.txt		
