overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18,overlapGenesTissue19,overlapGenesTissue20,overlapGenesTissue21,overlapGenesTissue22,overlapGenesTissue23,overlapGenesTissue24,overlapGenesTissue25,overlapGenesTissue26,overlapGenesTissue27,overlapGenesTissue28,overlapGenesTissue29,overlapGenesTissue30,overlapGenesTissue31,overlapGenesTissue32,overlapGenesTissue33,overlapGenesTissue34,overlapGenesTissue35,overlapGenesTissue36,overlapGenesTissue37,overlapGenesTissue38,overlapGenesTissue39,overlapGenesTissue40,overlapGenesTissue41,overlapGenesTissue42,overlapGenesTissue43,overlapGenesTissue44,overlapGenesTissue45,overlapGenesTissue46,overlapGenesTissue47,overlapGenesTissue48,overlapGenesTissue49,overlapGenesTissue50,overlapGenesTissue51,overlapGenesTissue52,overlapGenesTissue53,overlapGenesTissue54
,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq,,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq,,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq,,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq,,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq,,Cell Ontology,FACS,Droplet10x,microwellSeq,FACS_10x,FACS_microwellSeq,microwellSeq_10x,FACS_10x_microwellSeq
,B cell,0610030E20Rik,1110005A03Rik,2010107E04Rik,0610009D07Rik,Ap2s1,2410006H16Rik,4930523C07Rik,,T cell,1500002O20Rik,1110005A03Rik,4930481A15Rik,1810026B05Rik,4930523C07Rik,Psmb1,AW112010,,endothelial cell,0610037L13Rik,1300014I06Rik,1700020I14Rik,1190002H23Rik,Adh1,Arf1,AW112010,,macrophage,0610012G03Rik,2400003C14Rik,1110008F13Rik,0910001L09Rik,Anxa2,Anapc13,Abhd12,,mesenchymal stem cell,0610007C21Rik,Ap3s1,Arf4,0610007N19Rik,Abhd14a,Ahnak,9530068E07Rik,,skeletal muscle satellite cell,0610007L01Rik,2310015B20Rik,0610009L18Rik,1300014I06Rik,2010111I01Rik,Rps24,1110038B12Rik
,,1110008P14Rik,Anp32b,2310009A05Rik,1110003E01Rik,Arhgdia,2410015M20Rik,Apobec3,,,1810031K17Rik,2010107E04Rik,4930522L14Rik,3110003A17Rik,Acap1,Rhoh,Anp32a,,,1110038B12Rik,1810037I17Rik,Adgrf5,1810011O10Rik,Cdc42ep1,Arl6ip5,Abcg2,,,0610031J06Rik,3110001D03Rik,2410006H16Rik,1110007C09Rik,Anxa5,Apoe,Actb,,,0610031J06Rik,Bag3,Atraid,1110003E01Rik,Acaa2,Dynlrb1,Abca8a,,,1500032L24Rik,2410004N09Rik,0610012G03Rik,1500003O03Rik,Acta2,,2410006H16Rik
,,1110049F12Rik,Arid4b,Abi1,2010001M09Rik,Arl5c,Bin1,Arf6,,,2010016I18Rik,2410015M20Rik,Aamp,4632428N05Rik,B2m,Rpl34,Bcl2,,,2610001J05Rik,2810025M15Rik,Adgrl4,4930523C07Rik,Cst3,Atp1b3,Actn4,,,1810006K21Rik,Abi1,2610001J05Rik,1500032L24Rik,Apbb1ip,Asah1,Actr3,,,0910001L09Rik,Bcl7c,Bfar,2900010M23Rik,Add3,Gpx3,Abi3bp,,,1810011O10Rik,2700038G22Rik,1500011K16Rik,1500012F01Rik,Actn3,,Ank1
,,1700081L11Rik,Atp5g2,Acin1,3110003A17Rik,Arpc4,Eef1a1,Arl6ip1,,,2310003C23Rik,AB124611,Acot7,A130040M12Rik,Cst7,,Ccnd2,,,2610305D13Rik,Acot9,Afdn,4931406P16Rik,Hdac7,Bnip3l,Adam15,,,1810027O10Rik,Ahnak,Abracl,2900053A13Rik,Aprt,Cfh,Aif1,,,1110002B05Rik,Carhsp1,Borcs7,5031426D15Rik,Agtr1a,Meg3,Ace,,,1810022K09Rik,Ahr,1700021F05Rik,2210403K04Rik,Aldoa,,Anxa6
,,1810009A15Rik,Bcas2,Actl6a,4930420K17Rik,Atp5d,Eef1b2,Arpc5l,,,2310035C23Rik,Anp32b,Adprh,A930005H10Rik,Ctsw,,Cd3d,,,2900026A02Rik,Actb,Ak6,4933407C03Rik,Hspg2,Capn2,Adcy4,,,1810031K17Rik,Ahr,Acot9,3110003A17Rik,Arhgdia,Dleu2,Akr1a1,,,1190007F08Rik,Cd164,C1s1,6330406I15Rik,Anxa7,Morf4l2,Adamts2,,,1810035L17Rik,Camk2n1,1700025G04Rik,6330406I15Rik,Apoe,,Bmp4
,,1810026B05Rik,Bola2,Akr1b10,6720456B07Rik,B2m,Erh,Blnk,,,2310044G17Rik,Btf3,Aimp1,AI462493,Def6,,Cd3g,,,5730508B09Rik,Actg1,Akr1a1,6430527G18Rik,Mxd4,Capza2,Afap1l1,,,1810046J19Rik,Arl8b,Acp2,4632428N05Rik,Arpc3,Fcgrt,Alox5ap,,,1700019D03Rik,Cd63,Canx,9030425E11Rik,Arl1,Nedd4,Adamts5,,,1810055G02Rik,Ccl19,2010107E04Rik,A130040M12Rik,Atp1a2,,Btg1
,,2310033P09Rik,Brp44l,Akr1b3,AB124611,Calm1,Hnrnpk,Ccr7,,,2410016O06Rik,Cacybp,Arid5a,AI662270,Dguok,,Chd3,,,9430020K01Rik,Akap2,Anapc11,8430408G22Rik,Papss2,Ccdc85b,Anxa3,,,1810058I24Rik,Batf3,Actg1,5430435G22Rik,Atp6ap1,Gdi2,Arpc1b,,,1700025G04Rik,Cebpb,Clmp,A430110N23Rik,Asah1,Nfia,Adh1,,,2010002N04Rik,Defb25,2310002L09Rik,Aamp,Atp5b,,Cd200
,,2400001E08Rik,C1qbp,Anapc5,Actr3,Cenpa,Imp3,Cd19,,,2610019F03Rik,Cd82,Arpp19,Ablim1,Elovl5,,Cirbp,,,Abcc4,Aldh2,Anxa5,Abcb1a,Plod1,Cltb,Aplp2,,,2010107E04Rik,Canx,Adgre1,6720456B07Rik,B2m,H2afy,Arpc2,,,1810030O07Rik,Celf2,Cltb,AI607873,Cald1,Nfib,Aebp1,,,2310008H04Rik,F630111L10Rik,2310015A10Rik,Actg1,Atp5d,,Cd63
,,2410001C21Rik,Capza1,Anp32e,Arhgap15,Cfl1,Mif,Cd2,,,2610027L16Rik,Celf2,Atraid,Acp5,Gpr65,,Cox7a2l,,,Abcg1,Anp32a,Apoa1bp,Ablim1,Sh2d3c,Cxx1b,App,,,2210016F16Rik,Capza1,Adss,AB124611,BC028528,Hexb,Arpc5,,,1810074P20Rik,Cfh,Cops2,Adam9,Cant1,Pdpn,Angptl1,,,2400003C14Rik,Fdps,2310039H08Rik,Agpat5,Atp5f1,,Cd82
