"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Trf",7.18123103835492e-50,2.20376237066483,0.999,0.79,1.67617113666242e-45,"0","Trf"
"Serpina1a",1.68476490206679e-48,1.813589532498,0.999,0.728,3.93240975791409e-44,"0","Serpina1a"
"Serpina1c",2.54814891313588e-48,1.8455387307804,1,0.815,5.94763437815045e-44,"0","Serpina1c"
"Serpina3k",4.52865352108614e-48,2.24524375770103,0.999,0.753,1.05703301835672e-43,"0","Serpina3k"
"Rbp4",7.72810897412793e-48,1.83856190157825,0.999,0.654,1.8038179156512e-43,"0","Rbp4"
"Serpina1b",2.13432942028986e-46,1.74381487097394,0.999,0.741,4.98173829989856e-42,"0","Serpina1b"
"Gc",2.2572037866771e-46,1.8366357897973,0.997,0.605,5.26853935848301e-42,"0","Gc"
"Apoa2",1.14376738318067e-44,1.4647041803288,1,1,2.66966744908201e-40,"0","Apoa2"
"Scp2",4.03612023020371e-44,1.61057214460365,0.994,0.728,9.42070822931849e-40,"0","Scp2"
"Apoa1",4.12350401984908e-44,1.65948677383424,1,0.963,9.62467073272973e-40,"0","Apoa1"
"Serpina1d",5.97164900779776e-44,1.6921692608193,0.995,0.58,1.39384259491008e-39,"0","Serpina1d"
"Alb",6.98050168767587e-44,1.90853883011556,1,0.975,1.62931889892042e-39,"0","Alb"
"Fgb",1.1676297323146e-43,2.04113485337165,0.987,0.457,2.72536455819551e-39,"0","Fgb"
"Hp",2.65501957301762e-43,1.91354939192024,0.98,0.469,6.19708118538042e-39,"0","Hp"
"Ahsg",9.3953042141785e-43,1.79990294477726,0.993,0.654,2.1929579566314e-38,"0","Ahsg"
"Cat",3.00459850653978e-42,2.02588932220309,0.961,0.444,7.0130333741145e-38,"0","Cat"
"Apoc4",2.45842347586133e-41,1.50031046145378,0.993,0.667,5.73820623500792e-37,"0","Apoc4"
"Ttr",4.29307607454149e-41,1.47214274452012,1,0.963,1.00204688655873e-36,"0","Ttr"
"Apoc3",6.08032928257283e-41,1.45054982630697,1,0.901,1.41920965784532e-36,"0","Apoc3"
"Fgg",1.97213447813986e-40,1.83177997629386,0.977,0.494,4.60315908542625e-36,"0","Fgg"
"Apoc1",2.36894418161207e-40,1.17125693376576,1,1,5.52935261430073e-36,"0","Apoc1"
"Hpx",2.79782424270713e-40,1.95553325459687,0.976,0.519,6.53040156490272e-36,"0","Hpx"
"Orm1",5.22414983636861e-40,1.78194532900195,0.957,0.358,1.2193688133068e-35,"0","Orm1"
"Mgst1",1.96402622744969e-39,1.55972930387801,0.996,0.84,4.58423361749032e-35,"0","Mgst1"
"Apoh",1.25672282121901e-38,1.72140994604388,0.962,0.432,2.93331673700729e-34,"0","Apoh"
"Aldob",6.78659417005793e-38,1.64430404301309,0.964,0.506,1.58405894523322e-33,"0","Aldob"
"Gnmt",1.16134333956021e-37,1.4571412805628,0.967,0.63,2.71069148886749e-33,"0","Gnmt"
"Serpinc1",1.33778511344106e-37,1.75583017319741,0.94,0.309,3.12252423328277e-33,"0","Serpinc1"
"Fga",6.45957832323942e-37,2.05516167903524,0.922,0.272,1.50773017642731e-32,"0","Fga"
"Azgp1",1.06394607519019e-35,1.64097094048836,0.906,0.259,2.48335653410141e-31,"0","Azgp1"
"H2-Q10",1.07108132824501e-35,1.52359083003299,0.955,0.407,2.50001092825668e-31,"0","H2-Q10"
"1100001G20Rik",1.13844695498767e-35,1.49859936178667,0.974,0.568,2.65724903763673e-31,"0","1100001G20Rik"
"Apoe",1.47149364703282e-35,1.07708542576716,1,1,3.4346133215393e-31,"0","Apoe"
"Hpd",3.38603997788929e-35,1.52995761708411,0.935,0.457,7.9033559123914e-31,"0","Hpd"
"Ambp",5.16884814585623e-35,1.65797403435942,0.95,0.444,1.2064608457243e-30,"0","Ambp"
"Mup3",6.10496006475338e-35,1.62228696750527,0.999,0.914,1.42495872871409e-30,"0","Mup3"
"Hmgcs2",8.72386921069303e-35,1.49399716453765,0.92,0.407,2.03623831246786e-30,"0","Hmgcs2"
"Dbi",2.11920108730562e-34,1.13526334610802,0.998,0.889,4.94642725788005e-30,"0","Dbi"
"Cdo1",6.86656714967115e-34,1.6329728624123,0.918,0.383,1.60272543840474e-29,"0","Cdo1"
"Scd1",3.5162556852199e-33,1.79375287287539,0.964,0.605,8.20729239487178e-29,"0","Scd1"
"Clu",5.00584825074408e-33,0.86477677891618,0.878,0.222,1.16841504020618e-28,"0","Clu"
"Kng1",1.12159338576442e-32,1.67330543977207,0.923,0.321,2.61791112171274e-28,"0","Kng1"
"C3",1.3431842945068e-32,2.18994750223271,0.894,0.321,3.13512646180833e-28,"0","C3"
"Ndrg2",1.58470747283303e-32,1.55020641380136,0.888,0.333,3.69886571233957e-28,"0","Ndrg2"
"Cyp3a11",3.04306167627053e-32,1.88934248024794,0.933,0.457,7.10281025858304e-28,"0","Cyp3a11"
"Fabp1",1.10520286387214e-31,1.38603845323535,1,0.938,2.57965400456396e-27,"0","Fabp1"
"Tat",1.4716891995598e-31,1.98971604360625,0.833,0.148,3.43506976069252e-27,"0","Tat"
"Vtn",1.97866797185511e-31,1.52133164786819,0.939,0.531,4.61840891310702e-27,"0","Vtn"
"Ahcy",2.40680733249883e-31,1.5381412656585,0.867,0.21,5.61772899478552e-27,"0","Ahcy"
"F2",2.89019047561264e-31,1.66294212588391,0.882,0.259,6.74599358912745e-27,"0","F2"
"Pck1",3.72269611398545e-31,1.73161878242759,0.878,0.296,8.68914499965343e-27,"0","Pck1"
"Rdh7",8.13048735198504e-31,1.52253008048344,0.884,0.235,1.89773705282683e-26,"0","Rdh7"
"Apoa5",8.44205353494923e-31,1.68205191186587,0.871,0.247,1.9704597155925e-26,"0","Apoa5"
"Cfhr2",2.35149412948122e-30,1.53285284245713,0.843,0.198,5.48862244762212e-26,"0","Cfhr2"
"Apob",2.51647626304627e-30,2.05742899804912,0.839,0.259,5.87370724557629e-26,"0","Apob"
"Uox",3.47616886861547e-30,1.55366917690959,0.877,0.259,8.11372575623537e-26,"0","Uox"
"Stard10",5.19975500887383e-30,1.40531236845406,0.894,0.432,1.21367481662124e-25,"0","Stard10"
"Mbl2",5.30662681747604e-30,1.52741522985771,0.869,0.235,1.23861976546708e-25,"0","Mbl2"
"Adh1",6.94849696117686e-30,1.45791100042126,0.891,0.395,1.62184867570829e-25,"0","Adh1"
"Sephs2",1.29933847744698e-29,1.47469229157106,0.854,0.259,3.03278594020899e-25,"0","Sephs2"
"Mat1a",3.18817977862285e-29,1.75198452737613,0.813,0.16,7.4415304212836e-25,"0","Mat1a"
"Tdo2",1.3335011435294e-28,1.58639555988814,0.819,0.185,3.11252501911197e-24,"0","Tdo2"
"Igf1",2.7040206589958e-28,1.24158294975633,0.909,0.432,6.3114546201621e-24,"0","Igf1"
"Pgrmc1",6.10159065671976e-28,1.20019036587501,0.911,0.506,1.42417227518496e-23,"0","Pgrmc1"
"Phyh",6.33774798034158e-28,1.36872536528581,0.889,0.346,1.47929375609153e-23,"0","Phyh"
"Comt",7.73293234882126e-28,1.19000061112185,0.918,0.469,1.80494373953837e-23,"0","Comt"
"Bhmt",8.70649758070923e-28,1.41069883810095,0.912,0.494,2.03218360031334e-23,"0","Bhmt"
"Cyp2d10",9.13318290065412e-28,1.70612159135281,0.78,0.111,2.13177622084168e-23,"0","Cyp2d10"
"Ces1c",1.10127584919543e-27,1.81711069113398,0.808,0.198,2.57048795960705e-23,"0","Ces1c"
"Plg",1.10468710010649e-27,1.73455232950655,0.801,0.16,2.57845016035857e-23,"0","Plg"
"Fbp1",1.62404658106136e-27,1.40821967353796,0.853,0.21,3.79068712485533e-23,"0","Fbp1"
"2810007J24Rik",2.04418101708653e-27,1.56055087333935,0.814,0.173,4.77132291198166e-23,"0","2810007J24Rik"
"Slc25a47",4.22065745161533e-27,1.68549754444111,0.761,0.111,9.85143655781534e-23,"0","Slc25a47"
"Ttc36",4.67193278992081e-27,1.23932150686589,0.911,0.42,1.09047583249542e-22,"0","Ttc36"
"Ces3a",6.7363284251421e-27,1.64134885689878,0.784,0.111,1.57232641771242e-22,"0","Ces3a"
"Itih4",7.50075732534746e-27,1.70720865679975,0.823,0.247,1.75075176730935e-22,"0","Itih4"
"Mettl7b",8.81979497148286e-27,1.61367161008932,0.741,0.062,2.05862834429381e-22,"0","Mettl7b"
"Asgr1",1.58570105097414e-26,1.39398279464965,0.804,0.185,3.70118482307874e-22,"0","Asgr1"
"Gsta3",1.98872208400995e-26,1.34217649838747,0.906,0.358,4.64187621628762e-22,"0","Gsta3"
"Serpinf2",2.68641913404506e-26,1.55916993160246,0.76,0.111,6.27037090077459e-22,"0","Serpinf2"
"Apom",2.71836233433861e-26,1.26638322151608,0.827,0.173,6.34492952457976e-22,"0","Apom"
"Errfi1",2.88012844873065e-26,1.57933114137904,0.804,0.173,6.72250781218222e-22,"0","Errfi1"
"Akr1c6",5.96211946789542e-26,1.3771345855485,0.872,0.358,1.39161830500147e-21,"0","Akr1c6"
"Chchd10",8.98726525380331e-26,1.24765459594015,0.927,0.444,2.09771758289023e-21,"0","Chchd10"
"Mosc1",1.08992846060323e-25,1.56181600370377,0.701,0.037,2.54400201989399e-21,"0","Mosc1"
"Car3",1.99346010139699e-25,1.43766046574486,0.919,0.358,4.65293522267073e-21,"0","Car3"
"Cyp2c70",5.31298559101126e-25,1.35058670509488,0.813,0.198,1.24010396679794e-20,"0","Cyp2c70"
"Apof",5.37468354792333e-25,1.39126213414027,0.784,0.16,1.25450488692078e-20,"0","Apof"
"Hrg",5.55244179321411e-25,1.38197829077381,0.778,0.16,1.2959954389541e-20,"0","Hrg"
"Cyp2d26",7.81967286961052e-25,1.57469139235271,0.752,0.123,1.82518984449579e-20,"0","Cyp2d26"
"Cfb",9.17102977044314e-25,1.52689709898485,0.773,0.198,2.14061005871913e-20,"0","Cfb"
"C8g",1.00377176525586e-24,1.17741122600318,0.882,0.272,2.3429036772837e-20,"0","C8g"
"Gjb1",1.83193806744091e-24,1.324802848483,0.818,0.185,4.27592664321382e-20,"0","Gjb1"
"Slco1b2",1.98159725596346e-24,1.98170368534861,0.706,0.074,4.6252461551443e-20,"0","Slco1b2"
"Slc27a2",2.21736142404931e-24,1.53552618526881,0.724,0.111,5.17554329987349e-20,"0","Slc27a2"
"Cp",4.44783624060657e-24,1.5828932947876,0.761,0.16,1.03816945691998e-19,"0","Cp"
"Agt",7.64954510341029e-24,1.50852265953963,0.715,0.111,1.785480322587e-19,"0","Agt"
"Crp",7.80426444488069e-24,1.43891851925035,0.738,0.099,1.8215933640796e-19,"0","Crp"
"Ugt2b5",8.365144165974e-24,1.31799646207471,0.845,0.284,1.95250829977999e-19,"0","Ugt2b5"
"Acsl1",1.08184228355831e-23,1.39201976302104,0.752,0.123,2.52512807405346e-19,"0","Acsl1"
"Cyp2c29",1.62018844388388e-23,1.94993517250088,0.709,0.111,3.78168184686937e-19,"0","Cyp2c29"
"Gpx1",1.73074732923232e-23,0.821351321471544,0.993,0.84,4.03973734116117e-19,"0","Gpx1"
"Otc",3.40769844431339e-23,1.28041414022884,0.778,0.21,7.95390893887188e-19,"0","Otc"
"Acaa1b",4.13151733697e-23,1.21361408500885,0.895,0.395,9.64337461622167e-19,"0","Acaa1b"
"Pah",7.39049650455205e-23,1.47112568279046,0.698,0.086,1.72501578912749e-18,"0","Pah"
"Agxt",3.00161753225375e-22,1.46922545904883,0.654,0.049,7.00607548203349e-18,"0","Agxt"
"Rarres2",3.03144253580926e-22,1.23074761008654,0.761,0.136,7.0756900228324e-18,"0","Rarres2"
"Crot",3.07658773019805e-22,1.36433996219067,0.753,0.21,7.18106342105528e-18,"0","Crot"
"Slc10a1",4.2519398407781e-22,1.36272875742425,0.669,0.037,9.92445278236017e-18,"0","Slc10a1"
"Slc38a4",5.27134284734389e-22,1.38153199171275,0.709,0.099,1.23038413399854e-17,"0","Slc38a4"
"Ugt2b36",5.60844565222308e-22,1.29702832302857,0.773,0.185,1.30906729968539e-17,"0","Ugt2b36"
"Mug1",8.28879196381227e-22,1.55462379261051,0.731,0.148,1.93468693227342e-17,"0","Mug1"
"Cpb2",9.81536407999937e-22,1.25538743615938,0.727,0.111,2.29100412991265e-17,"0","Cpb2"
"Apon",1.36811146217809e-21,1.39173102978353,0.709,0.123,3.19330896386987e-17,"0","Apon"
"Cfi",1.4067086263893e-21,1.21370355614993,0.718,0.136,3.28339860485528e-17,"0","Cfi"
"Pon1",1.69124422035357e-21,1.42626013433323,0.732,0.198,3.94753313472728e-17,"0","Pon1"
"C4bp",2.33707092733485e-21,1.31681007950642,0.723,0.136,5.45495725149227e-17,"0","C4bp"
"Pigr",2.42096889519808e-21,1.4369439218701,0.761,0.21,5.65078349828184e-17,"0","Pigr"
"Cth",2.48373907018849e-21,1.34791228692595,0.692,0.086,5.79729536372695e-17,"0","Cth"
"Aldh1l1",2.62555691710727e-21,1.19925187505892,0.783,0.259,6.12831240022009e-17,"0","Aldh1l1"
"Serpina1e",2.72098534759387e-21,1.6901421480048,0.916,0.654,6.35105189981886e-17,"0","Serpina1e"
"Glo1",3.96138696246595e-21,1.05638843178797,0.826,0.321,9.24627330909177e-17,"0","Glo1"
"Apoc2",5.73835689766242e-21,1.2913032897281,0.794,0.284,1.33938988348339e-16,"0","Apoc2"
"Aldh2",6.34290558820188e-21,0.912366340469509,0.929,0.58,1.4804975933422e-16,"0","Aldh2"
"Hamp",6.86684316102105e-21,1.34647975913697,0.933,0.654,1.60278986221392e-16,"0","Hamp"
"Cyp2j5",6.86891736335032e-21,1.29717141476336,0.656,0.074,1.6032740017796e-16,"0","Cyp2j5"
"Reep6",8.13781153944814e-21,1.23182189155026,0.718,0.16,1.89944659142259e-16,"0","Reep6"
"Pcbd1",8.47669420896396e-21,1.19541440586473,0.729,0.173,1.97854519531428e-16,"0","Pcbd1"
"Serpinf1",8.74171596702459e-21,1.27749274044587,0.714,0.136,2.04040392386321e-16,"0","Serpinf1"
"Cyp3a25",9.15487768729012e-21,1.42389152197387,0.675,0.099,2.13684000099039e-16,"0","Cyp3a25"
"F12",1.05650887631847e-20,1.43453852652034,0.623,0.037,2.46599736821494e-16,"0","F12"
"Hsd11b1",1.38692362064672e-20,1.30356997909875,0.724,0.173,3.23721842295151e-16,"0","Hsd11b1"
"Ttpa",1.44286270756854e-20,1.31820936588389,0.694,0.136,3.36778584573573e-16,"0","Ttpa"
"Dpys",2.4764024947206e-20,1.32111155811329,0.606,0.025,5.78017106292735e-16,"0","Dpys"
"Cyp2c50",2.65860902585176e-20,1.74276645648734,0.677,0.136,6.20545932724059e-16,"0","Cyp2c50"
"Ces2a",2.80346836821846e-20,1.43593456082312,0.616,0.037,6.5435755182587e-16,"0","Ces2a"
"Proc",3.15380316776366e-20,1.26945352068159,0.694,0.123,7.36129197387715e-16,"0","Proc"
"Inmt",3.60131395771614e-20,1.36455363265384,0.671,0.123,8.40582690870524e-16,"0","Inmt"
"Ddt",4.26986394836763e-20,1.1161993375252,0.837,0.444,9.96628944188489e-16,"0","Ddt"
"Hrsp12",6.12847269366361e-20,1.19152960653799,0.887,0.481,1.43044681142802e-15,"0","Hrsp12"
"Ghr",8.37106865992985e-20,1.25646160543835,0.679,0.099,1.95389113591423e-15,"0","Ghr"
"Cbs",9.60299254200523e-20,1.20250374087886,0.675,0.099,2.24143448922944e-15,"0","Cbs"
"Arg1",9.93760624988241e-20,1.24297145556494,0.771,0.272,2.31953667478505e-15,"0","Arg1"
"Cfh",1.05884611926777e-19,1.30108995736271,0.731,0.222,2.4714527269829e-15,"0","Cfh"
"Sec14l2",1.27292673281298e-19,1.23385642771302,0.664,0.111,2.97113828705878e-15,"0","Sec14l2"
"Ephx2",1.83283637324429e-19,1.18592906917941,0.705,0.148,4.27802337878949e-15,"0","Ephx2"
"Slc27a5",1.95489497386325e-19,1.32138560684,0.666,0.111,4.56292035849421e-15,"0","Slc27a5"
"Insig1",3.21151374425757e-19,1.4188303134023,0.63,0.074,7.4959942304716e-15,"0","Insig1"
"Angptl3",3.33556492933281e-19,1.30496740465551,0.709,0.16,7.78554210155571e-15,"0","Angptl3"
"Ces3b",3.87921986952698e-19,1.38508584660332,0.568,0.012,9.05448709746293e-15,"0","Ces3b"
"Pzp",4.59512748492446e-19,1.32568261391274,0.723,0.21,1.07254870625622e-14,"0","Pzp"
"Uqcrq",4.7793160202979e-19,0.784162256394179,0.938,0.728,1.11554015229773e-14,"0","Uqcrq"
"Acox1",5.68413624318035e-19,1.0957565495231,0.814,0.395,1.32673424052073e-14,"0","Acox1"
"Fxyd1",7.68138466848127e-19,1.08219649472536,0.751,0.185,1.79291199547021e-14,"0","Fxyd1"
"Ces1d",8.98714318323229e-19,1.28193362931473,0.68,0.136,2.09768909039825e-14,"0","Ces1d"
"Aadac",1.20173389954693e-18,1.28585625544573,0.633,0.074,2.8049670949325e-14,"0","Aadac"
"Fn1",1.53315288127484e-18,1.43429714806172,0.641,0.123,3.57853214018361e-14,"0","Fn1"
"Rgn",2.01477696998589e-18,1.54604125677346,0.746,0.333,4.70269092564406e-14,"0","Rgn"
"Sardh",2.0741389062002e-18,1.16216214079601,0.68,0.136,4.84124762096188e-14,"0","Sardh"
"Elovl2",2.37736490735482e-18,1.32643285184912,0.596,0.049,5.54900743025688e-14,"0","Elovl2"
"Sord",2.67353067847031e-18,1.10225993745829,0.738,0.235,6.24028795661754e-14,"0","Sord"
"Cml2",3.38960507252204e-18,1.19576310442885,0.654,0.111,7.91167719977369e-14,"0","Cml2"
"Acaa2",3.77682419358402e-18,1.00602714069272,0.825,0.37,8.81548535024447e-14,"0","Acaa2"
"Insig2",4.92992538635017e-18,1.12929016100505,0.654,0.136,1.15069388442799e-13,"0","Insig2"
"Aldh1a1",6.05849823462428e-18,1.31353294125718,0.709,0.222,1.41411407294365e-13,"0","Aldh1a1"
"Itih3",6.27210211714667e-18,1.10477541737669,0.663,0.136,1.4639713551632e-13,"0","Itih3"
"Lrg1",6.9763158901281e-18,1.20209327827736,0.681,0.16,1.6283418919148e-13,"0","Lrg1"
"Fgl1",8.49231580922129e-18,1.24110338586605,0.635,0.111,1.98219143303034e-13,"0","Fgl1"
"Ces1f",1.10968476570756e-17,1.21975821718302,0.609,0.074,2.59011521163801e-13,"0","Ces1f"
"Prdx6",1.20111000655914e-17,1.05073355598431,0.782,0.321,2.80351086630969e-13,"0","Prdx6"
"Itih1",1.51684003092576e-17,1.27587145899947,0.604,0.074,3.54045631618381e-13,"0","Itih1"
"Nudt7",1.51949436034044e-17,1.11003859897645,0.7,0.173,3.54665178647062e-13,"0","Nudt7"
"Fetub",1.55872877030126e-17,1.13023172768996,0.699,0.16,3.63822882276016e-13,"0","Fetub"
"Gcdh",1.89186099411257e-17,1.13003389769429,0.661,0.148,4.41579274635814e-13,"0","Gcdh"
"G6pc",2.05361426234704e-17,1.22433941243506,0.611,0.099,4.79334104974423e-13,"0","G6pc"
"Cyp2c44",2.35470231170004e-17,1.21647482596033,0.557,0.025,5.49611066573905e-13,"0","Cyp2c44"
"Tmprss6",2.88042545450539e-17,1.23504318514544,0.584,0.049,6.72320105336102e-13,"0","Tmprss6"
"Ass1",2.89303736357031e-17,1.29815903371255,0.659,0.136,6.75263851030946e-13,"0","Ass1"
"Abcb11",2.94544875247139e-17,1.28319737323675,0.543,0.025,6.87497193314347e-13,"0","Abcb11"
"Igfbp1",3.3153795808489e-17,1.32539757047072,0.614,0.099,7.73842747965941e-13,"0","Igfbp1"
"AI182371",4.06871604134502e-17,1.0802910642485,0.659,0.123,9.4967901121034e-13,"0","AI182371"
"Etfa",4.41413805803543e-17,0.991217242138149,0.773,0.37,1.03030396412605e-12,"0","Etfa"
"F10",4.5928876580302e-17,0.962595242648121,0.72,0.185,1.07202590826083e-12,"0","F10"
"Slc38a3",4.65800665613895e-17,1.19740982174845,0.633,0.086,1.08722533360939e-12,"0","Slc38a3"
"Tmem205",4.92062822421385e-17,0.772152018862181,0.896,0.543,1.14852383381375e-12,"0","Tmem205"
"Atp5b",5.21674575225116e-17,0.772780716755305,0.887,0.63,1.21764062603294e-12,"0","Atp5b"
"Hgd",6.14397843869661e-17,1.1360524722484,0.617,0.099,1.43406600737618e-12,"0","Hgd"
"Ftcd",7.68728990767973e-17,1.20697182219554,0.556,0.037,1.79429033735153e-12,"0","Ftcd"
"Glud1",8.06945953425752e-17,0.941411077417488,0.789,0.407,1.88349254989105e-12,"0","Glud1"
"Hebp1",9.17327057823869e-17,1.02496801869176,0.709,0.21,2.14113308566669e-12,"0","Hebp1"
"Pank1",1.13800239245028e-16,1.13002705186743,0.59,0.074,2.65621138421819e-12,"0","Pank1"
"Cml1",1.26043312468155e-16,1.01891095118071,0.688,0.198,2.94197695631921e-12,"0","Cml1"
"Khk",1.52143606183948e-16,0.907284439320346,0.779,0.284,3.55118391193953e-12,"0","Khk"
"Adk",1.61339388329766e-16,1.03359606932254,0.721,0.222,3.76582266300508e-12,"0","Adk"
"Acsm1",1.75250077837562e-16,1.17280577249469,0.557,0.062,4.09051206680653e-12,"0","Acsm1"
"Cyp2f2",1.85974075857814e-16,1.77861523142244,0.597,0.111,4.34082090459725e-12,"0","Cyp2f2"
"Asl",1.91007406751812e-16,1.04468120564239,0.686,0.173,4.45830388099404e-12,"0","Asl"
"Sod1",1.97814717451438e-16,1.1651020004351,0.817,0.58,4.61719332003402e-12,"0","Sod1"
"Hc",2.66664324906892e-16,1.28607133714383,0.539,0.037,6.22421200765177e-12,"0","Hc"
"Oaf",2.86439806668351e-16,1.10459215721894,0.557,0.049,6.68579152744598e-12,"0","Oaf"
"Selenbp2",3.19646883213721e-16,1.46726540480114,0.632,0.148,7.46087790109147e-12,"0","Selenbp2"
"Gstz1",4.18596564196346e-16,0.954104044613152,0.73,0.235,9.77046240490692e-12,"0","Gstz1"
"Mup2",4.28322442767742e-16,1.20883387931811,0.872,0.494,9.99747413664187e-12,"0","Mup2"
"Itih2",5.73706863383277e-16,1.0110584222978,0.705,0.235,1.33908918982291e-11,"0","Itih2"
"Col18a1",6.47660541821704e-16,1.09844023325953,0.594,0.074,1.51170447066604e-11,"0","Col18a1"
"Pemt",9.51375096330361e-16,0.992143648800479,0.727,0.235,2.2206046123447e-11,"0","Pemt"
"Serpina3m",1.67416979753647e-15,1.1702862597669,0.52,0.025,3.90767972442987e-11,"0","Serpina3m"
"Serping1",1.9047881725283e-15,0.823037694870809,0.712,0.222,4.44596607349831e-11,"0","Serping1"
"Creb3l3",2.17315138374127e-15,1.06739426925091,0.562,0.062,5.0723526447905e-11,"0","Creb3l3"
"Cyp27a1",2.39326819104665e-15,1.01182325078214,0.552,0.062,5.58612728472199e-11,"0","Cyp27a1"
"1190003J15Rik",2.39637941166462e-15,1.02630771163334,0.719,0.272,5.5933891847664e-11,"0","1190003J15Rik"
"Lcat",2.45007230938548e-15,1.05523233718055,0.623,0.136,5.71871377733664e-11,"0","Lcat"
"Atf5",2.98826010061737e-15,0.991073936989942,0.655,0.16,6.97489790085099e-11,"0","Atf5"
"Qsox1",4.02324731239066e-15,1.07054847945757,0.638,0.148,9.39066155185104e-11,"0","Qsox1"
"Ehhadh",6.53465609722081e-15,1.11918447040081,0.48,0.012,1.52525407965231e-10,"0","Ehhadh"
